"variable","level","type","smd_pre","smd_post","group","imp","abs_post","run_id","run_ts"
"encounter_type","Inpatient","factor",0.367830558014862,0.0984421793556878,"ABG",8,0.0984421793556878,"20260421_094018","2026-04-21 09:40:18.841212"
"encounter_type","Emergency","factor",-0.367830558014862,-0.0984421793556836,"ABG",8,0.0984421793556836,"20260421_094018","2026-04-21 09:40:18.841212"
"encounter_type","Emergency","factor",-0.367830558014862,-0.0952222872322138,"ABG",19,0.0952222872322138,"20260421_094018","2026-04-21 09:40:18.841212"
"encounter_type","Inpatient","factor",0.367830558014862,0.095222287232209,"ABG",19,0.095222287232209,"20260421_094018","2026-04-21 09:40:18.841212"
"encounter_type","Inpatient","factor",0.367830558014862,0.094294306790662,"ABG",12,0.094294306790662,"20260421_094018","2026-04-21 09:40:18.841212"
"encounter_type","Emergency","factor",-0.367830558014862,-0.0942943067906578,"ABG",12,0.0942943067906578,"20260421_094018","2026-04-21 09:40:18.841212"
"encounter_type","Emergency","factor",-0.367830558014862,-0.0940582933095625,"ABG",13,0.0940582933095625,"20260421_094018","2026-04-21 09:40:18.841212"
"encounter_type","Inpatient","factor",0.367830558014862,0.0940582933095608,"ABG",13,0.0940582933095608,"20260421_094018","2026-04-21 09:40:18.841212"
"encounter_type","Inpatient","factor",0.367830558014862,0.0936519580332306,"ABG",1,0.0936519580332306,"20260421_094018","2026-04-21 09:40:18.841212"
"encounter_type","Emergency","factor",-0.367830558014862,-0.0936519580332234,"ABG",1,0.0936519580332234,"20260421_094018","2026-04-21 09:40:18.841212"
"encounter_type","Inpatient","factor",0.367830558014862,0.0936051899211432,"ABG",18,0.0936051899211432,"20260421_094018","2026-04-21 09:40:18.841212"
"encounter_type","Emergency","factor",-0.367830558014862,-0.0936051899211426,"ABG",18,0.0936051899211426,"20260421_094018","2026-04-21 09:40:18.841212"
"location","0","factor",0.170715533946593,0.0923947925491955,"ABG",1,0.0923947925491955,"20260421_094018","2026-04-21 09:40:18.841212"
"encounter_type","Emergency","factor",-0.367830558014862,-0.0922866158914735,"ABG",14,0.0922866158914735,"20260421_094018","2026-04-21 09:40:18.841212"
"encounter_type","Inpatient","factor",0.367830558014862,0.092286615891469,"ABG",14,0.092286615891469,"20260421_094018","2026-04-21 09:40:18.841212"
