"batch","stage","status","failure_stage","m_batch","seed","ok","error_message","started_at","finished_at","m_done_before","m_done_after","seconds","gc_vcells_used_mb_pre","gc_vcells_limit_mb_pre","gc_vcells_frac_pre","gc_vcells_used_mb_post","gc_vcells_limit_mb_post","gc_vcells_frac_post","rss_mb","imp_b_size_bytes","imp_acc_size_bytes","checkpoint_path","notes","run_id","run_ts"
1,"batch_started","started",NA,2,20351206,NA,NA,"2026-04-23 06:52:59.036891",NA,0,NA,NA,3625.1,16384,0.221258544921875,NA,NA,NA,6180.34375,NA,NA,NA,"batch entry","20260423_065125","2026-04-23 06:51:25.071508"
1,"mice_call_entered","started",NA,2,20351206,NA,NA,"2026-04-23 06:52:59.299348",NA,0,0,NA,3625.1,16384,0.221258544921875,NA,NA,NA,6180.34375,NA,NA,NA,"about to call mice::mice()","20260423_065125","2026-04-23 06:51:25.071508"
1,"mice_returned","ok",NA,2,20351206,TRUE,NA,"2026-04-23 06:52:59.299348","2026-04-23 06:53:00.661355",0,0,1.3620069026947,3625.1,16384,0.221258544921875,3626.8,16384,0.2213623046875,6500.59375,5023752,NA,NA,"mice() returned successfully","20260423_065125","2026-04-23 06:51:25.071508"
1,"ibind_started","started",NA,2,20351206,NA,NA,"2026-04-23 06:53:00.98903",NA,0,0,NA,3627.1,16384,0.221380615234375,NA,NA,NA,6500.625,5023752,NA,"/Users/reblocke/Research/abg-vbg-project/Results/mi_batch_checkpoints/imp_b_batch_01.rds","initial accumulator assignment","20260423_065125","2026-04-23 06:51:25.071508"
1,"ibind_completed","ok",NA,2,20351206,TRUE,NA,"2026-04-23 06:53:00.98903","2026-04-23 06:53:01.258773",0,2,0.269743204116821,3627.1,16384,0.221380615234375,3627.1,16384,0.221380615234375,6483.65625,5023752,5023752,"/Users/reblocke/Research/abg-vbg-project/Results/mi_batch_checkpoints/imp_b_batch_01.rds","initialized accumulator","20260423_065125","2026-04-23 06:51:25.071508"
1,"checkpoint_started","started",NA,2,20351206,NA,NA,"2026-04-23 06:53:01.523993",NA,0,2,NA,3627.1,16384,0.221380615234375,NA,NA,NA,6483.65625,5023752,5023752,"/Users/reblocke/Research/abg-vbg-project/Results/mi_batch_checkpoints/imp_acc_after_batch_01.rds","about to save accumulated mids checkpoint","20260423_065125","2026-04-23 06:51:25.071508"
1,"checkpoint_saved","completed",NA,2,20351206,TRUE,NA,"2026-04-23 06:53:01.523993","2026-04-23 06:53:01.586978",0,2,0.0629849433898926,3627.1,16384,0.221380615234375,3627.1,16384,0.221380615234375,6476.375,5023752,5023752,"/Users/reblocke/Research/abg-vbg-project/Results/mi_batch_checkpoints/imp_acc_after_batch_01.rds","saved accumulated mids checkpoint","20260423_065125","2026-04-23 06:51:25.071508"
2,"batch_started","started",NA,2,20451206,NA,NA,"2026-04-23 06:53:02.58469",NA,2,NA,NA,3627.1,16384,0.221380615234375,NA,NA,NA,6476.375,NA,5023752,NA,"batch entry","20260423_065125","2026-04-23 06:51:25.071508"
2,"mice_call_entered","started",NA,2,20451206,NA,NA,"2026-04-23 06:53:02.845797",NA,2,2,NA,3627.1,16384,0.221380615234375,NA,NA,NA,6476.375,NA,5023752,NA,"about to call mice::mice()","20260423_065125","2026-04-23 06:51:25.071508"
2,"mice_returned","ok",NA,2,20451206,TRUE,NA,"2026-04-23 06:53:02.845797","2026-04-23 06:53:04.19822",2,2,1.35242295265198,3627.1,16384,0.221380615234375,3628.8,16384,0.221484375,6521.359375,5023752,5023752,NA,"mice() returned successfully","20260423_065125","2026-04-23 06:51:25.071508"
2,"ibind_started","started",NA,2,20451206,NA,NA,"2026-04-23 06:53:04.521822",NA,2,2,NA,3629,16384,0.22149658203125,NA,NA,NA,6521.359375,5023752,5023752,"/Users/reblocke/Research/abg-vbg-project/Results/mi_batch_checkpoints/imp_b_batch_02.rds","about to call mice::ibind()","20260423_065125","2026-04-23 06:51:25.071508"
2,"ibind_completed","ok",NA,2,20451206,TRUE,NA,"2026-04-23 06:53:04.521822","2026-04-23 06:53:04.840843",2,4,0.319020986557007,3629,16384,0.22149658203125,3629.1,16384,0.221502685546875,6521.359375,5023752,5480048,"/Users/reblocke/Research/abg-vbg-project/Results/mi_batch_checkpoints/imp_b_batch_02.rds","mice::ibind() completed","20260423_065125","2026-04-23 06:51:25.071508"
2,"checkpoint_started","started",NA,2,20451206,NA,NA,"2026-04-23 06:53:05.10556",NA,2,4,NA,3629.1,16384,0.221502685546875,NA,NA,NA,6521.359375,5023752,5480048,"/Users/reblocke/Research/abg-vbg-project/Results/mi_batch_checkpoints/imp_acc_after_batch_02.rds","about to save accumulated mids checkpoint","20260423_065125","2026-04-23 06:51:25.071508"
2,"checkpoint_saved","completed",NA,2,20451206,TRUE,NA,"2026-04-23 06:53:05.10556","2026-04-23 06:53:05.181358",2,4,0.0757980346679688,3629.1,16384,0.221502685546875,3629.1,16384,0.221502685546875,6521.375,5023752,5480048,"/Users/reblocke/Research/abg-vbg-project/Results/mi_batch_checkpoints/imp_acc_after_batch_02.rds","saved accumulated mids checkpoint","20260423_065125","2026-04-23 06:51:25.071508"
3,"batch_started","started",NA,2,20551206,NA,NA,"2026-04-23 06:53:06.183018",NA,4,NA,NA,3629.1,16384,0.221502685546875,NA,NA,NA,6521.375,NA,5480048,NA,"batch entry","20260423_065125","2026-04-23 06:51:25.071508"
3,"mice_call_entered","started",NA,2,20551206,NA,NA,"2026-04-23 06:53:06.443927",NA,4,4,NA,3629.1,16384,0.221502685546875,NA,NA,NA,6521.390625,NA,5480048,NA,"about to call mice::mice()","20260423_065125","2026-04-23 06:51:25.071508"
3,"mice_returned","ok",NA,2,20551206,TRUE,NA,"2026-04-23 06:53:06.443927","2026-04-23 06:53:07.796814",4,4,1.35288691520691,3629.1,16384,0.221502685546875,3629.2,16384,0.2215087890625,6517.59375,5023752,5480048,NA,"mice() returned successfully","20260423_065125","2026-04-23 06:51:25.071508"
3,"ibind_started","started",NA,2,20551206,NA,NA,"2026-04-23 06:53:08.128639",NA,4,4,NA,3629.5,16384,0.221527099609375,NA,NA,NA,6509.609375,5023752,5480048,"/Users/reblocke/Research/abg-vbg-project/Results/mi_batch_checkpoints/imp_b_batch_03.rds","about to call mice::ibind()","20260423_065125","2026-04-23 06:51:25.071508"
3,"ibind_completed","ok",NA,2,20551206,TRUE,NA,"2026-04-23 06:53:08.128639","2026-04-23 06:53:08.44969",4,6,0.321051120758057,3629.5,16384,0.221527099609375,3629.5,16384,0.221527099609375,6509.609375,5023752,5936296,"/Users/reblocke/Research/abg-vbg-project/Results/mi_batch_checkpoints/imp_b_batch_03.rds","mice::ibind() completed","20260423_065125","2026-04-23 06:51:25.071508"
