"batch","combine_stage","left_m","right_m","left_size_bytes","right_size_bytes","rss_mb","gc_vcells_frac","started_at","finished_at","ok","error_message","run_id","run_ts"
1,"ibind_started",0,2,NA,5023752,2623.21875,0.22139892578125,"2026-04-23 09:55:18.130327",NA,NA,NA,"20260423_095337","2026-04-23 09:53:37.850136"
1,"ibind_completed",0,2,NA,5023752,2623.21875,0.22139892578125,"2026-04-23 09:55:18.130327","2026-04-23 09:55:18.403564",TRUE,NA,"20260423_095337","2026-04-23 09:53:37.850136"
2,"ibind_started",2,2,5023752,5023752,2911.3125,0.22152099609375,"2026-04-23 09:55:22.107617",NA,NA,NA,"20260423_095337","2026-04-23 09:53:37.850136"
2,"ibind_completed",2,2,5023752,5023752,2912.453125,0.22152099609375,"2026-04-23 09:55:22.107617","2026-04-23 09:55:22.45153",TRUE,NA,"20260423_095337","2026-04-23 09:53:37.850136"
3,"ibind_started",4,2,5480048,5023752,2677.4375,0.22154541015625,"2026-04-23 09:55:26.637493",NA,NA,NA,"20260423_095337","2026-04-23 09:53:37.850136"
3,"ibind_completed",4,2,5480048,5023752,2678.8125,0.22154541015625,"2026-04-23 09:55:26.637493","2026-04-23 09:55:26.966465",TRUE,NA,"20260423_095337","2026-04-23 09:53:37.850136"
4,"ibind_started",6,2,5936296,5023752,2934.3125,0.221575927734375,"2026-04-23 09:55:30.660088",NA,NA,NA,"20260423_095337","2026-04-23 09:53:37.850136"
4,"ibind_completed",6,2,5936296,5023752,2935.40625,0.221575927734375,"2026-04-23 09:55:30.660088","2026-04-23 09:55:30.987244",TRUE,NA,"20260423_095337","2026-04-23 09:53:37.850136"
5,"ibind_started",8,2,6392528,5023752,3024.140625,0.221600341796875,"2026-04-23 09:55:34.543932",NA,NA,NA,"20260423_095337","2026-04-23 09:53:37.850136"
5,"ibind_completed",8,2,6392528,5023752,3024.296875,0.221600341796875,"2026-04-23 09:55:34.543932","2026-04-23 09:55:34.869261",TRUE,NA,"20260423_095337","2026-04-23 09:53:37.850136"
6,"ibind_started",10,2,6852440,5023752,2990.515625,0.221624755859375,"2026-04-23 09:55:38.46632",NA,NA,NA,"20260423_095337","2026-04-23 09:53:37.850136"
6,"ibind_completed",10,2,6852440,5023752,2994,0.221630859375,"2026-04-23 09:55:38.46632","2026-04-23 09:55:38.787811",TRUE,NA,"20260423_095337","2026-04-23 09:53:37.850136"
7,"ibind_started",12,2,7307488,5023752,3156.71875,0.2216552734375,"2026-04-23 09:55:42.341475",NA,NA,NA,"20260423_095337","2026-04-23 09:53:37.850136"
7,"ibind_completed",12,2,7307488,5023752,3156.796875,0.2216552734375,"2026-04-23 09:55:42.341475","2026-04-23 09:55:42.663929",TRUE,NA,"20260423_095337","2026-04-23 09:53:37.850136"
8,"ibind_started",14,2,7762552,5023752,3010.5,0.2216796875,"2026-04-23 09:55:46.46698",NA,NA,NA,"20260423_095337","2026-04-23 09:53:37.850136"
8,"ibind_completed",14,2,7762552,5023752,2789.078125,0.2216796875,"2026-04-23 09:55:46.46698","2026-04-23 09:55:46.801315",TRUE,NA,"20260423_095337","2026-04-23 09:53:37.850136"
9,"ibind_started",16,2,8217600,5023752,2722.390625,0.221710205078125,"2026-04-23 09:55:50.731897",NA,NA,NA,"20260423_095337","2026-04-23 09:53:37.850136"
9,"ibind_completed",16,2,8217600,5023752,2693.921875,0.221710205078125,"2026-04-23 09:55:50.731897","2026-04-23 09:55:51.058537",TRUE,NA,"20260423_095337","2026-04-23 09:53:37.850136"
10,"ibind_started",18,2,8673928,5023752,3184.59375,0.221734619140625,"2026-04-23 09:55:54.731737",NA,NA,NA,"20260423_095337","2026-04-23 09:53:37.850136"
10,"ibind_completed",18,2,8673928,5023752,3096.09375,0.221734619140625,"2026-04-23 09:55:54.731737","2026-04-23 09:55:55.073979",TRUE,NA,"20260423_095337","2026-04-23 09:53:37.850136"
