"manuscript_label","numbering_slot","kind","section","artifact_role","ext","artifact_path","exists","source_type","required_in_validation","pdf_display","allowed_missing","check_status","severity","notes","run_id","run_ts"
"Figure 1","Figure 1","figure","main","canonical","png","Results/cohort_flow.png",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Primary cohort-flow display; .pdf sidecar also generated.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure 1","Figure 1","figure","main","canonical","pdf","Results/cohort_flow.pdf",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Primary cohort-flow display; .pdf sidecar also generated.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure 1","Figure 1","figure","main","alias","png","Results/figs/figure_1_cohort_assembly_target_population_ipsw.png",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Primary cohort-flow display; .pdf sidecar also generated.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure 1","Figure 1","figure","main","alias","pdf","Results/figs/figure_1_cohort_assembly_target_population_ipsw.pdf",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Primary cohort-flow display; .pdf sidecar also generated.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure 2","Figure 2","figure","main","canonical","png","Results/figs/key-results-spline-main-mi-ipw-abg-vbg.png",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Combined manuscript-facing weighted spline figure from the primary MI-logistic IPSW analysis; predicted probabilities are common-source marginal standardized; .pdf sidecar also generated.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure 2","Figure 2","figure","main","canonical","pdf","Results/figs/key-results-spline-main-mi-ipw-abg-vbg.pdf",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Combined manuscript-facing weighted spline figure from the primary MI-logistic IPSW analysis; predicted probabilities are common-source marginal standardized; .pdf sidecar also generated.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure 2","Figure 2","figure","main","alias","png","Results/figs/figure_2_primary_weighted_spline_associations_abg_vbg.png",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Combined manuscript-facing weighted spline figure from the primary MI-logistic IPSW analysis; predicted probabilities are common-source marginal standardized; .pdf sidecar also generated.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure 2","Figure 2","figure","main","alias","pdf","Results/figs/figure_2_primary_weighted_spline_associations_abg_vbg.pdf",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Combined manuscript-facing weighted spline figure from the primary MI-logistic IPSW analysis; predicted probabilities are common-source marginal standardized; .pdf sidecar also generated.","20260423_104307","2026-04-23 10:43:07.487173"
"Table 1","Table 1","table","main","canonical","csv","Results/table1_combined.csv",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Rendered from the canonical tbl1/tbl1_combined_csv objects; paired CSV also generated.","20260423_104307","2026-04-23 10:43:07.487173"
"Table 1","Table 1","table","main","canonical","pdf","Results/table1_combined.pdf",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Rendered from the canonical tbl1/tbl1_combined_csv objects; paired CSV also generated.","20260423_104307","2026-04-23 10:43:07.487173"
"Table 1","Table 1","table","main","alias","csv","Results/table_1_baseline_characteristics_analytic_cohort.csv",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Rendered from the canonical tbl1/tbl1_combined_csv objects; paired CSV also generated.","20260423_104307","2026-04-23 10:43:07.487173"
"Table 1","Table 1","table","main","alias","pdf","Results/table_1_baseline_characteristics_analytic_cohort.pdf",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Rendered from the canonical tbl1/tbl1_combined_csv objects; paired CSV also generated.","20260423_104307","2026-04-23 10:43:07.487173"
"Table 2","Table 2","table","main","canonical","csv","Results/table_2_weighted_categorical_outcomes.csv",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Main manuscript table for weighted categorical ORs and common-source marginal standardized predicted probabilities across ABG and VBG.","20260423_104307","2026-04-23 10:43:07.487173"
"Table 2","Table 2","table","main","canonical","pdf","Results/table_2_weighted_categorical_outcomes.pdf",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Main manuscript table for weighted categorical ORs and common-source marginal standardized predicted probabilities across ABG and VBG.","20260423_104307","2026-04-23 10:43:07.487173"
"Table 2","Table 2","table","main","alias","csv","Results/table_2_weighted_categorical_outcomes.csv",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Main manuscript table for weighted categorical ORs and common-source marginal standardized predicted probabilities across ABG and VBG.","20260423_104307","2026-04-23 10:43:07.487173"
"Table 2","Table 2","table","main","alias","pdf","Results/table_2_weighted_categorical_outcomes.pdf",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Main manuscript table for weighted categorical ORs and common-source marginal standardized predicted probabilities across ABG and VBG.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure S1","Figure S1","figure","supplement","canonical","png","Results/figs/loveplot-mi-logistic-abg-vbg.png",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Primary balance diagnostic for the MI logistic IPSW analysis.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure S1","Figure S1","figure","supplement","canonical","pdf","Results/figs/loveplot-mi-logistic-abg-vbg.pdf",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Primary balance diagnostic for the MI logistic IPSW analysis.","20260423_104307","2026-04-23 10:43:07.487173"
