"group","variable","max_abs_pre","max_abs_post","run_id","run_ts"
"VBG","curr_bmi",0.275120608967825,0.199983951906637,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","encounter_type",0.379033442476437,0.189000155785935,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","curr_bmi",0.25090794462156,0.181095693854919,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","location",0.404080868600917,0.145104383714245,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","location",0.172842061895068,0.110298596935719,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","hr",0.151603919952705,0.100505265565491,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","age_at_encounter",0.112153426374432,0.0927914494567264,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","sbp",0.178740586082545,0.0915298519980775,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","dbp",0.171913019097597,0.0904676432095066,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","serum_cl",0.138145232723029,0.0829772949283868,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","serum_ca",0.23094935400338,0.0807386629855851,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","race_ethnicity",0.191749331670951,0.0749651109082306,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","copd",0.0441617317465913,0.0581827648372147,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","sex",0.07791237142034,0.054359096570466,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","chf",0.0625887953798967,0.0542452674737764,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","plt",0.101278020431013,0.0537475040155888,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","ckd",0.0632098218947652,0.0534008390546599,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","dm",0.0616589523678252,0.0532213792209406,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","wbc",0.106529279841168,0.0507216072251111,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","serum_lac",0.0995524094497686,0.0496263845526103,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","phtn",0.047435837073943,0.0480673437655784,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","serum_cr",0.082484752390931,0.0474090914851248,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","sbp",0.125440416455995,0.0450164617986585,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","sex",0.0615273169667622,0.0421998901474619,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","dbp",0.0839687913042126,0.0419419477357507,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","race_ethnicity",0.0738401276386432,0.0410661159862211,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","sodium",0.080569442531704,0.0405572039200233,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","temp_new",0.0908994462201107,0.0385798325919476,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","phtn",0.0454900953443042,0.0357423763349103,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","ckd",0.0498307199361017,0.0349131331671236,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","chf",0.039868529772298,0.0345786748525299,"20260423_111150","2026-04-23 11:11:50.486947"
