"group","variable","max_abs_pre","max_abs_post","run_id","run_ts"
"ABG","curr_bmi",0.269186706406617,0.193827597819367,"20260204_191353","2026-02-04 19:13:53.507587"
"ABG","encounter_type",0.370405274184566,0.192480999347083,"20260204_191353","2026-02-04 19:13:53.507587"
"VBG","curr_bmi",0.273453341066946,0.179750190331407,"20260204_191353","2026-02-04 19:13:53.507587"
"VBG","location",0.398855292124635,0.150695270749008,"20260204_191353","2026-02-04 19:13:53.507587"
"ABG","location",0.166341032314434,0.114005404756271,"20260204_191353","2026-02-04 19:13:53.507587"
"ABG","sbp",0.179227333988587,0.0872274074950798,"20260204_191353","2026-02-04 19:13:53.507587"
"ABG","serum_ca",0.223534432973659,0.0851846708275734,"20260204_191353","2026-02-04 19:13:53.507587"
"ABG","age_at_encounter",0.105536759195717,0.0815614538342886,"20260204_191353","2026-02-04 19:13:53.507587"
"VBG","serum_cl",0.145522505410656,0.0789444971593161,"20260204_191353","2026-02-04 19:13:53.507587"
"VBG","race_ethnicity",0.204987289801324,0.078459893256116,"20260204_191353","2026-02-04 19:13:53.507587"
"ABG","copd",0.0561648100426638,0.0782714392384144,"20260204_191353","2026-02-04 19:13:53.507587"
"VBG","hr",0.130760170240729,0.0744904080436879,"20260204_191353","2026-02-04 19:13:53.507587"
"ABG","chf",0.0722893587356028,0.0742120605276023,"20260204_191353","2026-02-04 19:13:53.507587"
"ABG","dbp",0.161579578160423,0.0728834780454355,"20260204_191353","2026-02-04 19:13:53.507587"
"VBG","dm",0.0822989141713282,0.071665420201923,"20260204_191353","2026-02-04 19:13:53.507587"
"VBG","dbp",0.0927165908200936,0.067118494549402,"20260204_191353","2026-02-04 19:13:53.507587"
"ABG","sex",0.0904037828954977,0.06687711497535,"20260204_191353","2026-02-04 19:13:53.507587"
"VBG","sbp",0.121314137827087,0.0556532956151024,"20260204_191353","2026-02-04 19:13:53.507587"
"ABG","plt",0.105612397067949,0.0542114073255801,"20260204_191353","2026-02-04 19:13:53.507587"
"ABG","phtn",0.0491111493798908,0.0539430023394321,"20260204_191353","2026-02-04 19:13:53.507587"
"VBG","ckd",0.068931367988608,0.0537621676424057,"20260204_191353","2026-02-04 19:13:53.507587"
"ABG","wbc",0.0985579066027509,0.0535759523368644,"20260204_191353","2026-02-04 19:13:53.507587"
"VBG","serum_lac",0.0969343560630725,0.0483618816230132,"20260204_191353","2026-02-04 19:13:53.507587"
"ABG","temp_new",0.105622919159081,0.0433480387219343,"20260204_191353","2026-02-04 19:13:53.507587"
"VBG","serum_cr",0.0855123191956305,0.0423382777523321,"20260204_191353","2026-02-04 19:13:53.507587"
"VBG","sodium",0.0996277640708974,0.0419070556095729,"20260204_191353","2026-02-04 19:13:53.507587"
"VBG","phtn",0.053128009307607,0.0410842838903398,"20260204_191353","2026-02-04 19:13:53.507587"
"ABG","race_ethnicity",0.0717956241487626,0.0383660383324069,"20260204_191353","2026-02-04 19:13:53.507587"
"VBG","sex",0.0571757365910767,0.0354661947702495,"20260204_191353","2026-02-04 19:13:53.507587"
"VBG","serum_ca",0.0271379236843263,0.0311352791985026,"20260204_191353","2026-02-04 19:13:53.507587"
"ABG","asthma",0.0593066033167185,0.0288514894685276,"20260204_191353","2026-02-04 19:13:53.507587"
"ABG","serum_lac",0.0507102927979765,0.028757361447774,"20260204_191353","2026-02-04 19:13:53.507587"
"VBG","chf",0.0373266799167269,0.0273886855542482,"20260204_191353","2026-02-04 19:13:53.507587"
"VBG","serum_phos",0.0520758689000625,0.0272305610530866,"20260204_191353","2026-02-04 19:13:53.507587"
"VBG","asthma",0.00476320578449179,0.0270749661460391,"20260204_191353","2026-02-04 19:13:53.507587"
"ABG","ckd",0.0413151140917888,0.0263860750965716,"20260204_191353","2026-02-04 19:13:53.507587"
"ABG","serum_phos",0.0422974669878202,0.0229270208462564,"20260204_191353","2026-02-04 19:13:53.507587"
"ABG","hr",0.064236819891686,0.0224306923860555,"20260204_191353","2026-02-04 19:13:53.507587"
"ABG","osa",0.0493870549511801,0.02086054024869,"20260204_191353","2026-02-04 19:13:53.507587"
"ABG","serum_k",0.0142423053714232,0.0203860886847978,"20260204_191353","2026-02-04 19:13:53.507587"
"VBG","age_at_encounter",0.0179203554599892,0.0195934815660031,"20260204_191353","2026-02-04 19:13:53.507587"
"VBG","osa",0.0247858521685643,0.0189686738259531,"20260204_191353","2026-02-04 19:13:53.507587"
"ABG","serum_hco3",0.120933460798312,0.0184466824799419,"20260204_191353","2026-02-04 19:13:53.507587"
"VBG","plt",0.0168053790545741,0.0154665040263222,"20260204_191353","2026-02-04 19:13:53.507587"
"VBG","copd",0.00825583614606277,0.0152440917916916,"20260204_191353","2026-02-04 19:13:53.507587"
"ABG","serum_cl",0.0331505138072444,0.0132015245207159,"20260204_191353","2026-02-04 19:13:53.507587"
"VBG","wbc",0.017094707579406,0.0116695925892999,"20260204_191353","2026-02-04 19:13:53.507587"
"VBG","temp_new",0.0381878018278865,0.0103058373254942,"20260204_191353","2026-02-04 19:13:53.507587"
"ABG","dm",0.00437694144977117,0.0102894202478054,"20260204_191353","2026-02-04 19:13:53.507587"
"VBG","acute_nmd",0.00948388259777161,0.0092779024884276,"20260204_191353","2026-02-04 19:13:53.507587"
"ABG","acute_nmd",0.00241251295646556,0.00665161017846639,"20260204_191353","2026-02-04 19:13:53.507587"
"ABG","serum_cr",0.0452306093636701,0.00590619204899642,"20260204_191353","2026-02-04 19:13:53.507587"
"VBG","serum_hco3",0.0681686145346053,0.00501736465261779,"20260204_191353","2026-02-04 19:13:53.507587"
"VBG","serum_k",0.0355152862254546,0.00491198730671035,"20260204_191353","2026-02-04 19:13:53.507587"
"ABG","sodium",0.0234038024841484,0.00337535342410942,"20260204_191353","2026-02-04 19:13:53.507587"
"VBG","encounter_type",0.0375275113665381,0.00169992393777869,"20260204_191353","2026-02-04 19:13:53.507587"
