"method","group","outcome","metric_type","level","estimate","lcl","ucl","n_model","events","run_id","run_ts"
"Crude","ABG","IMV","OR","Low vs normal",1.32922231176434,1.0339286255939,1.70655541840529,1837,488,"20260416_211701","2026-04-16 21:17:01.49828"
"Crude","ABG","IMV","OR","High vs normal",1.20825710288388,0.939647381411541,1.55110025396572,1837,488,"20260416_211701","2026-04-16 21:17:01.49828"
"Crude","ABG","NIV","OR","Low vs normal",0.781021712662407,0.524996720116709,1.144428612054,1837,202,"20260416_211701","2026-04-16 21:17:01.49828"
"Crude","ABG","NIV","OR","High vs normal",1.42887301918267,1.02343776364194,1.98999909107301,1837,202,"20260416_211701","2026-04-16 21:17:01.49828"
"Crude","ABG","Death (60d)","OR","Low vs normal",1.79651612903686,1.35517680409662,2.38101867251378,1837,315,"20260416_211701","2026-04-16 21:17:01.49828"
"Crude","ABG","Death (60d)","OR","High vs normal",0.956366972477105,0.697391123128347,1.3035394678227,1837,315,"20260416_211701","2026-04-16 21:17:01.49828"
"Crude","ABG","Hypercapnic RF","OR","Low vs normal",0.963068182316635,0.585771633772083,1.55252573080729,1837,193,"20260416_211701","2026-04-16 21:17:01.49828"
"Crude","ABG","Hypercapnic RF","OR","High vs normal",4.97325234162524,3.50339967752181,7.16119032427751,1837,193,"20260416_211701","2026-04-16 21:17:01.49828"
"Crude","VBG","IMV","OR","Low vs normal",1.88437499934722,1.35076745491674,2.63155547514996,1500,242,"20260416_211701","2026-04-16 21:17:01.49828"
"Crude","VBG","IMV","OR","High vs normal",1.84249999936161,1.30895914216545,2.59294645879075,1500,242,"20260416_211701","2026-04-16 21:17:01.49828"
"Crude","VBG","NIV","OR","Low vs normal",1.03205128179182,0.60831505369103,1.72074211504119,1500,118,"20260416_211701","2026-04-16 21:17:01.49828"
"Crude","VBG","NIV","OR","High vs normal",2.63814292063189,1.71711071060714,4.08779472145561,1500,118,"20260416_211701","2026-04-16 21:17:01.49828"
"Crude","VBG","Death (60d)","OR","Low vs normal",1.75293288216611,1.22314034628414,2.51329671495824,1500,192,"20260416_211701","2026-04-16 21:17:01.49828"
"Crude","VBG","Death (60d)","OR","High vs normal",1.47604291200357,1.00729699756898,2.15488771688908,1500,192,"20260416_211701","2026-04-16 21:17:01.49828"
"Crude","VBG","Hypercapnic RF","OR","Low vs normal",1.09922394678325,0.553145213087525,2.12718958848719,1500,128,"20260416_211701","2026-04-16 21:17:01.49828"
"Crude","VBG","Hypercapnic RF","OR","High vs normal",9.08350951372577,5.69511847257114,15.095817642709,1500,128,"20260416_211701","2026-04-16 21:17:01.49828"
"Adjusted","ABG","IMV","OR","Low vs normal",1.33131124872641,1.02964582533301,1.71913702883984,1837,488,"20260416_211701","2026-04-16 21:17:01.49828"
"Adjusted","ABG","IMV","OR","High vs normal",1.32849997546603,1.02701993601951,1.71651372642807,1837,488,"20260416_211701","2026-04-16 21:17:01.49828"
"Adjusted","ABG","NIV","OR","Low vs normal",0.749942499128306,0.497825382537718,1.11332318191008,1837,202,"20260416_211701","2026-04-16 21:17:01.49828"
"Adjusted","ABG","NIV","OR","High vs normal",1.62193754162882,1.1445521181468,2.29465495196099,1837,202,"20260416_211701","2026-04-16 21:17:01.49828"
"Adjusted","ABG","Death (60d)","OR","Low vs normal",1.79658948966603,1.34610471619272,2.39731228000576,1837,315,"20260416_211701","2026-04-16 21:17:01.49828"
"Adjusted","ABG","Death (60d)","OR","High vs normal",0.915523941403016,0.663583346510452,1.25551508308664,1837,315,"20260416_211701","2026-04-16 21:17:01.49828"
"Adjusted","ABG","Hypercapnic RF","OR","Low vs normal",0.950860440413615,0.576559790395715,1.53783483365609,1837,193,"20260416_211701","2026-04-16 21:17:01.49828"
"Adjusted","ABG","Hypercapnic RF","OR","High vs normal",5.28520307550534,3.70138273611464,7.65465374889151,1837,193,"20260416_211701","2026-04-16 21:17:01.49828"
"Adjusted","VBG","IMV","OR","Low vs normal",1.53038209405926,1.08192914429564,2.16484685537138,1500,242,"20260416_211701","2026-04-16 21:17:01.49828"
"Adjusted","VBG","IMV","OR","High vs normal",1.74055602421774,1.2223236986028,2.47837125764664,1500,242,"20260416_211701","2026-04-16 21:17:01.49828"
"Adjusted","VBG","NIV","OR","Low vs normal",0.729736525129938,0.418251930812884,1.25015442964653,1500,118,"20260416_211701","2026-04-16 21:17:01.49828"
"Adjusted","VBG","NIV","OR","High vs normal",2.54464732165141,1.6068019945077,4.06589196568598,1500,118,"20260416_211701","2026-04-16 21:17:01.49828"
"Adjusted","VBG","Death (60d)","OR","Low vs normal",1.68772625389527,1.16040136529955,2.45578299459882,1500,192,"20260416_211701","2026-04-16 21:17:01.49828"
"Adjusted","VBG","Death (60d)","OR","High vs normal",1.34459839773253,0.908601336187451,1.98229604981991,1500,192,"20260416_211701","2026-04-16 21:17:01.49828"
"Adjusted","VBG","Hypercapnic RF","OR","Low vs normal",0.92514308670536,0.460682972737103,1.80918926189331,1500,128,"20260416_211701","2026-04-16 21:17:01.49828"
"Adjusted","VBG","Hypercapnic RF","OR","High vs normal",9.3311504572748,5.76118961528341,15.7412796843042,1500,128,"20260416_211701","2026-04-16 21:17:01.49828"
"Imputed","ABG","IMV","OR","Low vs normal",1.33131124872641,1.02907300859406,1.72231671240405,1837,488,"20260416_211701","2026-04-16 21:17:01.49828"
"Imputed","ABG","IMV","OR","High vs normal",1.32849997546603,1.02912269886615,1.71496769700809,1837,488,"20260416_211701","2026-04-16 21:17:01.49828"
"Imputed","ABG","NIV","OR","Low vs normal",0.749942499128306,0.501332527870953,1.12183774387681,1837,202,"20260416_211701","2026-04-16 21:17:01.49828"
"Imputed","ABG","NIV","OR","High vs normal",1.62193754162882,1.14504022176408,2.29745762545534,1837,202,"20260416_211701","2026-04-16 21:17:01.49828"
"Imputed","ABG","Death (60d)","OR","Low vs normal",1.79658948966603,1.35208088150906,2.38723425389757,1837,315,"20260416_211701","2026-04-16 21:17:01.49828"
"Imputed","ABG","Death (60d)","OR","High vs normal",0.915523941403016,0.666899054178932,1.25683802073173,1837,315,"20260416_211701","2026-04-16 21:17:01.49828"
"Imputed","ABG","Hypercapnic RF","OR","Low vs normal",0.950860440413615,0.581200161944692,1.55563545288484,1837,193,"20260416_211701","2026-04-16 21:17:01.49828"
"Imputed","ABG","Hypercapnic RF","OR","High vs normal",5.28520307550534,3.67016425754098,7.61093226057586,1837,193,"20260416_211701","2026-04-16 21:17:01.49828"
"Imputed","VBG","IMV","OR","Low vs normal",1.53038209405926,1.0744483086135,2.17978783627056,1500,242,"20260416_211701","2026-04-16 21:17:01.49828"
"Imputed","VBG","IMV","OR","High vs normal",1.74055602421774,1.22149100810979,2.48019449453727,1500,242,"20260416_211701","2026-04-16 21:17:01.49828"
"Imputed","VBG","NIV","OR","Low vs normal",0.729736525129938,0.422046146537157,1.26174685038105,1500,118,"20260416_211701","2026-04-16 21:17:01.49828"
"Imputed","VBG","NIV","OR","High vs normal",2.54464732165141,1.60662233051786,4.03033735345915,1500,118,"20260416_211701","2026-04-16 21:17:01.49828"
"Imputed","VBG","Death (60d)","OR","Low vs normal",1.68772625389527,1.14948634142774,2.47799369634043,1500,192,"20260416_211701","2026-04-16 21:17:01.49828"
"Imputed","VBG","Death (60d)","OR","High vs normal",1.34459839773253,0.90898508345275,1.988970868826,1500,192,"20260416_211701","2026-04-16 21:17:01.49828"
"Imputed","VBG","Hypercapnic RF","OR","Low vs normal",0.92514308670536,0.460424114902898,1.85891594982862,1500,128,"20260416_211701","2026-04-16 21:17:01.49828"
"Imputed","VBG","Hypercapnic RF","OR","High vs normal",9.3311504572748,5.65680515038231,15.3921456620112,1500,128,"20260416_211701","2026-04-16 21:17:01.49828"
"Weighted and adjusted","ABG","IMV","OR","Low vs normal",1.39264196260441,1.03532402731656,1.87327984750195,1837,488,"20260416_211701","2026-04-16 21:17:01.49828"
"Weighted and adjusted","ABG","IMV","OR","High vs normal",1.40893339511595,1.05331771376918,1.88461020442685,1837,488,"20260416_211701","2026-04-16 21:17:01.49828"
"Weighted and adjusted","ABG","NIV","OR","Low vs normal",0.701442878523288,0.435517176695277,1.12974215061854,1837,202,"20260416_211701","2026-04-16 21:17:01.49828"
"Weighted and adjusted","ABG","NIV","OR","High vs normal",1.48599273687117,0.985619467729142,2.24039244995989,1837,202,"20260416_211701","2026-04-16 21:17:01.49828"
"Weighted and adjusted","ABG","Death (60d)","OR","Low vs normal",1.86337466375728,1.33449082880954,2.60186511782173,1837,315,"20260416_211701","2026-04-16 21:17:01.49828"
"Weighted and adjusted","ABG","Death (60d)","OR","High vs normal",0.977348070504722,0.673438508130723,1.41840604507559,1837,315,"20260416_211701","2026-04-16 21:17:01.49828"
"Weighted and adjusted","ABG","Hypercapnic RF","OR","Low vs normal",0.95346010126591,0.549353101211807,1.65483031350995,1837,193,"20260416_211701","2026-04-16 21:17:01.49828"
"Weighted and adjusted","ABG","Hypercapnic RF","OR","High vs normal",6.14342371153452,4.05405179668566,9.30961339228567,1837,193,"20260416_211701","2026-04-16 21:17:01.49828"
"Weighted and adjusted","VBG","IMV","OR","Low vs normal",1.52562390698011,0.997197431965187,2.33406969466656,1500,242,"20260416_211701","2026-04-16 21:17:01.49828"
"Weighted and adjusted","VBG","IMV","OR","High vs normal",1.50578294538643,0.975346157247182,2.32469494216915,1500,242,"20260416_211701","2026-04-16 21:17:01.49828"
"Weighted and adjusted","VBG","NIV","OR","Low vs normal",0.560450546490788,0.293453973424106,1.07037165452816,1500,118,"20260416_211701","2026-04-16 21:17:01.49828"
"Weighted and adjusted","VBG","NIV","OR","High vs normal",2.4700421048972,1.39100405886104,4.38611804264656,1500,118,"20260416_211701","2026-04-16 21:17:01.49828"
