"cohort","outcome","outcome_label","bin_lo","bin_mid","n_bin","rate","run_id","run_ts"
"ABG","imv_proc","IMV",21,21.5,62,0.197189360645132,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",22,22.5,1062,0.297092409779736,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",23,23.5,1251,0.286485156439715,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",24,24.5,1628,0.293328535205906,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",25,25.5,1940,0.27808669103193,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",26,26.5,2366,0.251400221718264,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",27,27.5,2658,0.267441688611284,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",28,28.5,3335,0.260411877805971,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",29,29.5,3728,0.259110695275195,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",30,30.5,4207,0.256624176791559,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",31,31.5,4704,0.260698785108476,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",32,32.5,5763,0.237470154244262,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",33,33.5,6391,0.22154289391491,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",34,34.5,7278,0.21922084029606,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",35,35.5,7625,0.214187250100305,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",36,36.5,8410,0.204864083989148,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",37,37.5,8458,0.208230586473248,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",38,38.5,8925,0.203206092485196,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",39,39.5,8696,0.191073385843074,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",40,40.5,8424,0.200541869456981,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",41,41.5,7930,0.2015384343907,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",42,42.5,7666,0.203040475301827,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",43,43.5,6757,0.197798172429825,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",44,44.5,6424,0.194259432339408,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",45,45.5,5576,0.187421675437268,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",46,46.5,5269,0.193295093704258,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",47,47.5,4310,0.206181113723728,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",48,48.5,4180,0.210848405059468,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",49,49.5,3399,0.200788924702536,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",50,50.5,3217,0.199139882541736,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",51,51.5,2634,0.190523476897359,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",52,52.5,2421,0.196566015215329,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",53,53.5,2173,0.189606359220529,"20260416_214517","2026-04-16 21:45:17.150084"
