"cohort","outcome","outcome_label","bin_lo","bin_mid","n_bin","rate","run_id","run_ts"
"VBG","imv_proc","IMV",24,24.5,6,0.0838024444195792,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","imv_proc","IMV",25,25.5,8,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","imv_proc","IMV",26,26.5,8,0.0945825264098872,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","imv_proc","IMV",27,27.5,6,0.135061690431832,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","imv_proc","IMV",28,28.5,10,0.0707495876587413,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","imv_proc","IMV",29,29.5,13,0.160788468233583,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","imv_proc","IMV",30,30.5,26,0.17176614259889,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","imv_proc","IMV",31,31.5,23,0.171988485426154,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","imv_proc","IMV",32,32.5,25,0.147759594107079,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","imv_proc","IMV",33,33.5,28,0.130805632507872,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","imv_proc","IMV",34,34.5,21,0.213870450700228,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","imv_proc","IMV",35,35.5,29,0.112445947713213,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","imv_proc","IMV",36,36.5,41,0.164609622607961,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","imv_proc","IMV",37,37.5,42,0.0862413108962603,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","imv_proc","IMV",38,38.5,40,0.2167054253135,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","imv_proc","IMV",39,39.5,49,0.251640743270912,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","imv_proc","IMV",40,40.5,63,0.156375170830499,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","imv_proc","IMV",41,41.5,73,0.103241146413433,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","imv_proc","IMV",42,42.5,72,0.0879784828659118,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","imv_proc","IMV",43,43.5,61,0.055614815324368,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","imv_proc","IMV",44,44.5,65,0.0797375696153972,"20260208_095917","2026-02-08 09:59:17.934826"
