"cohort","outcome","outcome_label","bin_lo","bin_mid","n_bin","rate","n_imp_contrib","run_id","run_ts"
"ABG","death_60d","Death (60d)",21,21.5,62,0.195351483092016,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",22,22.5,1062,0.26230237528918,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",23,23.5,1251,0.25103393595954,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",24,24.5,1628,0.261576229528661,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",25,25.5,1940,0.254374239996474,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",26,26.5,2366,0.21281877159847,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",27,27.5,2658,0.212243792269989,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",28,28.5,3335,0.222949282002717,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",29,29.5,3728,0.19568218504915,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",30,30.5,4207,0.196813366424373,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",31,31.5,4704,0.175916987719316,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",32,32.5,5763,0.166496099646156,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",33,33.5,6391,0.143937431969452,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",34,34.5,7278,0.140464928179393,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",35,35.5,7625,0.135246322563646,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",36,36.5,8410,0.126451672152115,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",37,37.5,8458,0.121157228306415,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",38,38.5,8925,0.113342949398503,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",39,39.5,8696,0.113137651830654,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",40,40.5,8424,0.102993541066141,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",41,41.5,7930,0.113794267461662,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",42,42.5,7666,0.102142696032574,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",43,43.5,6757,0.10928078619809,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",44,44.5,6424,0.111702912264534,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",45,45.5,5576,0.116131004975655,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",46,46.5,5269,0.107683900351755,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",47,47.5,4310,0.112982889378328,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",48,48.5,4180,0.113704783104235,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",49,49.5,3399,0.120510366458192,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",50,50.5,3217,0.130749201856283,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",51,51.5,2634,0.120667551602332,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",52,52.5,2421,0.138900719345001,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",53,53.5,2173,0.152034340877528,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",54,54.5,1905,0.140938712989208,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",55,55.5,1604,0.13776517220328,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",56,56.5,1498,0.144556469621098,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",57,57.5,1252,0.176874330797158,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",58,58.5,1194,0.163622375184462,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",59,59.5,1110,0.17649702191499,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",60,60.5,989,0.215882022329407,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",61,61.5,911,0.205483119160683,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",62,62.5,873,0.192800389930109,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",63,63.5,778,0.196494922358647,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",64,64.5,707,0.203823884827203,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",65,65.5,594,0.220565448499749,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",66,66.5,604,0.216174658308142,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",67,67.5,569,0.227518648262689,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",68,68.5,564,0.228090108441918,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",69,69.5,505,0.245112546295785,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",70,70.5,469,0.235867313720184,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",71,71.5,439,0.192052681062022,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",72,72.5,405,0.244079588433187,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",73,73.5,397,0.220520755363531,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",74,74.5,339,0.212156056528553,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",75,75.5,340,0.250515967078418,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",76,76.5,306,0.206181461965928,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",77,77.5,321,0.229557444135758,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",78,78.5,263,0.294015013349264,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",79,79.5,268,0.243322779334663,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",80,80.5,268,0.256246275494201,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",81,81.5,224,0.234127399981292,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",82,82.5,227,0.174380003946464,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",83,83.5,230,0.244090420017288,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",84,84.5,214,0.271869918141001,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",85,85.5,216,0.255202529237642,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",86,86.5,184,0.310993515741359,1,"20260410_065559","2026-04-10 06:55:59.257143"
