"cohort","outcome","outcome_label","bin_lo","bin_mid","n_bin","rate","n_imp_contrib","run_id","run_ts"
"VBG","death_60d","Death (60d)",24,24.5,6,0.0859202851197756,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",25,25.5,6,0.260333024221575,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",26,26.5,11,0.412798799214954,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",27,27.5,9,0.381598735503088,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",28,28.5,8,0.102732424167899,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",29,29.5,13,0.140418202153466,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",30,30.5,25,0.279665563030666,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",31,31.5,25,0.102329164391487,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",32,32.5,24,0.160836453909592,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",33,33.5,28,0.123381544098622,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",34,34.5,21,0.208455548987832,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",35,35.5,42,0.26517532266725,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",36,36.5,49,0.0722071804334373,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",37,37.5,29,0.0737083138335656,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",38,38.5,53,0.0976493612835674,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",39,39.5,51,0.0614877453515166,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",40,40.5,70,0.0735206774991623,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",41,41.5,68,0.182119828831735,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",42,42.5,81,0.102888798066776,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",43,43.5,76,0.106131440933078,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",44,44.5,68,0.0816355551275929,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",45,45.5,57,0.0266710829860892,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",46,46.5,73,0.0464792439595847,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",47,47.5,69,0.0829048032289863,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",48,48.5,44,0.0376495225950071,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",49,49.5,36,0.0875018352978805,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",50,50.5,42,0.106491626114308,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",51,51.5,36,0.0481538050899485,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",52,52.5,49,0.11649675331998,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",53,53.5,38,0.0974613314845946,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",54,54.5,32,0.0363898992018541,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",55,55.5,25,0.152322227246658,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",56,56.5,21,0.0870018217991796,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",57,57.5,14,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",58,58.5,13,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",59,59.5,13,0.0822500999307659,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",60,60.5,16,0.223226374830121,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",61,61.5,8,0.326032306607876,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",62,62.5,9,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",63,63.5,8,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",64,64.5,11,0.113683365938017,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",65,65.5,7,0.0638152158046843,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",66,66.5,6,0.331189547929812,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",67,67.5,5,0.216431337830886,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",68,68.5,8,0.248580305776367,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",69,69.5,4,0.420409410329321,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",70,70.5,9,0.32001591304585,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",71,71.5,1,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",72,72.5,4,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",73,73.5,1,1,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",74,74.5,2,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",75,75.5,1,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",76,76.5,3,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",77,77.5,4,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",78,78.5,2,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",79,79.5,4,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",80,80.5,1,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",81,81.5,3,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",82,82.5,2,0.33431972491306,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",84,84.5,1,1,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",24,24.5,6,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",25,25.5,6,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",26,26.5,11,0.0561487903224991,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",27,27.5,9,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",28,28.5,8,0.102732424167899,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",29,29.5,13,0.189501557976284,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",30,30.5,25,0.0633229010358779,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",31,31.5,25,0.0536493522322314,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",32,32.5,24,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",33,33.5,28,0.037981574238075,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",34,34.5,21,0.0435305054629706,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",35,35.5,42,0.0166067655938971,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",36,36.5,49,0.0244274427315982,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",37,37.5,29,0.0269097548563069,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",38,38.5,53,0.0279609431994613,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",39,39.5,51,0.0379324567570358,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",40,40.5,70,0.0093490886078952,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",41,41.5,68,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",42,42.5,81,0.00655065557247916,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",43,43.5,76,0.0616807192452757,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",44,44.5,68,0.0129637279120393,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",45,45.5,57,0.0491944812265311,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",46,46.5,73,0.0208238168423566,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",47,47.5,69,0.0593371569389637,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",48,48.5,44,0.112065522434075,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",49,49.5,36,0.014780642956426,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",50,50.5,42,0.0293505812981168,1,"20260416_211701","2026-04-16 21:17:01.49828"
