"cohort","outcome","outcome_label","bin_lo","bin_mid","n_bin","rate","run_id","run_ts"
"ABG","imv_proc","IMV",21,21.5,13,0.307692307692308,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",22,22.5,5,0.8,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",23,23.5,11,0.545454545454545,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",24,24.5,14,0.357142857142857,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",25,25.5,20,0.45,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",26,26.5,20,0.35,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",27,27.5,25,0.28,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",28,28.5,33,0.272727272727273,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",29,29.5,39,0.358974358974359,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",30,30.5,44,0.227272727272727,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",31,31.5,50,0.26,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",32,32.5,59,0.271186440677966,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",33,33.5,63,0.19047619047619,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",34,34.5,63,0.26984126984127,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",35,35.5,82,0.158536585365854,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",36,36.5,88,0.318181818181818,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",37,37.5,96,0.3125,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",38,38.5,87,0.218390804597701,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",39,39.5,84,0.25,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",40,40.5,80,0.225,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",41,41.5,70,0.285714285714286,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",42,42.5,64,0.234375,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",43,43.5,67,0.149253731343284,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",44,44.5,73,0.301369863013699,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",45,45.5,62,0.112903225806452,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",46,46.5,43,0.27906976744186,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",47,47.5,46,0.282608695652174,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",48,48.5,44,0.295454545454545,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",49,49.5,25,0.12,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",50,50.5,30,0.266666666666667,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",51,51.5,24,0.125,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",52,52.5,23,0.173913043478261,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",53,53.5,16,0.125,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",54,54.5,19,0.368421052631579,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",55,55.5,15,0.333333333333333,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",56,56.5,16,0.25,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",57,57.5,11,0.181818181818182,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",58,58.5,12,0.25,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",59,59.5,9,0.444444444444444,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",60,60.5,7,0.285714285714286,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",61,61.5,11,0.181818181818182,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",62,62.5,6,0.5,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",63,63.5,10,0.1,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",64,64.5,5,0,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",65,65.5,12,0.5,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",66,66.5,8,0.375,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",67,67.5,3,0.333333333333333,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",68,68.5,5,0.6,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",69,69.5,4,0,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",70,70.5,6,0.166666666666667,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",71,71.5,5,0.2,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",72,72.5,5,0.2,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",73,73.5,1,1,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",74,74.5,8,0.25,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",75,75.5,3,0.666666666666667,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",76,76.5,3,0.333333333333333,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",77,77.5,1,0,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",78,78.5,1,0,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",79,79.5,2,0.5,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",80,80.5,2,0.5,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",81,81.5,2,0,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",84,84.5,4,0.75,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",85,85.5,5,0.4,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",86,86.5,1,1,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",87,87.5,1,0,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",88,88.5,1,0,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",89,89.5,2,0.5,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","imv_proc","IMV",90,90.5,1,0,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","niv_proc","NIV",21,21.5,13,0.0769230769230769,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","niv_proc","NIV",22,22.5,5,0,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","niv_proc","NIV",23,23.5,11,0,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","niv_proc","NIV",24,24.5,14,0.0714285714285715,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","niv_proc","NIV",25,25.5,20,0.1,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","niv_proc","NIV",26,26.5,20,0.1,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","niv_proc","NIV",27,27.5,25,0.04,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","niv_proc","NIV",28,28.5,33,0.0909090909090909,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","niv_proc","NIV",29,29.5,39,0.0512820512820513,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","niv_proc","NIV",30,30.5,44,0.0909090909090909,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","niv_proc","NIV",31,31.5,50,0.08,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","niv_proc","NIV",32,32.5,59,0.0847457627118644,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","niv_proc","NIV",33,33.5,63,0.126984126984127,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","niv_proc","NIV",34,34.5,63,0.0952380952380951,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","niv_proc","NIV",35,35.5,82,0.146341463414634,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","niv_proc","NIV",36,36.5,88,0.0568181818181818,"20260301_131122","2026-03-01 13:11:22.14127"
"ABG","niv_proc","NIV",37,37.5,96,0.0833333333333333,"20260301_131122","2026-03-01 13:11:22.14127"
