"cohort","outcome","outcome_label","bin_lo","bin_mid","n_bin","rate","run_id","run_ts"
"VBG","imv_proc","IMV",25,25.5,337,0.186943620178042,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",26,26.5,441,0.229024943310658,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",27,27.5,486,0.189300411522634,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",28,28.5,630,0.198412698412698,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",29,29.5,670,0.17910447761194,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",30,30.5,943,0.187698833510074,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",31,31.5,983,0.191251271617497,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",32,32.5,1206,0.175787728026534,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",33,33.5,1407,0.166311300639659,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",34,34.5,1568,0.168367346938776,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",35,35.5,1684,0.172802850356294,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",36,36.5,2010,0.171641791044776,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",37,37.5,1957,0.163515585079203,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",38,38.5,2348,0.167802385008518,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",39,39.5,2277,0.159420289855072,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",40,40.5,3549,0.111017187940265,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",41,41.5,3325,0.119699248120301,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",42,42.5,3652,0.120755750273823,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",43,43.5,3488,0.123279816513761,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",44,44.5,3614,0.118981737686774,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",45,45.5,3330,0.131831831831832,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",46,46.5,3369,0.128227960819234,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",47,47.5,2908,0.131017881705639,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",48,48.5,2884,0.137656033287101,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",49,49.5,2441,0.126997132322818,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",50,50.5,2464,0.130275974025974,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",51,51.5,2028,0.137573964497041,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",52,52.5,1964,0.137983706720978,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",53,53.5,1630,0.141104294478528,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",54,54.5,1495,0.147826086956522,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",55,55.5,1187,0.160067396798652,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",56,56.5,1176,0.157312925170068,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",57,57.5,876,0.171232876712329,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",58,58.5,859,0.190919674039581,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",59,59.5,724,0.164364640883978,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",60,60.5,669,0.188340807174888,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",61,61.5,543,0.20073664825046,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",62,62.5,550,0.205454545454546,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",63,63.5,454,0.196035242290749,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",64,64.5,379,0.197889182058047,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",65,65.5,349,0.234957020057307,"20260415_003149","2026-04-15 00:31:49.347034"
