"component","metric","value","status","severity","evidence_file","note","run_id","run_ts"
"Audit","overall_status","PASS_WITH_WARNINGS","warn","medium","Results/diagnostics_audit_issues.csv","Overall diagnostics audit status derived from the highest-severity unresolved issue.","20260424_063653","2026-04-24 06:36:53.744157"
"Inventory","expected_artifacts_missing","0","pass","none","Results/diagnostics_audit.md","Count of expected diagnostics artifacts missing from Results/.","20260424_063653","2026-04-24 06:36:53.744157"
"MI","smoke_test_failed","FALSE","pass","none","Results/mice_smoketest.log","Smoke test failure indicates the MI execution path is unstable.","20260424_063653","2026-04-24 06:36:53.744157"
"MI","chain_diagnostics_issue","FALSE","pass","none","Results/mice_chain_diagnostics.csv","numeric_names=FALSE; drift_tail_na_frac=0.000","20260424_063653","2026-04-24 06:36:53.744157"
"Balance","abg_max_abs_smd","0.108","warn","medium","Results/balance_target_imp_summary.csv","ABG target balance threshold is 0.10; pilot/subset threshold misses are validation warnings.","20260424_063653","2026-04-24 06:36:53.744157"
"Balance","vbg_max_abs_smd","0.079","pass","none","Results/balance_target_imp_summary.csv","VBG target balance threshold is 0.10; pilot/subset threshold misses are validation warnings.","20260424_063653","2026-04-24 06:36:53.744157"
"Outcome","separation_flags_total","540","warn","medium","Results/model_fit_diagnostics.csv","Broad legacy count of separation/extreme-probability flags; tail-only fitted-probability flags are warnings unless manuscript-facing curves are affected.","20260424_063653","2026-04-24 06:36:53.744157"
"Outcome","diagnostic_failures_total","0","pass","none","Results/model_fit_diagnostics.csv","Failure count after splitting nonconvergence, explicit separation warnings, and central plotted-curve instability from tail-only probability warnings.","20260424_063653","2026-04-24 06:36:53.744157"
"Outcome","diagnostic_warnings_total","540","warn","medium","Results/model_fit_diagnostics.csv","Warning count for tail-only or off-profile fitted-probability flags.","20260424_063653","2026-04-24 06:36:53.744157"
"Plotting","plot_drop_log_present","TRUE","pass","none","Results/plot_drop_log.csv","Plot drop logging should exist even if no rows are present.","20260424_063653","2026-04-24 06:36:53.744157"
