"proxy_family","proxy_name","source_fields","group","n_tested","n_nonmissing_tested","unweighted_mean_tested","weighted_mean_tested","missing_fraction_tested","m_used","component_status","reason","run_id","run_ts"
"billing_activity","any_billing_activity_proxy","","ABG",46653,0,NA,NA,1,20,"skipped","no_matching_proxy_fields","20260423_111150","2026-04-23 11:11:50.486947"
"billing_activity","any_billing_activity_proxy","","VBG",37383,0,NA,NA,1,20,"skipped","no_matching_proxy_fields","20260423_111150","2026-04-23 11:11:50.486947"
"diagnosis_density","diagnosis_density","principal_diagnosis_indicator; admitting_diagnosis; sepsis_dx; stupor_dx; cog_signs_dx; mal_fat_dx; resp_acid_dx; sleep_hypovent_dx; cchs_dx; other_sleep_hypovent_dx; headache_dx; sepsis_dx_date; stupor_dx_date; cog_signs_dx_date; mal_fat_dx_date; resp_acid_dx_date; sleep_hypovent_dx_date; cchs_dx_date; other_sleep_hypovent_dx_date; headache_dx_date; dysp_dx; dysp_dx_date; abn_br_dx; abn_br_dx_date; pulm_edema_dx; pulm_edema_dx_date; pna_dx; pna_dx_date; hypercap_dx_adm_flag; hypercap_dx_pcpl_flag; hypercap_dx_vr_flag; dx_hypercap_on_abg; sugg_hypercap_dx_on_vbg; dx_hypercap_on_vbg","ABG",46653,46653,1.35641866546631,1.25804133722231,0,20,"completed","proxy_fields_available","20260423_111150","2026-04-23 11:11:50.486947"
"diagnosis_density","diagnosis_density","principal_diagnosis_indicator; admitting_diagnosis; sepsis_dx; stupor_dx; cog_signs_dx; mal_fat_dx; resp_acid_dx; sleep_hypovent_dx; cchs_dx; other_sleep_hypovent_dx; headache_dx; sepsis_dx_date; stupor_dx_date; cog_signs_dx_date; mal_fat_dx_date; resp_acid_dx_date; sleep_hypovent_dx_date; cchs_dx_date; other_sleep_hypovent_dx_date; headache_dx_date; dysp_dx; dysp_dx_date; abn_br_dx; abn_br_dx_date; pulm_edema_dx; pulm_edema_dx_date; pna_dx; pna_dx_date; hypercap_dx_adm_flag; hypercap_dx_pcpl_flag; hypercap_dx_vr_flag; dx_hypercap_on_abg; sugg_hypercap_dx_on_vbg; dx_hypercap_on_vbg","VBG",37383,37383,1.32287403365166,1.27799365322692,0,20,"completed","proxy_fields_available","20260423_111150","2026-04-23 11:11:50.486947"
"procedure_code_density","total_procedure_code_count","","ABG",46653,0,NA,NA,1,20,"skipped","no_matching_proxy_fields","20260423_111150","2026-04-23 11:11:50.486947"
"procedure_code_density","total_procedure_code_count","","VBG",37383,0,NA,NA,1,20,"skipped","no_matching_proxy_fields","20260423_111150","2026-04-23 11:11:50.486947"
"procedure_code_presence","any_cpt_pcs_code_present","","ABG",46653,0,NA,NA,1,20,"skipped","no_matching_proxy_fields","20260423_111150","2026-04-23 11:11:50.486947"
"procedure_code_presence","any_cpt_pcs_code_present","","VBG",37383,0,NA,NA,1,20,"skipped","no_matching_proxy_fields","20260423_111150","2026-04-23 11:11:50.486947"
"procedure_density","procedure_density","ohs_code; tte_proc; blood_cx_proc; art_punct_proc; blood_cx_proc_0; imv_proc_0; niv_proc_0; tte_proc_0; vent_proc_0; blood_cx_proc_dur; imv_proc_dur; niv_proc_dur; tte_proc_dur","ABG",46653,46653,1.41564315263756,1.31818034172862,0,20,"completed","proxy_fields_available","20260423_111150","2026-04-23 11:11:50.486947"
"procedure_density","procedure_density","ohs_code; tte_proc; blood_cx_proc; art_punct_proc; blood_cx_proc_0; imv_proc_0; niv_proc_0; tte_proc_0; vent_proc_0; blood_cx_proc_dur; imv_proc_dur; niv_proc_dur; tte_proc_dur","VBG",37383,37383,1.01334831340449,1.06756232152965,0,20,"completed","proxy_fields_available","20260423_111150","2026-04-23 11:11:50.486947"
