"outcome","modality","co2_category","n","events","event_rate","run_id","run_ts"
"IMV","ABG","High",161,63,0.391304347826087,"20260423_104307","2026-04-23 10:43:07.487173"
"IMV","ABG","Low",171,60,0.350877192982456,"20260423_104307","2026-04-23 10:43:07.487173"
"IMV","ABG","Normal",191,56,0.293193717277487,"20260423_104307","2026-04-23 10:43:07.487173"
"IMV","VBG","High",160,63,0.39375,"20260423_104307","2026-04-23 10:43:07.487173"
"IMV","VBG","Low",185,58,0.313513513513514,"20260423_104307","2026-04-23 10:43:07.487173"
"IMV","VBG","Normal",178,58,0.325842696629214,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","ABG","High",161,31,0.192546583850932,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","ABG","Low",171,14,0.0818713450292398,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","ABG","Normal",191,15,0.0785340314136126,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","VBG","High",160,31,0.19375,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","VBG","Low",185,14,0.0756756756756757,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","VBG","Normal",178,15,0.0842696629213483,"20260423_104307","2026-04-23 10:43:07.487173"
