"outcome","co2_representation","metric_type","level","abg_value","vbg_value","absolute_gap","relative_gap","comment","run_id","run_ts"
"IMV","cat3","OR","Low vs normal",1.38049276646413,1.3913853510531,-0.0108925845889696,-0.00782858938447593,"ABG-VBG gap on relative odds scale.","20260423_111150","2026-04-23 11:11:50.486947"
"NIV","cat3","OR","Low vs normal",0.984331714331803,0.965986890930746,0.0183448234010573,0.0189907581285929,"ABG-VBG gap on relative odds scale.","20260423_111150","2026-04-23 11:11:50.486947"
"IMV","spline","OR","Low vs normal",1.19074784392041,1.09046918546833,0.100278658452079,0.0919591858150597,"ABG-VBG gap on relative odds scale.","20260423_111150","2026-04-23 11:11:50.486947"
"NIV","spline","OR","Low vs normal",1.01551728946839,0.991617597267496,0.0238996922008935,0.0241017225458196,"ABG-VBG gap on relative odds scale.","20260423_111150","2026-04-23 11:11:50.486947"
"IMV","cat3","OR","High vs normal",1.33157870758831,1.55922959170444,-0.22765088411613,-0.146002157300823,"ABG-VBG gap on relative odds scale.","20260423_111150","2026-04-23 11:11:50.486947"
"NIV","cat3","OR","High vs normal",2.62009147667842,2.85235354074974,-0.232262064071312,-0.0814282173486329,"ABG-VBG gap on relative odds scale.","20260423_111150","2026-04-23 11:11:50.486947"
"IMV","spline","OR","High vs normal",1.04594463524134,1.10295661935071,-0.057011984109365,-0.0516901418506623,"ABG-VBG gap on relative odds scale.","20260423_111150","2026-04-23 11:11:50.486947"
"NIV","spline","OR","High vs normal",1.37813267852382,1.39203790810776,-0.0139052295839395,-0.00998911703693562,"ABG-VBG gap on relative odds scale.","20260423_111150","2026-04-23 11:11:50.486947"
"IMV","cat3","probability","Normal",0.206849128209221,0.163658452534626,0.0431906756745949,0.263907393756254,"ABG-VBG gap on absolute probability scale.","20260423_111150","2026-04-23 11:11:50.486947"
"NIV","cat3","probability","Normal",0.0874610026862988,0.0215468573566868,0.065914145329612,3.05910714673926,"ABG-VBG gap on absolute probability scale.","20260423_111150","2026-04-23 11:11:50.486947"
"IMV","spline","probability","Normal",0.202896679917534,0.164812276253709,0.0380844036638246,0.231077469042404,"ABG-VBG gap on absolute probability scale.","20260423_111150","2026-04-23 11:11:50.486947"
"NIV","spline","probability","Normal",0.0835291489789617,0.0199262852743049,0.0636028637046568,3.19190771531678,"ABG-VBG gap on absolute probability scale.","20260423_111150","2026-04-23 11:11:50.486947"
"IMV","cat3","probability","Low",0.264719114044436,0.214004247869512,0.0507148661749238,0.236980651925409,"ABG-VBG gap on absolute probability scale.","20260423_111150","2026-04-23 11:11:50.486947"
"NIV","cat3","probability","Low",0.0862087761124891,0.020829246994398,0.0653795291180911,3.13883306178447,"ABG-VBG gap on absolute probability scale.","20260423_111150","2026-04-23 11:11:50.486947"
"IMV","spline","probability","Low",0.23259679860651,0.177082334466419,0.0555144641400909,0.313495212875785,"ABG-VBG gap on absolute probability scale.","20260423_111150","2026-04-23 11:11:50.486947"
"NIV","spline","probability","Low",0.0847154913188817,0.0197625560688405,0.0649529352500412,3.28666671577226,"ABG-VBG gap on absolute probability scale.","20260423_111150","2026-04-23 11:11:50.486947"
"IMV","cat3","probability","High",0.257757164337392,0.233784523134189,0.0239726412032027,0.102541609178477,"ABG-VBG gap on absolute probability scale.","20260423_111150","2026-04-23 11:11:50.486947"
"NIV","cat3","probability","High",0.200715482512028,0.0591004155928325,0.141615066919196,2.39617717572142,"ABG-VBG gap on absolute probability scale.","20260423_111150","2026-04-23 11:11:50.486947"
"IMV","spline","probability","High",0.210258659709005,0.178747707918686,0.0315109517903194,0.176287305483403,"ABG-VBG gap on absolute probability scale.","20260423_111150","2026-04-23 11:11:50.486947"
"NIV","spline","probability","High",0.111589678567143,0.027523137594104,0.0840665409730391,3.05439525873852,"ABG-VBG gap on absolute probability scale.","20260423_111150","2026-04-23 11:11:50.486947"
