"setting_var","setting_level","outcome","outcome_var","group","co2_level","co2_value","n_setting_total","n_setting_abg","n_setting_vbg","eta","ubar","bvar","p_imp_mean","m_used","m_total","n_available","n_standardized","standardization_sample_cap","var_eta","SE_eta","p","p_LCL","p_UCL","passed_threshold","min_required","component_status","reason","run_id","run_ts"
"encounter_type","Emergency","IMV","imv_proc","ABG","High",45,1710,283,463,-2.24052024018352,0.0452593765071651,0.00141235287879064,0.096217275958823,20,20,1710,1000,1000,0.0467423470298953,0.2161997849904,0.0961703121091127,0.0651148034279307,0.139822059881643,TRUE,18,"completed","within_setting_common_source_marginal_standardization","20260424_063653","2026-04-24 06:36:53.744157"
"encounter_type","Emergency","IMV","imv_proc","ABG","Low",35,1710,283,463,-1.95390080392864,0.0410991454883468,0.0018463875242928,0.124199947636117,20,20,1710,1000,1000,0.0430378523888543,0.207455663670227,0.12412863779264,0.0862336915068707,0.175478353383538,TRUE,18,"completed","within_setting_common_source_marginal_standardization","20260424_063653","2026-04-24 06:36:53.744157"
"encounter_type","Emergency","IMV","imv_proc","ABG","Normal",40,1710,283,463,-2.23757536923736,0.0451131361435109,0.00162490563649652,0.0964806949446341,20,20,1710,1000,1000,0.0468192870618322,0.216377649173458,0.0964265895406642,0.0652730287926017,0.140218643474708,TRUE,18,"completed","within_setting_common_source_marginal_standardization","20260424_063653","2026-04-24 06:36:53.744157"
"encounter_type","Emergency","IMV","imv_proc","VBG","High",50,1710,283,463,-3.81566471445991,0.141077708763025,0.00790831062231912,0.0216244444943683,20,20,1710,1000,1000,0.149381434916461,0.386498945556725,0.0215485062604653,0.0102193269704029,0.0448679110279394,TRUE,18,"completed","within_setting_common_source_marginal_standardization","20260424_063653","2026-04-24 06:36:53.744157"
"encounter_type","Emergency","IMV","imv_proc","VBG","Low",40,1710,283,463,-3.87050277896545,0.140094346151114,0.00792413683753763,0.0204942698701344,20,20,1710,1000,1000,0.148414689830528,0.385246271663372,0.0204221267633171,0.00970284924470164,0.0424756538424461,TRUE,18,"completed","within_setting_common_source_marginal_standardization","20260424_063653","2026-04-24 06:36:53.744157"
"encounter_type","Emergency","IMV","imv_proc","VBG","Normal",45,1710,283,463,-3.90297461143193,0.145687847907369,0.0102700559252974,0.0198731900285341,20,20,1710,1000,1000,0.156471406628932,0.395564668074553,0.0197825419989965,0.00920937397547223,0.0419803007561325,TRUE,18,"completed","within_setting_common_source_marginal_standardization","20260424_063653","2026-04-24 06:36:53.744157"
"encounter_type","Inpatient","IMV","imv_proc","ABG","High",45,3465,1628,982,-1.38205597261069,0.00855814037533811,0.000998647748406817,0.200724548554351,20,20,3465,1000,1000,0.00960672051116527,0.0980138791761925,0.20067900451048,0.171623707754364,0.233268098444195,TRUE,18,"completed","within_setting_common_source_marginal_standardization","20260424_063653","2026-04-24 06:36:53.744157"
"encounter_type","Inpatient","IMV","imv_proc","ABG","Low",35,3465,1628,982,-1.09725322427251,0.00781647384143988,0.00106563469508968,0.250302377185428,20,20,3465,1000,1000,0.00893539027128405,0.0945271932899949,0.250254911145105,0.217120460359893,0.28659485418908,TRUE,18,"completed","within_setting_common_source_marginal_standardization","20260424_063653","2026-04-24 06:36:53.744157"
"encounter_type","Inpatient","IMV","imv_proc","ABG","Normal",40,3465,1628,982,-1.37913028262408,0.00885055090459774,0.00104782235259737,0.201196506749348,20,20,3465,1000,1000,0.00995076437482498,0.0997535181075083,0.201148716494814,0.171554908559469,0.234403121716966,TRUE,18,"completed","within_setting_common_source_marginal_standardization","20260424_063653","2026-04-24 06:36:53.744157"
"encounter_type","Inpatient","IMV","imv_proc","VBG","High",50,3465,1628,982,-1.51983094204439,0.0198067028692416,0.00155825982503321,0.179556291431728,20,20,3465,1000,1000,0.0214428756855264,0.146433861130295,0.179486415399565,0.141020315513385,0.225688140575587,TRUE,18,"completed","within_setting_common_source_marginal_standardization","20260424_063653","2026-04-24 06:36:53.744157"
