"imp","group","outcome","outcome_var","co2_scale","status","error_message","n_standardized","n_grid","m_used","m_total","min_required","passed_threshold","run_id","run_ts"
1,"ABG","IMV","imv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
1,"ABG","NIV","niv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
1,"VBG","IMV","imv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
1,"VBG","NIV","niv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
2,"ABG","IMV","imv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
2,"ABG","NIV","niv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
2,"VBG","IMV","imv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
2,"VBG","NIV","niv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
3,"ABG","IMV","imv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
3,"ABG","NIV","niv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
3,"VBG","IMV","imv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
3,"VBG","NIV","niv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
4,"ABG","IMV","imv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
4,"ABG","NIV","niv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
4,"VBG","IMV","imv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
4,"VBG","NIV","niv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
5,"ABG","IMV","imv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
5,"ABG","NIV","niv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
5,"VBG","IMV","imv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
5,"VBG","NIV","niv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
6,"ABG","IMV","imv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
6,"ABG","NIV","niv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
6,"VBG","IMV","imv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
6,"VBG","NIV","niv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
7,"ABG","IMV","imv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
7,"ABG","NIV","niv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
7,"VBG","IMV","imv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
7,"VBG","NIV","niv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
8,"ABG","IMV","imv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
8,"ABG","NIV","niv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
8,"VBG","IMV","imv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
