"outcome","outcome_var","group","co2_scale","strategy","co2_value","eta","ubar","bvar","p_imp_mean","m_used","m_total","n_available","n_standardized","standardization_sample_cap","var_eta","SE_eta","p","p_LCL","p_UCL","passed_threshold","min_required","run_id","run_ts"
"IMV","imv_proc","ABG","paco2","marginal_standardized",23,-1.21645888374471,0.0335184165091361,0.00150135301808155,0.228628552684849,20,20,5175,1000,1000,0.0350948371781217,0.187336160892983,0.228560221552719,0.170280903436183,0.299583914003511,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
"IMV","imv_proc","ABG","paco2","marginal_standardized",23.3115577889447,-1.2060575839087,0.0309856413316004,0.00143129940169731,0.230464434873545,20,20,5175,1000,1000,0.0324885057033826,0.180245681511049,0.230399359291302,0.173741499497694,0.29885084250444,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
"IMV","imv_proc","ABG","paco2","marginal_standardized",23.6231155778894,-1.19623881877445,0.0286915511775677,0.00136811694900121,0.23220711965809,20,20,5175,1000,1000,0.030128073974019,0.173574404720336,0.232144985388434,0.177052712269471,0.298168834457114,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
"IMV","imv_proc","ABG","paco2","marginal_standardized",23.9346733668342,-1.18701309162198,0.0266217696850459,0.00131137684268857,0.233853055989834,20,20,5175,1000,1000,0.0279987153698689,0.167328166696073,0.23379356751951,0.180202476606007,0.297537890144657,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
"IMV","imv_proc","ABG","paco2","marginal_standardized",24.2462311557789,-1.17839092145148,0.0247620655477796,0.00126065509894408,0.235398755662377,20,20,5175,1000,1000,0.0260857534016709,0.161510846080599,0.235341636173583,0.183179595504577,0.296957218389705,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
"IMV","imv_proc","ABG","paco2","marginal_standardized",24.5577889447236,-1.17038284472946,0.0230983768916348,0.00121553332883316,0.236840799003513,20,20,5175,1000,1000,0.0243746868869096,0.156123947192318,0.236785790260362,0.185973946454464,0.296425070305367,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
"IMV","imv_proc","ABG","paco2","marginal_standardized",24.8693467336683,-1.16299941714086,0.0216168359276644,0.0011755995093986,0.238175840549036,20,20,5175,1000,1000,0.0228512154125329,0.151166184752189,0.238122702706133,0.188576685650957,0.295938573509856,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
"IMV","imv_proc","ABG","paco2","marginal_standardized",25.1809045226131,-1.15625121534871,0.0203037939118243,0.00114044876530718,0.239400614714672,20,20,5175,1000,1000,0.0215012651153969,0.146633096930389,0.239349126054892,0.190980439228376,0.295493577513583,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
"IMV","imv_proc","ABG","paco2","marginal_standardized",25.4924623115578,-1.15014883876379,0.0191458464416281,0.00110968416190332,0.240511941484498,20,20,5175,1000,1000,0.0203110148116265,0.142516717656654,0.240461898092905,0.193179468971404,0.295084522738458,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
"IMV","imv_proc","ABG","paco2","marginal_standardized",25.8040201005025,-1.14470291132667,0.0181298591202109,0.00108291751053847,0.241506732136053,20,20,5175,1000,1000,0.0192669225062763,0.138805340337742,0.241457947516645,0.195169799404477,0.29470434624487,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
