"variable","group","missing_target","missing_tested","missing_weighted","smd_pre","smd_post","component_status","reason","run_id","run_ts"
"curr_bmi","ABG",0.56695652173913,0.582417582417582,0.557623913411367,0.0312031655813108,-0.0188348606226343,"completed","baseline_missingness_indicators_available","20260421_092434","2026-04-21 09:24:34.367118"
"curr_bmi","VBG",0.56695652173913,0.688581314878893,0.725117750535464,0.245460427202246,0.319197441450679,"completed","baseline_missingness_indicators_available","20260421_092434","2026-04-21 09:24:34.367118"
"dbp","ABG",0.300676328502415,0.264259549973836,0.271005431362326,-0.0794168745116495,-0.0647056112602947,"completed","baseline_missingness_indicators_available","20260421_092434","2026-04-21 09:24:34.367118"
"dbp","VBG",0.300676328502415,0.434602076124567,0.407100587886853,0.29206219557395,0.232087581439861,"completed","baseline_missingness_indicators_available","20260421_092434","2026-04-21 09:24:34.367118"
"hr","ABG",0.365217391304348,0.387231815803244,0.373523969668078,0.0457213559504614,0.0172517808093299,"completed","baseline_missingness_indicators_available","20260421_092434","2026-04-21 09:24:34.367118"
"hr","VBG",0.365217391304348,0.449134948096886,0.466382643347874,0.174286840194119,0.210108263276747,"completed","baseline_missingness_indicators_available","20260421_092434","2026-04-21 09:24:34.367118"
"plt","ABG",0.077487922705314,0.0580847723704867,0.0512044827151737,-0.0725720195800631,-0.0983058054326437,"completed","baseline_missingness_indicators_available","20260421_092434","2026-04-21 09:24:34.367118"
"plt","VBG",0.077487922705314,0.0408304498269896,0.0522573354914133,-0.137106953952025,-0.0943679061238375,"completed","baseline_missingness_indicators_available","20260421_092434","2026-04-21 09:24:34.367118"
"sbp","ABG",0.298357487922705,0.263736263736264,0.270377155398076,-0.0756686528000989,-0.0611542230752958,"completed","baseline_missingness_indicators_available","20260421_092434","2026-04-21 09:24:34.367118"
"sbp","VBG",0.298357487922705,0.431833910034602,0.404577460026651,0.291728015953287,0.232155921069866,"completed","baseline_missingness_indicators_available","20260421_092434","2026-04-21 09:24:34.367118"
"serum_ca","ABG",0.0995169082125604,0.0512820512820513,0.0468276342170265,-0.161129394826118,-0.176009454012871,"completed","baseline_missingness_indicators_available","20260421_092434","2026-04-21 09:24:34.367118"
"serum_ca","VBG",0.0995169082125604,0.071280276816609,0.101526103472365,-0.0943249678404256,0.00671175239031559,"completed","baseline_missingness_indicators_available","20260421_092434","2026-04-21 09:24:34.367118"
"serum_cl","ABG",0.0575845410628019,0.0261643118785976,0.0241398040320771,-0.134876159992358,-0.14356667089259,"completed","baseline_missingness_indicators_available","20260421_092434","2026-04-21 09:24:34.367118"
"serum_cl","VBG",0.0575845410628019,0.0173010380622837,0.022124803094748,-0.172923124268043,-0.152216371924833,"completed","baseline_missingness_indicators_available","20260421_092434","2026-04-21 09:24:34.367118"
"serum_cr","ABG",0.0929468599033816,0.0565149136577708,0.0492221074433191,-0.125472527311462,-0.150589132961654,"completed","baseline_missingness_indicators_available","20260421_092434","2026-04-21 09:24:34.367118"
"serum_cr","VBG",0.0929468599033816,0.0602076124567474,0.0889239886365769,-0.112754780974663,-0.013854868512699,"completed","baseline_missingness_indicators_available","20260421_092434","2026-04-21 09:24:34.367118"
"serum_hco3","ABG",0.0544927536231884,0.0188383045525903,0.0176351528577979,-0.157076755545793,-0.162377276787145,"completed","baseline_missingness_indicators_available","20260421_092434","2026-04-21 09:24:34.367118"
"serum_hco3","VBG",0.0544927536231884,0.0179930795847751,0.0229407285150868,-0.160800419747919,-0.1390034024945,"completed","baseline_missingness_indicators_available","20260421_092434","2026-04-21 09:24:34.367118"
"serum_k","ABG",0.0776811594202899,0.0366300366300366,0.0317551219816685,-0.153365138241175,-0.17157759890348,"completed","baseline_missingness_indicators_available","20260421_092434","2026-04-21 09:24:34.367118"
"serum_k","VBG",0.0776811594202899,0.0546712802768166,0.0782561535100651,-0.0859638678771871,0.00214815191576625,"completed","baseline_missingness_indicators_available","20260421_092434","2026-04-21 09:24:34.367118"
"serum_lac","ABG",0.603864734299517,0.401883830455259,0.441043885687388,-0.412970209537967,-0.332903550230409,"completed","baseline_missingness_indicators_available","20260421_092434","2026-04-21 09:24:34.367118"
"serum_lac","VBG",0.603864734299517,0.500346020761246,0.521316402270993,-0.211654389139501,-0.168778341546164,"completed","baseline_missingness_indicators_available","20260421_092434","2026-04-21 09:24:34.367118"
