"field","missing_overall","missing_abg_tested","missing_vbg_tested","n_overall","n_abg_tested","n_vbg_tested","component_status","reason","run_id","run_ts"
"imv_proc",0,0,0,5175,1911,1445,"completed","available_field","20260424_063653","2026-04-24 06:36:53.744157"
"niv_proc",0,0,0,5175,1911,1445,"completed","available_field","20260424_063653","2026-04-24 06:36:53.744157"
"niv_proc_first_date",0.935458937198068,0.904238618524333,0.930795847750865,5175,1911,1445,"completed","available_field","20260424_063653","2026-04-24 06:36:53.744157"
"niv_proc_last_date",0.935458937198068,0.904238618524333,0.930795847750865,5175,1911,1445,"completed","available_field","20260424_063653","2026-04-24 06:36:53.744157"
"imv_proc_first_date",0.892946859903382,0.757718472004186,0.856055363321799,5175,1911,1445,"completed","available_field","20260424_063653","2026-04-24 06:36:53.744157"
"imv_proc_last_date",0.892946859903382,0.757718472004186,0.856055363321799,5175,1911,1445,"completed","available_field","20260424_063653","2026-04-24 06:36:53.744157"
"imv_proc_0",0,0,0,5175,1911,1445,"completed","available_field","20260424_063653","2026-04-24 06:36:53.744157"
"niv_proc_0",0,0,0,5175,1911,1445,"completed","available_field","20260424_063653","2026-04-24 06:36:53.744157"
"imv_proc_dur",0.892946859903382,0.757718472004186,0.856055363321799,5175,1911,1445,"completed","available_field","20260424_063653","2026-04-24 06:36:53.744157"
"niv_proc_dur",0.935458937198068,0.904238618524333,0.930795847750865,5175,1911,1445,"completed","available_field","20260424_063653","2026-04-24 06:36:53.744157"
