"sentinel_concept","group","imp","n_tested","events","unweighted_rate","weighted_rate","weighted_n","ess","date_missing_fraction","run_id","run_ts"
"CT chest / CT pulmonary angiography","ABG",1,1911,81,0.0423861852433281,0.0392496625916481,1911,1320.40542595885,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","VBG",1,1445,121,0.0837370242214533,0.0768500422871138,1445,977.144531669385,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","ABG",1,1911,522,0.273155416012559,0.261877848390923,1911,1320.40542595885,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","VBG",1,1445,578,0.4,0.403520884544452,1445,977.144531669385,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","ABG",1,1911,285,0.149136577708006,0.134653715658912,1911,1320.40542595885,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","VBG",1,1445,250,0.173010380622837,0.210159638577052,1445,977.144531669385,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","ABG",2,1911,81,0.0423861852433281,0.0412347588628321,1911,1348.16520183105,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","VBG",2,1445,121,0.0837370242214533,0.0776772707637843,1445,966.970163849066,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","ABG",2,1911,522,0.273155416012559,0.26842199520666,1911,1348.16520183105,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","VBG",2,1445,578,0.4,0.402174843296624,1445,966.970163849066,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","ABG",2,1911,285,0.149136577708006,0.133260727685013,1911,1348.16520183105,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","VBG",2,1445,250,0.173010380622837,0.206368618501508,1445,966.970163849066,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","ABG",3,1911,81,0.0423861852433281,0.0417613111868778,1911,1327.06788800251,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","VBG",3,1445,121,0.0837370242214533,0.0779642283824666,1445,931.204973710211,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","ABG",3,1911,522,0.273155416012559,0.267392014140531,1911,1327.06788800251,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","VBG",3,1445,578,0.4,0.400071118773219,1445,931.204973710211,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","ABG",3,1911,285,0.149136577708006,0.139459885840315,1911,1327.06788800251,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","VBG",3,1445,250,0.173010380622837,0.207613113377617,1445,931.204973710211,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","ABG",4,1911,81,0.0423861852433281,0.0401619735597293,1911,1394.96583087676,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","VBG",4,1445,121,0.0837370242214533,0.0766530022318363,1445,977.538813640539,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","ABG",4,1911,522,0.273155416012559,0.262641451547484,1911,1394.96583087676,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","VBG",4,1445,578,0.4,0.400751923430876,1445,977.538813640539,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","ABG",4,1911,285,0.149136577708006,0.130375439430872,1911,1394.96583087676,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","VBG",4,1445,250,0.173010380622837,0.212767373193822,1445,977.538813640539,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","ABG",5,1911,81,0.0423861852433281,0.0437525868350248,1911,1311.92159096205,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","VBG",5,1445,121,0.0837370242214533,0.0724358061539222,1445,931.742359592932,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","ABG",5,1911,522,0.273155416012559,0.268691788579447,1911,1311.92159096205,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","VBG",5,1445,578,0.4,0.400810369880596,1445,931.742359592932,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","ABG",5,1911,285,0.149136577708006,0.135720140486521,1911,1311.92159096205,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","VBG",5,1445,250,0.173010380622837,0.212291294503586,1445,931.742359592932,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","ABG",6,1911,81,0.0423861852433281,0.0409089873829419,1911,1313.98210418178,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","VBG",6,1445,121,0.0837370242214533,0.0793244508359834,1445,962.982158765928,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","ABG",6,1911,522,0.273155416012559,0.267010144340039,1911,1313.98210418178,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","VBG",6,1445,578,0.4,0.40399794285097,1445,962.982158765928,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","ABG",6,1911,285,0.149136577708006,0.134825373098594,1911,1313.98210418178,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","VBG",6,1445,250,0.173010380622837,0.216189099198336,1445,962.982158765928,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","ABG",7,1911,81,0.0423861852433281,0.0394547235295093,1911,1342.09824503927,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","VBG",7,1445,121,0.0837370242214533,0.0784029521572618,1445,974.29479863688,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","ABG",7,1911,522,0.273155416012559,0.264399017619553,1911,1342.09824503927,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","VBG",7,1445,578,0.4,0.41018336704066,1445,974.29479863688,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","ABG",7,1911,285,0.149136577708006,0.132307734091272,1911,1342.09824503927,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","VBG",7,1445,250,0.173010380622837,0.215103431618069,1445,974.29479863688,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","ABG",8,1911,81,0.0423861852433281,0.0392780776599569,1911,1347.82887248603,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","VBG",8,1445,121,0.0837370242214533,0.0745325527055366,1445,918.512434922941,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","ABG",8,1911,522,0.273155416012559,0.263098784541208,1911,1347.82887248603,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","VBG",8,1445,578,0.4,0.400200261423401,1445,918.512434922941,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","ABG",8,1911,285,0.149136577708006,0.133466000362491,1911,1347.82887248603,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","VBG",8,1445,250,0.173010380622837,0.210066507044564,1445,918.512434922941,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","ABG",9,1911,81,0.0423861852433281,0.0410866200293843,1911,1354.02861710373,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","VBG",9,1445,121,0.0837370242214533,0.0760541273983975,1445,960.585737103736,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","ABG",9,1911,522,0.273155416012559,0.263068477617547,1911,1354.02861710373,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","VBG",9,1445,578,0.4,0.408931343756969,1445,960.585737103736,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","ABG",9,1911,285,0.149136577708006,0.134113916584566,1911,1354.02861710373,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","VBG",9,1445,250,0.173010380622837,0.216074839875903,1445,960.585737103736,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","ABG",10,1911,81,0.0423861852433281,0.040282779855638,1911,1386.04949107019,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","VBG",10,1445,121,0.0837370242214533,0.0750889653094408,1445,956.087111086895,0,"20260424_063653","2026-04-24 06:36:53.744157"
