"sentinel_concept","candidate_field","field_role","matched_pattern","present","class","n_nonmissing","prevalence_overall","prevalence_abg_tested","prevalence_vbg_tested","date_field","date_missing_abg_tested","date_missing_vbg_tested","selection_reason","events_abg_tested","events_vbg_tested","priority_rank","run_id","run_ts"
"ECG/EKG",NA,"binary_indicator","(ecg|ekg|electrocard)",FALSE,NA,0,NA,NA,NA,NA,NA,NA,"no_matching_binary_field",0,0,1,"20260423_111150","2026-04-23 11:11:50.486947"
"Chest radiograph","cxr1v","analysis_indicator","(cxr|chest.*(xray|x_ray|radiograph)|xray.*chest|x_ray.*chest)",TRUE,"haven_labelled/vctrs_vctr/double",128521,0.277690027310712,0.302617195035689,0.40622742958029,"cxr1v_first_date",0,0,"candidate_detected",14118,15186,2,"20260423_111150","2026-04-23 11:11:50.486947"
"Chest radiograph","cxr2v","analysis_indicator","(cxr|chest.*(xray|x_ray|radiograph)|xray.*chest|x_ray.*chest)",TRUE,"haven_labelled/vctrs_vctr/double",128521,0.030602002785537,0.0433198293786037,0.0549982612417409,"cxr2v_first_date",0,0,"candidate_detected",2021,2056,2,"20260423_111150","2026-04-23 11:11:50.486947"
"Chest radiograph","cxr1v_0","analysis_indicator","(cxr|chest.*(xray|x_ray|radiograph)|xray.*chest|x_ray.*chest)",TRUE,"numeric",128521,0.213365909073225,0.207853728591945,0.315303747692802,"cxr1v_first_date",0,0,"candidate_detected",9697,11787,2,"20260423_111150","2026-04-23 11:11:50.486947"
"Chest radiograph","cxr2v_0","analysis_indicator","(cxr|chest.*(xray|x_ray|radiograph)|xray.*chest|x_ray.*chest)",TRUE,"numeric",128521,0.0116479018993005,0.0128823441150623,0.0203033464408956,"cxr2v_first_date",0,0,"candidate_detected",601,759,2,"20260423_111150","2026-04-23 11:11:50.486947"
"Chest radiograph","cxr1v_dur","analysis_indicator","(cxr|chest.*(xray|x_ray|radiograph)|xray.*chest|x_ray.*chest)",TRUE,"numeric",35689,0.0952295733771135,0.167256125008038,0.142925928898162,"cxr1v_first_date",0,0,"candidate_detected",7803,5343,2,"20260423_111150","2026-04-23 11:11:50.486947"
"Chest radiograph","cxr2v_dur","analysis_indicator","(cxr|chest.*(xray|x_ray|radiograph)|xray.*chest|x_ray.*chest)",TRUE,"numeric",3933,0.00315901681437275,0.00613036675026258,0.00714228392584865,"cxr2v_first_date",0,0,"candidate_detected",286,267,2,"20260423_111150","2026-04-23 11:11:50.486947"
"Transthoracic echocardiography","tte_proc","analysis_indicator","(tte|transthoracic|echo)",TRUE,"haven_labelled/vctrs_vctr/double",128521,0.120221598026782,0.147643238376953,0.17039830939197,"tte_proc_first_date",0,0,"candidate_detected",6888,6370,3,"20260423_111150","2026-04-23 11:11:50.486947"
"Transthoracic echocardiography","tte_proc_0","analysis_indicator","(tte|transthoracic|echo)",TRUE,"numeric",128521,0.0446930851767415,0.0559235204595632,0.0659925634646765,"tte_proc_first_date",0,0,"candidate_detected",2609,2467,3,"20260423_111150","2026-04-23 11:11:50.486947"
"Transthoracic echocardiography","tte_proc_dur","analysis_indicator","(tte|transthoracic|echo)",TRUE,"numeric",15451,0.0222998576108185,0.0371037232332326,0.0392959366556991,"tte_proc_first_date",0,0,"candidate_detected",1731,1469,3,"20260423_111150","2026-04-23 11:11:50.486947"
