"sentinel_concept","candidate_field","field_role","matched_pattern","present","class","n_nonmissing","prevalence_overall","prevalence_abg_tested","prevalence_vbg_tested","events_abg_tested","events_vbg_tested","date_field","date_missing_abg_tested","date_missing_vbg_tested","priority_rank","v2_priority_rank","physiologic_specificity","workflow_dependence","timestamp_available","coding_completeness_proxy","selected_v2","evidentiary_role","selection_reason","v2_selection_reason","run_id","run_ts"
"ECG/EKG",NA,"binary_indicator","(ecg|ekg|electrocard)",FALSE,NA,0,NA,NA,NA,0,0,NA,NA,NA,1,1,"low","medium",FALSE,0,FALSE,"not_selected","no_matching_binary_field","no_matching_binary_field","20260423_104307","2026-04-23 10:43:07.487173"
"Chest radiograph","cxr1v","analysis_indicator","(cxr|chest.*(xray|x_ray|radiograph)|xray.*chest|x_ray.*chest)",TRUE,"haven_labelled/vctrs_vctr/double",5175,0.265893719806763,0.273155416012559,0.4,522,578,"cxr1v_first_date",0,0,2,2,"medium","medium",TRUE,0,TRUE,"capture_or_documentation_sentinel","eligible","eligible_for_capture_specificity","20260423_104307","2026-04-23 10:43:07.487173"
"Chest radiograph","cxr2v","analysis_indicator","(cxr|chest.*(xray|x_ray|radiograph)|xray.*chest|x_ray.*chest)",TRUE,"haven_labelled/vctrs_vctr/double",5175,0.0289855072463768,0.0413396127681842,0.0539792387543253,79,78,"cxr2v_first_date",0,0,2,2,"medium","medium",TRUE,0,FALSE,"not_selected","eligible","eligible_for_capture_specificity","20260423_104307","2026-04-23 10:43:07.487173"
"Chest radiograph","cxr1v_0","analysis_indicator","(cxr|chest.*(xray|x_ray|radiograph)|xray.*chest|x_ray.*chest)",TRUE,"numeric",5175,0.206570048309179,0.192046049188906,0.308650519031142,367,446,"cxr1v_first_date",0,0,2,2,"medium","medium",TRUE,0,FALSE,"not_selected","eligible","eligible_for_capture_specificity","20260423_104307","2026-04-23 10:43:07.487173"
"Chest radiograph","cxr2v_0","analysis_indicator","(cxr|chest.*(xray|x_ray|radiograph)|xray.*chest|x_ray.*chest)",TRUE,"numeric",5175,0.0127536231884058,0.0146520146520147,0.0193771626297578,28,28,"cxr2v_first_date",0,0,2,2,"medium","medium",TRUE,0,FALSE,"not_selected","eligible","eligible_for_capture_specificity","20260423_104307","2026-04-23 10:43:07.487173"
"Chest radiograph","cxr1v_dur","analysis_indicator","(cxr|chest.*(xray|x_ray|radiograph)|xray.*chest|x_ray.*chest)",TRUE,"numeric",1376,0.0964251207729469,0.159079016221873,0.145328719723183,304,210,"cxr1v_first_date",0,0,2,2,"medium","medium",TRUE,0,FALSE,"not_selected","eligible","eligible_for_capture_specificity","20260423_104307","2026-04-23 10:43:07.487173"
"Chest radiograph","cxr2v_dur","analysis_indicator","(cxr|chest.*(xray|x_ray|radiograph)|xray.*chest|x_ray.*chest)",TRUE,"numeric",150,0.0021256038647343,0.00470957613814757,0.0055363321799308,9,8,"cxr2v_first_date",0,0,2,2,"medium","medium",TRUE,0,FALSE,"not_selected","prevalence_below_1_percent","prevalence_below_1_percent","20260423_104307","2026-04-23 10:43:07.487173"
"Transthoracic echocardiography","tte_proc","analysis_indicator","(tte|transthoracic|echo)",TRUE,"haven_labelled/vctrs_vctr/double",5175,0.125217391304348,0.149136577708006,0.173010380622837,285,250,"tte_proc_first_date",0,0,3,6,"high","high",TRUE,0,TRUE,"workflow_or_documentation_sentinel","eligible","eligible_but_physiology_or_pathway_specific","20260423_104307","2026-04-23 10:43:07.487173"
"Transthoracic echocardiography","tte_proc_0","analysis_indicator","(tte|transthoracic|echo)",TRUE,"numeric",5175,0.0457971014492754,0.0591313448456306,0.0698961937716263,113,101,"tte_proc_first_date",0,0,3,6,"high","high",TRUE,0,FALSE,"not_selected","eligible","eligible_but_physiology_or_pathway_specific","20260423_104307","2026-04-23 10:43:07.487173"
"Transthoracic echocardiography","tte_proc_dur","analysis_indicator","(tte|transthoracic|echo)",TRUE,"numeric",648,0.0214492753623188,0.0303506017791732,0.0332179930795848,58,48,"tte_proc_first_date",0,0,3,6,"high","high",TRUE,0,FALSE,"not_selected","eligible","eligible_but_physiology_or_pathway_specific","20260423_104307","2026-04-23 10:43:07.487173"
"CT chest / CT pulmonary angiography","ctcnoncon","analysis_indicator","(ctc|ct_chest|ct.*chest|pulmonary.*angio|ctpa|cta.*chest|ct.*pulmonary)",TRUE,"haven_labelled/vctrs_vctr/double",5175,0.0289855072463768,0.0413396127681842,0.0539792387543253,79,78,"ctcnoncon_first_date",0,0,4,7,"high","high",TRUE,0,FALSE,"not_selected","eligible","eligible_but_physiology_or_pathway_specific","20260423_104307","2026-04-23 10:43:07.487173"
"CT chest / CT pulmonary angiography","ctccon","analysis_indicator","(ctc|ct_chest|ct.*chest|pulmonary.*angio|ctpa|cta.*chest|ct.*pulmonary)",TRUE,"haven_labelled/vctrs_vctr/double",5175,0.0446376811594203,0.0423861852433281,0.0837370242214533,81,121,"ctccon_first_date",0,0,4,7,"high","high",TRUE,0,TRUE,"workflow_or_documentation_sentinel","eligible","eligible_but_physiology_or_pathway_specific","20260423_104307","2026-04-23 10:43:07.487173"
"CT chest / CT pulmonary angiography","ctccon_0","analysis_indicator","(ctc|ct_chest|ct.*chest|pulmonary.*angio|ctpa|cta.*chest|ct.*pulmonary)",TRUE,"numeric",5175,0.0305314009661836,0.0256410256410256,0.0622837370242214,49,90,"ctccon_first_date",0,0,4,7,"high","high",TRUE,0,FALSE,"not_selected","eligible","eligible_but_physiology_or_pathway_specific","20260423_104307","2026-04-23 10:43:07.487173"
"CT chest / CT pulmonary angiography","ctcnoncon_0","analysis_indicator","(ctc|ct_chest|ct.*chest|pulmonary.*angio|ctpa|cta.*chest|ct.*pulmonary)",TRUE,"numeric",5175,0.0127536231884058,0.0146520146520147,0.0193771626297578,28,28,"ctcnoncon_first_date",0,0,4,7,"high","high",TRUE,0,FALSE,"not_selected","eligible","eligible_but_physiology_or_pathway_specific","20260423_104307","2026-04-23 10:43:07.487173"
"CT chest / CT pulmonary angiography","ctccon_dur","analysis_indicator","(ctc|ct_chest|ct.*chest|pulmonary.*angio|ctpa|cta.*chest|ct.*pulmonary)",TRUE,"numeric",231,0.00251207729468599,0.00523286237571952,0.00346020761245675,10,5,"ctccon_first_date",0,0,4,7,"high","high",TRUE,0,FALSE,"not_selected","prevalence_below_1_percent","prevalence_below_1_percent","20260423_104307","2026-04-23 10:43:07.487173"
"CT chest / CT pulmonary angiography","ctcnoncon_dur","analysis_indicator","(ctc|ct_chest|ct.*chest|pulmonary.*angio|ctpa|cta.*chest|ct.*pulmonary)",TRUE,"numeric",150,0.0021256038647343,0.00470957613814757,0.0055363321799308,9,8,"ctcnoncon_first_date",0,0,4,7,"high","high",TRUE,0,FALSE,"not_selected","prevalence_below_1_percent","prevalence_below_1_percent","20260423_104307","2026-04-23 10:43:07.487173"
"Central venous catheter placement",NA,"binary_indicator","(central.*ven|central.*line|cvc|cvp)",FALSE,NA,0,NA,NA,NA,0,0,NA,NA,NA,5,4,"medium","high",FALSE,0,FALSE,"not_selected","no_matching_binary_field","no_matching_binary_field","20260423_104307","2026-04-23 10:43:07.487173"
"Urinary catheter placement",NA,"binary_indicator","(urinary.*catheter|foley)",FALSE,NA,0,NA,NA,NA,0,0,NA,NA,NA,6,3,"low","medium",FALSE,0,FALSE,"not_selected","no_matching_binary_field","no_matching_binary_field","20260423_104307","2026-04-23 10:43:07.487173"
"Blood transfusion",NA,"binary_indicator","(transfusion|blood.*transfus|rbc|prbc)",FALSE,NA,0,NA,NA,NA,0,0,NA,NA,NA,7,5,"medium","medium",FALSE,0,FALSE,"not_selected","no_matching_binary_field","no_matching_binary_field","20260423_104307","2026-04-23 10:43:07.487173"
"Hemodialysis initiation",NA,"binary_indicator","(hemodialysis|dialysis|renal.*replacement|crrt)",FALSE,NA,0,NA,NA,NA,0,0,NA,NA,NA,8,8,"medium","high",FALSE,0,FALSE,"not_selected","no_matching_binary_field","no_matching_binary_field","20260423_104307","2026-04-23 10:43:07.487173"
"Bronchoscopy",NA,"binary_indicator","(bronch)",FALSE,NA,0,NA,NA,NA,0,0,NA,NA,NA,9,9,"high","high",FALSE,0,FALSE,"not_selected","no_matching_binary_field","no_matching_binary_field","20260423_104307","2026-04-23 10:43:07.487173"
