"sentinel_concept","binary_field","date_field","priority_rank","v2_priority_rank","selected","prevalence_for_selection","event_count_for_selection","physiologic_specificity","workflow_dependence","timestamp_available","evidentiary_role","selection_status","selection_reason","v2_selection_reason","run_id","run_ts"
"ECG/EKG","",NA,1,1,FALSE,NA,0,"low","medium",FALSE,"not_selected","not_selected_no_matching_binary_field","no_matching_binary_field","no_matching_binary_field","20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","cxr1v","cxr1v_first_date",2,2,TRUE,0.4,578,"medium","medium",TRUE,"capture_or_documentation_sentinel","selected","eligible","eligible_for_capture_specificity","20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","cxr2v","cxr2v_first_date",2,2,FALSE,0.0539792387543253,79,"medium","medium",TRUE,"not_selected","not_selected_lower_specificity_priority","eligible","eligible_for_capture_specificity","20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","cxr1v_0","cxr1v_first_date",2,2,FALSE,0.308650519031142,446,"medium","medium",TRUE,"not_selected","not_selected_lower_specificity_priority","eligible","eligible_for_capture_specificity","20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","cxr2v_0","cxr2v_first_date",2,2,FALSE,0.0193771626297578,28,"medium","medium",TRUE,"not_selected","not_selected_lower_specificity_priority","eligible","eligible_for_capture_specificity","20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","cxr1v_dur","cxr1v_first_date",2,2,FALSE,0.159079016221873,304,"medium","medium",TRUE,"not_selected","not_selected_lower_specificity_priority","eligible","eligible_for_capture_specificity","20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","cxr2v_dur","cxr2v_first_date",2,2,FALSE,0.0055363321799308,9,"medium","medium",TRUE,"not_selected","not_selected_prevalence_below_1_percent","prevalence_below_1_percent","prevalence_below_1_percent","20260424_063653","2026-04-24 06:36:53.744157"
"Urinary catheter placement","",NA,6,3,FALSE,NA,0,"low","medium",FALSE,"not_selected","not_selected_no_matching_binary_field","no_matching_binary_field","no_matching_binary_field","20260424_063653","2026-04-24 06:36:53.744157"
"Central venous catheter placement","",NA,5,4,FALSE,NA,0,"medium","high",FALSE,"not_selected","not_selected_no_matching_binary_field","no_matching_binary_field","no_matching_binary_field","20260424_063653","2026-04-24 06:36:53.744157"
"Blood transfusion","",NA,7,5,FALSE,NA,0,"medium","medium",FALSE,"not_selected","not_selected_no_matching_binary_field","no_matching_binary_field","no_matching_binary_field","20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","tte_proc","tte_proc_first_date",3,6,TRUE,0.173010380622837,285,"high","high",TRUE,"workflow_or_documentation_sentinel","selected","eligible","eligible_but_physiology_or_pathway_specific","20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","tte_proc_0","tte_proc_first_date",3,6,FALSE,0.0698961937716263,113,"high","high",TRUE,"not_selected","not_selected_lower_specificity_priority","eligible","eligible_but_physiology_or_pathway_specific","20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","tte_proc_dur","tte_proc_first_date",3,6,FALSE,0.0332179930795848,58,"high","high",TRUE,"not_selected","not_selected_lower_specificity_priority","eligible","eligible_but_physiology_or_pathway_specific","20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","ctccon","ctccon_first_date",4,7,TRUE,0.0837370242214533,121,"high","high",TRUE,"workflow_or_documentation_sentinel","selected","eligible","eligible_but_physiology_or_pathway_specific","20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","ctcnoncon","ctcnoncon_first_date",4,7,FALSE,0.0539792387543253,79,"high","high",TRUE,"not_selected","not_selected_lower_specificity_priority","eligible","eligible_but_physiology_or_pathway_specific","20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","ctccon_0","ctccon_first_date",4,7,FALSE,0.0622837370242214,90,"high","high",TRUE,"not_selected","not_selected_lower_specificity_priority","eligible","eligible_but_physiology_or_pathway_specific","20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","ctcnoncon_0","ctcnoncon_first_date",4,7,FALSE,0.0193771626297578,28,"high","high",TRUE,"not_selected","not_selected_lower_specificity_priority","eligible","eligible_but_physiology_or_pathway_specific","20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","ctccon_dur","ctccon_first_date",4,7,FALSE,0.00523286237571952,10,"high","high",TRUE,"not_selected","not_selected_prevalence_below_1_percent","prevalence_below_1_percent","prevalence_below_1_percent","20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","ctcnoncon_dur","ctcnoncon_first_date",4,7,FALSE,0.0055363321799308,9,"high","high",TRUE,"not_selected","not_selected_prevalence_below_1_percent","prevalence_below_1_percent","prevalence_below_1_percent","20260424_063653","2026-04-24 06:36:53.744157"
"Hemodialysis initiation","",NA,8,8,FALSE,NA,0,"medium","high",FALSE,"not_selected","not_selected_no_matching_binary_field","no_matching_binary_field","no_matching_binary_field","20260424_063653","2026-04-24 06:36:53.744157"
"Bronchoscopy","",NA,9,9,FALSE,NA,0,"high","high",FALSE,"not_selected","not_selected_no_matching_binary_field","no_matching_binary_field","no_matching_binary_field","20260424_063653","2026-04-24 06:36:53.744157"
