"setting_var","setting_level","group","outcome","n_unweighted","weighted_n","weighted_event_rate","ess","m_used","run_id","run_ts"
"encounter_type","Emergency","ABG","IMV",283,545.737659682828,0.10931528508164,231.261126502992,20,"20260424_063653","2026-04-24 06:36:53.744157"
"encounter_type","Emergency","ABG","NIV",283,545.737659682828,0.0854122894210862,231.261126502992,20,"20260424_063653","2026-04-24 06:36:53.744157"
"encounter_type","Emergency","VBG","IMV",463,440.701869983842,0.0220711436567558,308.931386641978,20,"20260424_063653","2026-04-24 06:36:53.744157"
"encounter_type","Emergency","VBG","NIV",463,440.701869983842,0.0456518977852462,308.931386641978,20,"20260424_063653","2026-04-24 06:36:53.744157"
"encounter_type","Inpatient","ABG","IMV",1628,1365.26234031717,0.245463788985194,1340.30091467819,20,"20260424_063653","2026-04-24 06:36:53.744157"
"encounter_type","Inpatient","ABG","NIV",1628,1365.26234031717,0.0928433078221999,1340.30091467819,20,"20260424_063653","2026-04-24 06:36:53.744157"
"encounter_type","Inpatient","VBG","IMV",982,1004.29813001616,0.189649318158259,644.6573187201,20,"20260424_063653","2026-04-24 06:36:53.744157"
"encounter_type","Inpatient","VBG","NIV",982,1004.29813001616,0.0934984187123854,644.6573187201,20,"20260424_063653","2026-04-24 06:36:53.744157"
"location","0","ABG","IMV",1057,984.76940165657,0.175436548790569,754.638716391539,20,"20260424_063653","2026-04-24 06:36:53.744157"
"location","0","ABG","NIV",1057,984.76940165657,0.0886748854116391,754.638716391539,20,"20260424_063653","2026-04-24 06:36:53.744157"
"location","0","VBG","IMV",444,688.003237317201,0.142509033567167,334.631753075992,20,"20260424_063653","2026-04-24 06:36:53.744157"
"location","0","VBG","NIV",444,688.003237317201,0.0772999385061013,334.631753075992,20,"20260424_063653","2026-04-24 06:36:53.744157"
"location","1","ABG","IMV",379,404.736161048016,0.265686094813544,289.63302790434,20,"20260424_063653","2026-04-24 06:36:53.744157"
"location","1","ABG","NIV",379,404.736161048016,0.0358902792296023,289.63302790434,20,"20260424_063653","2026-04-24 06:36:53.744157"
"location","1","VBG","IMV",597,370.119566657199,0.132452938969059,493.762308748688,20,"20260424_063653","2026-04-24 06:36:53.744157"
"location","1","VBG","NIV",597,370.119566657199,0.0309310711523046,493.762308748688,20,"20260424_063653","2026-04-24 06:36:53.744157"
"location","2","ABG","IMV",160,133.120597045801,0.240593928777285,119.948888218905,20,"20260424_063653","2026-04-24 06:36:53.744157"
"location","2","ABG","NIV",160,133.120597045801,0.0780668819835059,119.948888218905,20,"20260424_063653","2026-04-24 06:36:53.744157"
"location","2","VBG","IMV",142,116.345232766621,0.183451173681443,114.356056463022,20,"20260424_063653","2026-04-24 06:36:53.744157"
"location","2","VBG","NIV",142,116.345232766621,0.0884930775999632,114.356056463022,20,"20260424_063653","2026-04-24 06:36:53.744157"
"location","3","ABG","IMV",315,387.407593107731,0.209032807685759,215.404904241749,20,"20260424_063653","2026-04-24 06:36:53.744157"
"location","3","ABG","NIV",315,387.407593107731,0.157762478889112,215.404904241749,20,"20260424_063653","2026-04-24 06:36:53.744157"
"location","3","VBG","IMV",262,271.714364939872,0.115987763280621,192.57169617664,20,"20260424_063653","2026-04-24 06:36:53.744157"
"location","3","VBG","NIV",262,271.714364939872,0.144912912281314,192.57169617664,20,"20260424_063653","2026-04-24 06:36:53.744157"
