"group","outcome","outcome_var","bin_type","bin","n_unweighted","co2_min","co2_max","weighted_n","weighted_events","weighted_event_rate","ess","m_used","run_id","run_ts"
"ABG","IMV","imv_proc","clinical_cat3","High",13106,45.0999984741211,245,13849.7959856127,3198.97374987227,0.231115899263543,9455.49315805762,20,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","IMV","imv_proc","clinical_cat3","Low",12666,3.59999990463257,34.9000015258789,11617.0715739109,2855.3649780422,0.245779084829179,9089.37346910662,20,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","IMV","imv_proc","clinical_cat3","Normal",20881,35,45,21175.1877351828,4114.25429163691,0.19422534272381,15308.6920061884,20,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","IMV","imv_proc","quantile_support","(22,34]",11154,22.0499992370605,34,10356.6285031434,2533.29255544555,0.24449864328955,8016.75237366393,20,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","IMV","imv_proc","quantile_support","(34,46.5]",22735,34.0999984741211,46.5,23195.6013353947,4525.53328482203,0.195037290980926,16637.497560721,20,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","IMV","imv_proc","quantile_support","(46.5,86]",10731,46.5499992370605,86,11356.6715977089,2521.18719994096,0.222079398936466,7736.3597829801,20,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","IMV","imv_proc","quantile_support","(86,245]",908,86.1999969482422,245,877.817353250533,367.125812986815,0.418600601409468,693.551891235114,20,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","IMV","imv_proc","quantile_support","[3.6,22]",1125,3.59999990463257,22,856.168393469109,222.433819040193,0.259794485218518,805.993149765961,20,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","NIV","niv_proc","clinical_cat3","High",13106,45.0999984741211,245,13849.7959856127,2062.70110596171,0.148975330991201,9455.49315805762,20,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","NIV","niv_proc","clinical_cat3","Low",12666,3.59999990463257,34.9000015258789,11617.0715739109,825.580576446036,0.0709809330407904,9089.37346910662,20,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","NIV","niv_proc","clinical_cat3","Normal",20881,35,45,21175.1877351828,1468.7267176513,0.0693570969860508,15308.6920061884,20,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","NIV","niv_proc","quantile_support","(22,34]",11154,22.0499992370605,34,10356.6285031434,744.21800268361,0.0717447402664618,8016.75237366393,20,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","NIV","niv_proc","quantile_support","(34,46.5]",22735,34.0999984741211,46.5,23195.6013353947,1666.50213009653,0.0718379909087118,16637.497560721,20,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","NIV","niv_proc","quantile_support","(46.5,86]",10731,46.5499992370605,86,11356.6715977089,1744.17657294977,0.15349115160883,7736.3597829801,20,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","NIV","niv_proc","quantile_support","(86,245]",908,86.1999969482422,245,877.817353250533,150.451955541934,0.171707890080873,693.551891235114,20,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","NIV","niv_proc","quantile_support","[3.6,22]",1125,3.59999990463257,22,856.168393469109,54.408143772132,0.0630029620516868,805.993149765961,20,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","IMV","imv_proc","clinical_cat3","High",9925,50.0999984741211,192,9949.57054267469,1702.6909318355,0.170931381620156,6897.63552098099,20,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","IMV","imv_proc","clinical_cat3","Low",10162,10,39.9000015258789,9401.85985540863,1548.21706796377,0.164635760719311,7056.89469445367,20,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","IMV","imv_proc","clinical_cat3","Normal",17296,40,50,18034.0809976464,2032.3905901382,0.112752491937189,11886.621773219,20,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","IMV","imv_proc","quantile_support","(25,39]",9164,25.1000003814697,39,8572.9666790672,1382.80833766428,0.16139483528126,6364.83387315632,20,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","IMV","imv_proc","quantile_support","(39,51]",18455,39.0999984741211,51,19248.0245535443,2196.15830075145,0.114130234482873,12695.7124216388,20,"20260423_111150","2026-04-23 11:11:50.486947"
