"field","field_role","modality","outcome","class","n_nonmissing","n_parsed","parse_fraction_among_nonmissing","parse_method","parse_status","run_id","run_ts"
"abg_ph_date","gas_time","ABG","","numeric",1121,1121,1,"numeric_encounter_day_offset","parsed","20260424_063653","2026-04-24 06:36:53.744157"
"vbg_ph_date","gas_time","VBG","","numeric",1421,1421,1,"numeric_encounter_day_offset","parsed","20260424_063653","2026-04-24 06:36:53.744157"
"abg_hco3_date","gas_time","ABG","","numeric",1171,1171,1,"numeric_encounter_day_offset","parsed","20260424_063653","2026-04-24 06:36:53.744157"
"vbg_hco3_date","gas_time","VBG","","numeric",1334,1334,1,"numeric_encounter_day_offset","parsed","20260424_063653","2026-04-24 06:36:53.744157"
"vbg_co2_date","gas_time","VBG","","numeric",1452,1452,1,"numeric_encounter_day_offset","parsed","20260424_063653","2026-04-24 06:36:53.744157"
"highest_vbg_co2_date","gas_time","VBG","","numeric",1452,1452,1,"numeric_encounter_day_offset","parsed","20260424_063653","2026-04-24 06:36:53.744157"
"temp_cor_vbg_ph_date","gas_time","VBG","","numeric",84,84,1,"numeric_encounter_day_offset","parsed","20260424_063653","2026-04-24 06:36:53.744157"
"vbg_po2_date","gas_time","VBG","","numeric",1328,1328,1,"numeric_encounter_day_offset","parsed","20260424_063653","2026-04-24 06:36:53.744157"
"vbg_lactate_date","gas_time","VBG","","numeric",183,183,1,"numeric_encounter_day_offset","parsed","20260424_063653","2026-04-24 06:36:53.744157"
"vbg_hco3_calc_date","gas_time","VBG","","numeric",126,126,1,"numeric_encounter_day_offset","parsed","20260424_063653","2026-04-24 06:36:53.744157"
"abg_po2_date","gas_time","ABG","","numeric",1193,1193,1,"numeric_encounter_day_offset","parsed","20260424_063653","2026-04-24 06:36:53.744157"
"abg_po2_temp_cor_date","gas_time","ABG","","numeric",250,250,1,"numeric_encounter_day_offset","parsed","20260424_063653","2026-04-24 06:36:53.744157"
"abg_ph_temp_cor_date","gas_time","ABG","","numeric",242,242,1,"numeric_encounter_day_offset","parsed","20260424_063653","2026-04-24 06:36:53.744157"
"abg_lactate_date","gas_time","ABG","","numeric",201,201,1,"numeric_encounter_day_offset","parsed","20260424_063653","2026-04-24 06:36:53.744157"
"vbg_temp_date","gas_time","VBG","","numeric",0,0,NA,"numeric_encounter_day_offset","all_missing","20260424_063653","2026-04-24 06:36:53.744157"
"abg_temp_date","gas_time","ABG","","numeric",9,9,1,"numeric_encounter_day_offset","parsed","20260424_063653","2026-04-24 06:36:53.744157"
"vbg_o2sat_date","gas_time","VBG","","numeric",707,707,1,"numeric_encounter_day_offset","parsed","20260424_063653","2026-04-24 06:36:53.744157"
"abg_o2sat_date","gas_time","ABG","","numeric",1216,1216,1,"numeric_encounter_day_offset","parsed","20260424_063653","2026-04-24 06:36:53.744157"
"meas_art_gas_proc_first_date","gas_time","","","numeric",45,45,1,"numeric_encounter_day_offset","parsed","20260424_063653","2026-04-24 06:36:53.744157"
"meas_art_gas_proc_last_date","gas_time","","","numeric",45,45,1,"numeric_encounter_day_offset","parsed","20260424_063653","2026-04-24 06:36:53.744157"
"niv_proc_first_date","procedure_time","","NIV","numeric",334,334,1,"numeric_encounter_day_offset","parsed","20260424_063653","2026-04-24 06:36:53.744157"
"niv_proc_last_date","procedure_time","","NIV","numeric",334,334,1,"numeric_encounter_day_offset","parsed","20260424_063653","2026-04-24 06:36:53.744157"
"imv_proc_first_date","procedure_time","","IMV","numeric",554,554,1,"numeric_encounter_day_offset","parsed","20260424_063653","2026-04-24 06:36:53.744157"
"imv_proc_last_date","procedure_time","","IMV","numeric",554,554,1,"numeric_encounter_day_offset","parsed","20260424_063653","2026-04-24 06:36:53.744157"
