"group","outcome","outcome_var","co2_level","gas_time_field","procedure_time_field","timing_rule","component_status","reason","n_restricted","original_events","gas_precedes_events","weighted_event_rate_original","weighted_event_rate_gas_precedes","weighted_n","ess","m_used","run_id","run_ts"
"ABG","IMV","imv_proc","High","abg_ph_date","imv_proc_first_date","gas_date_on_or_before_procedure_date","completed","restricted_event_definition_uses_gas_precedes_procedure",320,98,88,0.270443559746572,0.242718506549934,336.227385207293,225.296248197706,20,"20260423_104307","2026-04-23 10:43:07.487173"
"ABG","IMV","imv_proc","Low","abg_ph_date","imv_proc_first_date","gas_date_on_or_before_procedure_date","completed","restricted_event_definition_uses_gas_precedes_procedure",314,99,89,0.2885372388749,0.259776498493065,270.555736057892,235.848589673998,20,"20260423_104307","2026-04-23 10:43:07.487173"
"ABG","IMV","imv_proc","Normal","abg_ph_date","imv_proc_first_date","gas_date_on_or_before_procedure_date","completed","restricted_event_definition_uses_gas_precedes_procedure",457,125,116,0.25568165888052,0.240752216869112,430.88696815076,349.32153814921,20,"20260423_104307","2026-04-23 10:43:07.487173"
"ABG","NIV","niv_proc","High","abg_ph_date","niv_proc_first_date","gas_date_on_or_before_procedure_date","completed","restricted_event_definition_uses_gas_precedes_procedure",320,51,44,0.176690188518701,0.143851529361286,336.227385207293,225.296248197706,20,"20260423_104307","2026-04-23 10:43:07.487173"
"ABG","NIV","niv_proc","Low","abg_ph_date","niv_proc_first_date","gas_date_on_or_before_procedure_date","completed","restricted_event_definition_uses_gas_precedes_procedure",314,21,15,0.062044207874445,0.0410953033530577,270.555736057892,235.848589673998,20,"20260423_104307","2026-04-23 10:43:07.487173"
"ABG","NIV","niv_proc","Normal","abg_ph_date","niv_proc_first_date","gas_date_on_or_before_procedure_date","completed","restricted_event_definition_uses_gas_precedes_procedure",457,27,24,0.0495645723362504,0.0425737249225655,430.88696815076,349.32153814921,20,"20260423_104307","2026-04-23 10:43:07.487173"
"VBG","IMV","imv_proc","High","vbg_ph_date","imv_proc_first_date","gas_date_on_or_before_procedure_date","completed","restricted_event_definition_uses_gas_precedes_procedure",371,67,58,0.179329604395442,0.146405082016195,371.840242238624,246.195406910751,20,"20260423_104307","2026-04-23 10:43:07.487173"
"VBG","IMV","imv_proc","Low","vbg_ph_date","imv_proc_first_date","gas_date_on_or_before_procedure_date","completed","restricted_event_definition_uses_gas_precedes_procedure",363,57,45,0.148562287876647,0.108091587318431,336.911241547168,234.137580762264,20,"20260423_104307","2026-04-23 10:43:07.487173"
"VBG","IMV","imv_proc","Normal","vbg_ph_date","imv_proc_first_date","gas_date_on_or_before_procedure_date","completed","restricted_event_definition_uses_gas_precedes_procedure",590,64,52,0.101169548404014,0.0840278221736426,616.720616458556,394.883049966991,20,"20260423_104307","2026-04-23 10:43:07.487173"
"VBG","NIV","niv_proc","High","vbg_ph_date","niv_proc_first_date","gas_date_on_or_before_procedure_date","completed","restricted_event_definition_uses_gas_precedes_procedure",371,36,30,0.109722847647692,0.0873351659966592,371.840242238624,246.195406910751,20,"20260423_104307","2026-04-23 10:43:07.487173"
"VBG","NIV","niv_proc","Low","vbg_ph_date","niv_proc_first_date","gas_date_on_or_before_procedure_date","completed","restricted_event_definition_uses_gas_precedes_procedure",363,18,15,0.049210087662629,0.0417869985256438,336.911241547168,234.137580762264,20,"20260423_104307","2026-04-23 10:43:07.487173"
"VBG","NIV","niv_proc","Normal","vbg_ph_date","niv_proc_first_date","gas_date_on_or_before_procedure_date","completed","restricted_event_definition_uses_gas_precedes_procedure",590,22,19,0.0515321063136883,0.0444190596792582,616.720616458556,394.883049966991,20,"20260423_104307","2026-04-23 10:43:07.487173"
