"step_name","seconds","start_time","end_time","notes","run_id","run_mode","n_subset","run_ts"
"mice_batch_1",13.6988401412964,"2026-04-21 09:44:59.160517","2026-04-21 09:45:12.859357","batch=1; m=2; maxit=5","20260421_094018","pilot",51409,"2026-04-21 09:40:18.841212"
"mice_batch_2",13.3500990867615,"2026-04-21 09:45:17.547214","2026-04-21 09:45:30.897313","batch=2; m=2; maxit=5","20260421_094018","pilot",51409,"2026-04-21 09:40:18.841212"
"mice_batch_3",13.6727020740509,"2026-04-21 09:45:36.076635","2026-04-21 09:45:49.749337","batch=3; m=2; maxit=5","20260421_094018","pilot",51409,"2026-04-21 09:40:18.841212"
"mice_batch_4",13.4931421279907,"2026-04-21 09:45:55.151008","2026-04-21 09:46:08.64415","batch=4; m=2; maxit=5","20260421_094018","pilot",51409,"2026-04-21 09:40:18.841212"
"mice_batch_5",13.6359939575195,"2026-04-21 09:46:14.037118","2026-04-21 09:46:27.673112","batch=5; m=2; maxit=5","20260421_094018","pilot",51409,"2026-04-21 09:40:18.841212"
"mice_batch_6",13.8794732093811,"2026-04-21 09:46:33.299183","2026-04-21 09:46:47.178656","batch=6; m=2; maxit=5","20260421_094018","pilot",51409,"2026-04-21 09:40:18.841212"
"mice_batch_7",13.617880821228,"2026-04-21 09:46:52.815843","2026-04-21 09:47:06.433724","batch=7; m=2; maxit=5","20260421_094018","pilot",51409,"2026-04-21 09:40:18.841212"
"mice_batch_8",13.7951490879059,"2026-04-21 09:47:12.394353","2026-04-21 09:47:26.189502","batch=8; m=2; maxit=5","20260421_094018","pilot",51409,"2026-04-21 09:40:18.841212"
"mice_batch_9",13.6349680423737,"2026-04-21 09:47:32.135352","2026-04-21 09:47:45.77032","batch=9; m=2; maxit=5","20260421_094018","pilot",51409,"2026-04-21 09:40:18.841212"
"mice_batch_10",15.7322819232941,"2026-04-21 09:47:52.418193","2026-04-21 09:48:08.150475","batch=10; m=2; maxit=5","20260421_094018","pilot",51409,"2026-04-21 09:40:18.841212"
"mi_single_pass",193.539501905441,"2026-04-21 09:49:08.733571","2026-04-21 09:52:22.273073","m=20","20260421_094018","pilot",51409,"2026-04-21 09:40:18.841212"
