"outcome","modality","co2_category","n","events","event_rate","run_id","run_ts"
"IMV","ABG","High",1622,597,0.36806411837238,"20260421_094018","2026-04-21 09:40:18.841212"
"IMV","ABG","Low",1666,659,0.395558223289316,"20260421_094018","2026-04-21 09:40:18.841212"
"IMV","ABG","Normal",2170,762,0.351152073732719,"20260421_094018","2026-04-21 09:40:18.841212"
"IMV","VBG","High",1604,636,0.396508728179551,"20260421_094018","2026-04-21 09:40:18.841212"
"IMV","VBG","Low",1845,671,0.363685636856369,"20260421_094018","2026-04-21 09:40:18.841212"
"IMV","VBG","Normal",2009,711,0.353907416625187,"20260421_094018","2026-04-21 09:40:18.841212"
"NIV","ABG","High",1622,311,0.19173859432799,"20260421_094018","2026-04-21 09:40:18.841212"
"NIV","ABG","Low",1666,150,0.0900360144057623,"20260421_094018","2026-04-21 09:40:18.841212"
"NIV","ABG","Normal",2170,210,0.0967741935483871,"20260421_094018","2026-04-21 09:40:18.841212"
"NIV","VBG","High",1604,328,0.204488778054863,"20260421_094018","2026-04-21 09:40:18.841212"
"NIV","VBG","Low",1845,158,0.0856368563685637,"20260421_094018","2026-04-21 09:40:18.841212"
"NIV","VBG","Normal",2009,185,0.0920856147336984,"20260421_094018","2026-04-21 09:40:18.841212"
