"outcome","co2_representation","metric_type","level","abg_value","vbg_value","absolute_gap","relative_gap","comment","run_id","run_ts"
"IMV","cat3","OR","Low vs normal",1.34773492256281,1.53168178013046,-0.183946857567646,-0.120094695878656,"ABG-VBG gap on relative odds scale.","20260421_094018","2026-04-21 09:40:18.841212"
"NIV","cat3","OR","Low vs normal",1.05008275659957,1.00200509851863,0.048077658080935,0.0479814505455243,"ABG-VBG gap on relative odds scale.","20260421_094018","2026-04-21 09:40:18.841212"
"IMV","spline","OR","Low vs normal",1.19371476964876,1.16144477924688,0.0322699904018826,0.0277843518508109,"ABG-VBG gap on relative odds scale.","20260421_094018","2026-04-21 09:40:18.841212"
"NIV","spline","OR","Low vs normal",1.06224957994929,1.02819877993722,0.0340508000120672,0.0331169426345227,"ABG-VBG gap on relative odds scale.","20260421_094018","2026-04-21 09:40:18.841212"
"IMV","cat3","OR","High vs normal",1.2594618114195,1.5842547972031,-0.324792985783605,-0.205013099128376,"ABG-VBG gap on relative odds scale.","20260421_094018","2026-04-21 09:40:18.841212"
"NIV","cat3","OR","High vs normal",2.76753873277975,2.95846850957576,-0.190929776796009,-0.0645366939610889,"ABG-VBG gap on relative odds scale.","20260421_094018","2026-04-21 09:40:18.841212"
"IMV","spline","OR","High vs normal",1.03369692235531,1.10081609933727,-0.0671191769819515,-0.0609721978288288,"ABG-VBG gap on relative odds scale.","20260421_094018","2026-04-21 09:40:18.841212"
"NIV","spline","OR","High vs normal",1.35439985591054,1.43091390846374,-0.0765140525531949,-0.05347215657114,"ABG-VBG gap on relative odds scale.","20260421_094018","2026-04-21 09:40:18.841212"
"IMV","cat3","probability","Normal",0.211356401609464,0.166293933042916,0.0450624685665477,0.270980833407303,"ABG-VBG gap on absolute probability scale.","20260421_094018","2026-04-21 09:40:18.841212"
"NIV","cat3","probability","Normal",0.0827076560328018,0.0193349956917289,0.0633726603410729,3.27761440196143,"ABG-VBG gap on absolute probability scale.","20260421_094018","2026-04-21 09:40:18.841212"
"IMV","spline","probability","Normal",0.203969959881882,0.168841315122048,0.0351286447598344,0.208057161450333,"ABG-VBG gap on absolute probability scale.","20260421_094018","2026-04-21 09:40:18.841212"
"NIV","spline","probability","Normal",0.0796945757839528,0.017439490980658,0.0622550848032948,3.56977648443647,"ABG-VBG gap on absolute probability scale.","20260421_094018","2026-04-21 09:40:18.841212"
"IMV","cat3","probability","Low",0.265350223046659,0.234018532510929,0.0313316905357294,0.133885509833569,"ABG-VBG gap on absolute probability scale.","20260421_094018","2026-04-21 09:40:18.841212"
"NIV","cat3","probability","Low",0.0864916154987045,0.0193730131989063,0.0671186022997983,3.46454119504691,"ABG-VBG gap on absolute probability scale.","20260421_094018","2026-04-21 09:40:18.841212"
"IMV","spline","probability","Low",0.234227171143125,0.190896307642961,0.0433308635001637,0.226986388763509,"ABG-VBG gap on absolute probability scale.","20260421_094018","2026-04-21 09:40:18.841212"
"NIV","spline","probability","Low",0.0842376306512323,0.0179224495835598,0.0663151810676725,3.70011815396613,"ABG-VBG gap on absolute probability scale.","20260421_094018","2026-04-21 09:40:18.841212"
"IMV","cat3","probability","High",0.252356367106934,0.240122165098657,0.0122342020082764,0.0509499071160293,"ABG-VBG gap on absolute probability scale.","20260421_094018","2026-04-21 09:40:18.841212"
"NIV","cat3","probability","High",0.199702356641722,0.0551149395619213,0.1445874170798,2.62337976289273,"ABG-VBG gap on absolute probability scale.","20260421_094018","2026-04-21 09:40:18.841212"
"IMV","spline","probability","High",0.20940385361308,0.182752439994963,0.0266514136181163,0.145833421533802,"ABG-VBG gap on absolute probability scale.","20260421_094018","2026-04-21 09:40:18.841212"
"NIV","spline","probability","High",0.104973477699421,0.0247682785879423,0.0802051991114789,3.23822258485596,"ABG-VBG gap on absolute probability scale.","20260421_094018","2026-04-21 09:40:18.841212"
