"field","missing_overall","missing_abg_tested","missing_vbg_tested","n_overall","n_abg_tested","n_vbg_tested","component_status","reason","run_id","run_ts"
"imv_proc",0,0,0,51409,18577,14910,"completed","available_field","20260421_094018","2026-04-21 09:40:18.841212"
"niv_proc",0,0,0,51409,18577,14910,"completed","available_field","20260421_094018","2026-04-21 09:40:18.841212"
"niv_proc_first_date",0.933630298196814,0.902244711202024,0.930516431924883,51409,18577,14910,"completed","available_field","20260421_094018","2026-04-21 09:40:18.841212"
"niv_proc_last_date",0.933630298196814,0.902244711202024,0.930516431924883,51409,18577,14910,"completed","available_field","20260421_094018","2026-04-21 09:40:18.841212"
"imv_proc_first_date",0.887295998755082,0.742907896861711,0.846277665995976,51409,18577,14910,"completed","available_field","20260421_094018","2026-04-21 09:40:18.841212"
"imv_proc_last_date",0.887295998755082,0.742907896861711,0.846277665995976,51409,18577,14910,"completed","available_field","20260421_094018","2026-04-21 09:40:18.841212"
"imv_proc_0",0,0,0,51409,18577,14910,"completed","available_field","20260421_094018","2026-04-21 09:40:18.841212"
"niv_proc_0",0,0,0,51409,18577,14910,"completed","available_field","20260421_094018","2026-04-21 09:40:18.841212"
"imv_proc_dur",0.887295998755082,0.742907896861711,0.846277665995976,51409,18577,14910,"completed","available_field","20260421_094018","2026-04-21 09:40:18.841212"
"niv_proc_dur",0.933630298196814,0.902244711202024,0.930516431924883,51409,18577,14910,"completed","available_field","20260421_094018","2026-04-21 09:40:18.841212"
