"group","proxy_field","proxy_type","unweighted_mean_tested","weighted_mean_tested","missing_fraction_tested","n_tested","m_used","run_id","run_ts"
"ABG","art_punct_proc","coding_density_proxy",NA,NA,1,18577,20,"20260421_094018","2026-04-21 09:40:18.841212"
"ABG","blood_cx_proc","coding_density_proxy",NA,NA,1,18577,20,"20260421_094018","2026-04-21 09:40:18.841212"
"ABG","cchs_dx","coding_density_proxy",NA,NA,1,18577,20,"20260421_094018","2026-04-21 09:40:18.841212"
"ABG","cog_signs_dx","coding_density_proxy",NA,NA,1,18577,20,"20260421_094018","2026-04-21 09:40:18.841212"
"ABG","headache_dx","coding_density_proxy",NA,NA,1,18577,20,"20260421_094018","2026-04-21 09:40:18.841212"
"ABG","imv_proc","binary_outcome",0.257092103138289,0.219114037556181,0,18577,20,"20260421_094018","2026-04-21 09:40:18.841212"
"ABG","mal_fat_dx","coding_density_proxy",NA,NA,1,18577,20,"20260421_094018","2026-04-21 09:40:18.841212"
"ABG","meas_arterial_gas_proc","coding_density_proxy",NA,NA,1,18577,20,"20260421_094018","2026-04-21 09:40:18.841212"
"ABG","meas_venous_o2_proc","coding_density_proxy",NA,NA,1,18577,20,"20260421_094018","2026-04-21 09:40:18.841212"
"ABG","niv_proc","binary_outcome",0.0977552887979758,0.0899525538400966,0,18577,20,"20260421_094018","2026-04-21 09:40:18.841212"
"ABG","ohs_code","coding_density_proxy",NA,NA,1,18577,20,"20260421_094018","2026-04-21 09:40:18.841212"
"ABG","other_sleep_hypovent_dx","coding_density_proxy",NA,NA,1,18577,20,"20260421_094018","2026-04-21 09:40:18.841212"
"ABG","resp_acid_dx","coding_density_proxy",NA,NA,1,18577,20,"20260421_094018","2026-04-21 09:40:18.841212"
"ABG","sepsis_dx","coding_density_proxy",NA,NA,1,18577,20,"20260421_094018","2026-04-21 09:40:18.841212"
"ABG","sleep_hypovent_dx","coding_density_proxy",NA,NA,1,18577,20,"20260421_094018","2026-04-21 09:40:18.841212"
"ABG","stupor_dx","coding_density_proxy",NA,NA,1,18577,20,"20260421_094018","2026-04-21 09:40:18.841212"
"ABG","tte_proc","coding_density_proxy",NA,NA,1,18577,20,"20260421_094018","2026-04-21 09:40:18.841212"
"ABG","tte_proc_first_date","coding_density_proxy",NA,NA,1,18577,20,"20260421_094018","2026-04-21 09:40:18.841212"
"ABG","tte_proc_last_date","coding_density_proxy",NA,NA,1,18577,20,"20260421_094018","2026-04-21 09:40:18.841212"
"ABG","vent_proc","coding_density_proxy",NA,NA,1,18577,20,"20260421_094018","2026-04-21 09:40:18.841212"
"VBG","art_punct_proc","coding_density_proxy",NA,NA,1,14910,20,"20260421_094018","2026-04-21 09:40:18.841212"
"VBG","blood_cx_proc","coding_density_proxy",NA,NA,1,14910,20,"20260421_094018","2026-04-21 09:40:18.841212"
"VBG","cchs_dx","coding_density_proxy",NA,NA,1,14910,20,"20260421_094018","2026-04-21 09:40:18.841212"
"VBG","cog_signs_dx","coding_density_proxy",NA,NA,1,14910,20,"20260421_094018","2026-04-21 09:40:18.841212"
"VBG","headache_dx","coding_density_proxy",NA,NA,1,14910,20,"20260421_094018","2026-04-21 09:40:18.841212"
"VBG","imv_proc","binary_outcome",0.153722334004025,0.140392251448945,0,14910,20,"20260421_094018","2026-04-21 09:40:18.841212"
"VBG","mal_fat_dx","coding_density_proxy",NA,NA,1,14910,20,"20260421_094018","2026-04-21 09:40:18.841212"
"VBG","meas_arterial_gas_proc","coding_density_proxy",NA,NA,1,14910,20,"20260421_094018","2026-04-21 09:40:18.841212"
"VBG","meas_venous_o2_proc","coding_density_proxy",NA,NA,1,14910,20,"20260421_094018","2026-04-21 09:40:18.841212"
"VBG","niv_proc","binary_outcome",0.0694835680751181,0.0837562056271166,0,14910,20,"20260421_094018","2026-04-21 09:40:18.841212"
"VBG","ohs_code","coding_density_proxy",NA,NA,1,14910,20,"20260421_094018","2026-04-21 09:40:18.841212"
"VBG","other_sleep_hypovent_dx","coding_density_proxy",NA,NA,1,14910,20,"20260421_094018","2026-04-21 09:40:18.841212"
"VBG","resp_acid_dx","coding_density_proxy",NA,NA,1,14910,20,"20260421_094018","2026-04-21 09:40:18.841212"
"VBG","sepsis_dx","coding_density_proxy",NA,NA,1,14910,20,"20260421_094018","2026-04-21 09:40:18.841212"
"VBG","sleep_hypovent_dx","coding_density_proxy",NA,NA,1,14910,20,"20260421_094018","2026-04-21 09:40:18.841212"
"VBG","stupor_dx","coding_density_proxy",NA,NA,1,14910,20,"20260421_094018","2026-04-21 09:40:18.841212"
"VBG","tte_proc","coding_density_proxy",NA,NA,1,14910,20,"20260421_094018","2026-04-21 09:40:18.841212"
"VBG","tte_proc_first_date","coding_density_proxy",NA,NA,1,14910,20,"20260421_094018","2026-04-21 09:40:18.841212"
"VBG","tte_proc_last_date","coding_density_proxy",NA,NA,1,14910,20,"20260421_094018","2026-04-21 09:40:18.841212"
"VBG","vent_proc","coding_density_proxy",NA,NA,1,14910,20,"20260421_094018","2026-04-21 09:40:18.841212"
