"batch","stage","status","failure_stage","m_batch","seed","ok","error_message","started_at","finished_at","m_done_before","m_done_after","seconds","gc_vcells_used_mb_pre","gc_vcells_limit_mb_pre","gc_vcells_frac_pre","gc_vcells_used_mb_post","gc_vcells_limit_mb_post","gc_vcells_frac_post","rss_mb","imp_b_size_bytes","imp_acc_size_bytes","checkpoint_path","notes","run_id","run_ts"
1,"batch_started","started",NA,2,20351206,NA,NA,"2026-04-21 09:44:58.793887",NA,0,NA,NA,3964.8,16384,0.2419921875,NA,NA,NA,3198.140625,NA,NA,NA,"batch entry","20260421_094018","2026-04-21 09:40:18.841212"
1,"mice_call_entered","started",NA,2,20351206,NA,NA,"2026-04-21 09:44:59.147474",NA,0,0,NA,3964.8,16384,0.2419921875,NA,NA,NA,3198.140625,NA,NA,NA,"about to call mice::mice()","20260421_094018","2026-04-21 09:40:18.841212"
1,"mice_returned","ok",NA,2,20351206,TRUE,NA,"2026-04-21 09:44:59.147474","2026-04-21 09:45:12.862161",0,0,13.714686870575,3964.8,16384,0.2419921875,3981.3,16384,0.242999267578125,3485.4375,47801904,NA,NA,"mice() returned successfully","20260421_094018","2026-04-21 09:40:18.841212"
1,"ibind_started","started",NA,2,20351206,NA,NA,"2026-04-21 09:45:14.178654",NA,0,0,NA,3984,16384,0.2431640625,NA,NA,NA,3493.453125,47801904,NA,"/Users/reblocke/Research/abg-vbg-project/Results/mi_batch_checkpoints/imp_b_batch_01.rds","initial accumulator assignment","20260421_094018","2026-04-21 09:40:18.841212"
1,"ibind_completed","ok",NA,2,20351206,TRUE,NA,"2026-04-21 09:45:14.178654","2026-04-21 09:45:14.573159",0,2,0.394505023956299,3984,16384,0.2431640625,3984,16384,0.2431640625,3493.453125,47801904,47801904,"/Users/reblocke/Research/abg-vbg-project/Results/mi_batch_checkpoints/imp_b_batch_01.rds","initialized accumulator","20260421_094018","2026-04-21 09:40:18.841212"
1,"checkpoint_started","started",NA,2,20351206,NA,NA,"2026-04-21 09:45:15.028363",NA,0,2,NA,3984,16384,0.2431640625,NA,NA,NA,3493.5,47801904,47801904,"/Users/reblocke/Research/abg-vbg-project/Results/mi_batch_checkpoints/imp_acc_after_batch_01.rds","about to save accumulated mids checkpoint","20260421_094018","2026-04-21 09:40:18.841212"
1,"checkpoint_saved","completed",NA,2,20351206,TRUE,NA,"2026-04-21 09:45:15.028363","2026-04-21 09:45:15.646252",0,2,0.617888927459717,3984,16384,0.2431640625,3984,16384,0.2431640625,3493.96875,47801904,47801904,"/Users/reblocke/Research/abg-vbg-project/Results/mi_batch_checkpoints/imp_acc_after_batch_01.rds","saved accumulated mids checkpoint","20260421_094018","2026-04-21 09:40:18.841212"
2,"batch_started","started",NA,2,20451206,NA,NA,"2026-04-21 09:45:17.140553",NA,2,NA,NA,3984,16384,0.2431640625,NA,NA,NA,3494.34375,NA,47801904,NA,"batch entry","20260421_094018","2026-04-21 09:40:18.841212"
2,"mice_call_entered","started",NA,2,20451206,NA,NA,"2026-04-21 09:45:17.526036",NA,2,2,NA,3984,16384,0.2431640625,NA,NA,NA,3494.390625,NA,47801904,NA,"about to call mice::mice()","20260421_094018","2026-04-21 09:40:18.841212"
2,"mice_returned","ok",NA,2,20451206,TRUE,NA,"2026-04-21 09:45:17.526036","2026-04-21 09:45:30.899422",2,2,13.3733859062195,3984,16384,0.2431640625,4000.4,16384,0.2441650390625,3458,47801904,47801904,NA,"mice() returned successfully","20260421_094018","2026-04-21 09:40:18.841212"
