"batch","combine_stage","left_m","right_m","left_size_bytes","right_size_bytes","rss_mb","gc_vcells_frac","started_at","finished_at","ok","error_message","run_id","run_ts"
1,"ibind_started",0,2,NA,47801904,3493.453125,0.2431640625,"2026-04-21 09:45:14.178654",NA,NA,NA,"20260421_094018","2026-04-21 09:40:18.841212"
1,"ibind_completed",0,2,NA,47801904,3493.453125,0.2431640625,"2026-04-21 09:45:14.178654","2026-04-21 09:45:14.573159",TRUE,NA,"20260421_094018","2026-04-21 09:40:18.841212"
2,"ibind_started",2,2,47801904,47801904,3466.171875,0.2443359375,"2026-04-21 09:45:32.075554",NA,NA,NA,"20260421_094018","2026-04-21 09:40:18.841212"
2,"ibind_completed",2,2,47801904,47801904,3493.515625,0.2443359375,"2026-04-21 09:45:32.075554","2026-04-21 09:45:32.964923",TRUE,NA,"20260421_094018","2026-04-21 09:40:18.841212"
3,"ibind_started",4,2,52236600,47801904,3356.59375,0.24459228515625,"2026-04-21 09:45:51.004339",NA,NA,NA,"20260421_094018","2026-04-21 09:40:18.841212"
3,"ibind_completed",4,2,52236600,47801904,3444.796875,0.24459228515625,"2026-04-21 09:45:51.004339","2026-04-21 09:45:51.882545",TRUE,NA,"20260421_094018","2026-04-21 09:40:18.841212"
4,"ibind_started",6,2,56671248,47801904,3604.25,0.244854736328125,"2026-04-21 09:46:09.866778",NA,NA,NA,"20260421_094018","2026-04-21 09:40:18.841212"
4,"ibind_completed",6,2,56671248,47801904,3634.21875,0.244854736328125,"2026-04-21 09:46:09.866778","2026-04-21 09:46:10.724362",TRUE,NA,"20260421_094018","2026-04-21 09:40:18.841212"
5,"ibind_started",8,2,61105880,47801904,3080.046875,0.245111083984375,"2026-04-21 09:46:28.915055",NA,NA,NA,"20260421_094018","2026-04-21 09:40:18.841212"
5,"ibind_completed",8,2,61105880,47801904,3224.84375,0.245111083984375,"2026-04-21 09:46:28.915055","2026-04-21 09:46:29.793541",TRUE,NA,"20260421_094018","2026-04-21 09:40:18.841212"
6,"ibind_started",10,2,65544192,47801904,3446.09375,0.245367431640625,"2026-04-21 09:46:48.406376",NA,NA,NA,"20260421_094018","2026-04-21 09:40:18.841212"
6,"ibind_completed",10,2,65544192,47801904,3497.421875,0.245367431640625,"2026-04-21 09:46:48.406376","2026-04-21 09:46:49.266406",TRUE,NA,"20260421_094018","2026-04-21 09:40:18.841212"
7,"ibind_started",12,2,69977640,47801904,3438.375,0.245623779296875,"2026-04-21 09:47:07.72217",NA,NA,NA,"20260421_094018","2026-04-21 09:40:18.841212"
7,"ibind_completed",12,2,69977640,47801904,3475.9375,0.2456298828125,"2026-04-21 09:47:07.72217","2026-04-21 09:47:08.59235",TRUE,NA,"20260421_094018","2026-04-21 09:40:18.841212"
8,"ibind_started",14,2,74411104,47801904,3375.859375,0.24588623046875,"2026-04-21 09:47:27.464738",NA,NA,NA,"20260421_094018","2026-04-21 09:40:18.841212"
8,"ibind_completed",14,2,74411104,47801904,3432.0625,0.24588623046875,"2026-04-21 09:47:27.464738","2026-04-21 09:47:28.328847",TRUE,NA,"20260421_094018","2026-04-21 09:40:18.841212"
9,"ibind_started",16,2,78844552,47801904,3406.921875,0.246142578125,"2026-04-21 09:47:47.06944",NA,NA,NA,"20260421_094018","2026-04-21 09:40:18.841212"
9,"ibind_completed",16,2,78844552,47801904,3471.15625,0.246142578125,"2026-04-21 09:47:47.06944","2026-04-21 09:47:47.895544",TRUE,NA,"20260421_094018","2026-04-21 09:40:18.841212"
10,"ibind_started",18,2,83279280,47801904,2815.90625,0.24639892578125,"2026-04-21 09:48:09.421333",NA,NA,NA,"20260421_094018","2026-04-21 09:40:18.841212"
10,"ibind_completed",18,2,83279280,47801904,2903.578125,0.24639892578125,"2026-04-21 09:48:09.421333","2026-04-21 09:48:10.270378",TRUE,NA,"20260421_094018","2026-04-21 09:40:18.841212"
