"category","co2_cat","eta","SE_eta","var_eta","p","p_LCL","p_UCL","m_used","m_total","outcome","group","run_id","run_ts"
"Normal","Normal",-1.31676869003351,0.0416781962138276,0.00173707203963831,0.211356401609464,0.198060924785571,0.225293644148293,20,20,"IMV","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"Low","Low",-1.01834334186363,0.0461864948715986,0.00213319230852421,0.265350223046659,0.248081825953987,0.283367642799478,20,20,"IMV","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"High","High",-1.08608419411179,0.0481590855552138,0.0023192975215144,0.252356367106934,0.234966620639855,0.270577929274923,20,20,"IMV","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"Normal","Normal",-2.40611405249575,0.068035463145178,0.00462882424537888,0.0827076560328018,0.0731375295049047,0.0934038484917509,20,20,"NIV","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"Low","Low",-2.35724507562301,0.0764875482895885,0.00585034504335212,0.0864916154987045,0.0753577125504171,0.0990942274773829,20,20,"NIV","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"High","High",-1.38815567140866,0.0612648445114565,0.00375338117301295,0.199702356641722,0.181200547996561,0.219586688319801,20,20,"NIV","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"Normal","Normal",-2.06900381774437,0.0526799842889021,0.00277518074467898,0.112146189530629,0.102269668854585,0.122845998776507,20,20,"Death60d","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"Low","Low",-1.49730371270681,0.0548587660296075,0.00300948421029122,0.182828009883628,0.167308070581585,0.199442796089599,20,20,"Death60d","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"High","High",-1.77583728127258,0.0567364305595262,0.00321902255263593,0.144817906978308,0.131582256986435,0.159140934334976,20,20,"Death60d","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"Normal","Normal",-3.21315771667535,0.0777554388838969,0.00604590827602742,0.0386735659495157,0.0333893633488628,0.0447553259976936,20,20,"HCRF","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"Low","Low",-3.14855380614416,0.0907643007265079,0.00823815828637197,0.0411483000999576,0.0346748001834133,0.0487692919569176,20,20,"HCRF","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"High","High",-1.26747065910739,0.0597769390596026,0.00357328244333544,0.219690540983471,0.200265876650263,0.240432855921916,20,20,"HCRF","ABG","20260421_094018","2026-04-21 09:40:18.841212"
