"category","co2_cat","eta","SE_eta","var_eta","p","p_LCL","p_UCL","m_used","m_total","outcome","group","run_id","run_ts"
"Normal","Normal",-1.61212399900616,0.064949152054819,0.00421839235264,0.166293933042916,0.149386069186836,0.184699939085742,20,20,"IMV","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"Low","Low",-1.18575766458312,0.0700842331977397,0.00491179974291515,0.234018532510929,0.21029921648831,0.259533891420096,20,20,"IMV","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"High","High",-1.15200986172985,0.0709866995582174,0.00503911151416862,0.240122165098657,0.215659274934906,0.266417403824521,20,20,"IMV","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"Normal","Normal",-3.92631421512407,0.121512099082684,0.0147651902234799,0.0193349956917289,0.0153000944413842,0.0244075956210194,20,20,"NIV","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"Low","Low",-3.92431112413239,0.136445901982908,0.0186174841679294,0.0193730131989063,0.0148946706839308,0.0251634528166771,20,20,"NIV","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"High","High",-2.84164247609689,0.111555105023266,0.0124445414567519,0.0551149395619213,0.0447752773628197,0.0676731173041646,20,20,"NIV","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"Normal","Normal",-1.96278726853648,0.0705766939441717,0.00498106972808929,0.123165717621927,0.108988244939927,0.13889993344313,20,20,"Death60d","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"Low","Low",-1.39418286969901,0.0731589318127298,0.00535222930397964,0.198740825060749,0.176888165825405,0.222563180103902,20,20,"Death60d","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"High","High",-1.63494423745241,0.0739860296919492,0.005473932589578,0.163154175530893,0.144308461625547,0.18393199121664,20,20,"Death60d","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"Normal","Normal",-3.17530140782331,0.102454100108075,0.0104968426289555,0.0401058269471529,0.033050440299226,0.0485916631036817,20,20,"HCRF","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"Low","Low",-3.37763775115633,0.127437136867765,0.0162402238530535,0.0330016971594545,0.02589637883978,0.0419725353200502,20,20,"HCRF","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"High","High",-1.21026135734604,0.0777423610589563,0.00604387470302113,0.229654810049273,0.203812154731848,0.257713586999811,20,20,"HCRF","VBG","20260421_094018","2026-04-21 09:40:18.841212"
