"term","estimate","SE","LCL","UCL","m_used","m_total","outcome","group","run_id","run_ts"
"(Intercept)",-2.04248457180678,0.325970981977043,-2.68138769648179,-1.40358144713178,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"splines::ns(paco2, 4)1",-0.340417000562246,0.306315379952161,-0.940795145268482,0.259961144143989,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"splines::ns(paco2, 4)2",1.12725179818028,0.264325781927576,0.609173265602232,1.64533033075833,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"splines::ns(paco2, 4)3",1.63957665810956,0.704885468002662,0.258001140824344,3.02115217539478,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"splines::ns(paco2, 4)4",1.00220636792408,0.588587986501092,-0.151426085618062,2.15583882146622,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"age_at_encounter",-0.0035039066700709,0.00118818973178453,-0.00583275854436858,-0.00117505479577321,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"sexMale",0.349764073798269,0.0403202957363623,0.270736294154999,0.42879185344154,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"race_ethnicity1",0.235778495274834,0.0564828612322108,0.125072087259701,0.346484903289967,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"race_ethnicity2",0.269708491986294,0.091262480491375,0.0908340302231992,0.448582953749389,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"race_ethnicity3",0.166496415717577,0.132620196679559,-0.0934391697743587,0.426432001209512,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"race_ethnicity4",-0.796236405240249,0.194937581679317,-1.17831406533171,-0.414158745148788,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"race_ethnicity5",-0.0378221978193318,0.544420622700954,-1.1048866183132,1.02924222267454,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"race_ethnicity6",-0.270430928865214,0.0725896442118842,-0.412706631520507,-0.128155226209921,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"location1",0.189709098125156,0.0508925945022073,0.0899596129008295,0.289458583349482,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"location2",0.343779842561201,0.0691290011819028,0.208287000244671,0.47927268487773,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"location3",0.647360307563486,0.0625228549237233,0.524815511912989,0.769905103213984,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"encounter_typeInpatient",0.813844277604685,0.0588132137866358,0.698570378582879,0.929118176626491,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"(Intercept)",-5.31733203878814,0.579187321860452,-6.45253918963462,-4.18212488794165,20,20,"niv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"splines::ns(paco2, 4)1",0.65030343931113,0.546720417845281,-0.42126857966562,1.72187545828788,20,20,"niv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"splines::ns(paco2, 4)2",6.49191312564825,0.500457936890533,5.5110155693428,7.47281068195369,20,20,"niv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"splines::ns(paco2, 4)3",-1.16497735788276,1.46960247891358,-4.04539821655338,1.71544350078786,20,20,"niv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"splines::ns(paco2, 4)4",-11.8973697105566,2.38303065179909,-16.5681097880828,-7.2266296330304,20,20,"niv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"age_at_encounter",0.0196930029921458,0.00187457026648933,0.0160188452698267,0.0233671607144649,20,20,"niv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"sexMale",0.0344316245387302,0.0606628238145394,-0.0844675101377671,0.153330759215227,20,20,"niv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"race_ethnicity1",0.115638254420216,0.0860972625354881,-0.0531123801493406,0.284388888989773,20,20,"niv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"race_ethnicity2",-0.0946523413382123,0.144943374111739,-0.37874135459722,0.189436671920795,20,20,"niv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"race_ethnicity3",-0.509844572770512,0.239914457833208,-0.980076910123599,-0.0396122354174255,20,20,"niv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
"race_ethnicity4",-1.19967689471838,0.3441920096625,-1.87429323365688,-0.525060555779881,20,20,"niv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
