"term","estimate","SE","LCL","UCL","m_used","m_total","outcome","group","run_id","run_ts"
"(Intercept)",-3.02622991715679,0.367124233671365,-3.74579341515266,-2.30666641916091,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"splines::ns(vbg_co2, 4)1",-0.727383100242111,0.32990077154162,-1.37398861246369,-0.0807775880205355,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"splines::ns(vbg_co2, 4)2",1.01275207854917,0.347823239443816,0.331018529239288,1.69448562785905,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"splines::ns(vbg_co2, 4)3",0.972749291210072,0.84547559677487,-0.684382878468673,2.62988146088882,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"splines::ns(vbg_co2, 4)4",1.15051882192771,1.1480315495346,-1.09962301516011,3.40066065901552,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"age_at_encounter",-0.000512234548403463,0.00170234463627127,-0.00384883003549515,0.00282436093868822,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"sexMale",0.316396710531348,0.0588388982978536,0.201072469867555,0.431720951195141,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"race_ethnicity1",-0.157212966007786,0.0810846092157206,-0.316138800070598,0.00171286805502655,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"race_ethnicity2",-0.0529895970591076,0.116383725258638,-0.281101698566038,0.175122504447823,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"race_ethnicity3",-0.20454945831789,0.19042557094563,-0.577783577371324,0.168684660735544,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"race_ethnicity4",-0.788053748857494,0.225582547489512,-1.23019554193694,-0.34591195577805,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"race_ethnicity5",-1.19576416567987,1.147206718014,-3.44428933298731,1.05276100162757,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"race_ethnicity6",-0.524315594958293,0.0935680858498016,-0.707709043223904,-0.340922146692682,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"location1",0.119080705087925,0.0678366253558054,-0.0138790806094536,0.252040490785304,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"location2",0.565536099936144,0.0891477495552426,0.390806510807869,0.74026568906442,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"location3",0.834179867059843,0.0937765294153905,0.650377869405677,1.01798186471401,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"encounter_typeInpatient",1.67371490384978,0.085948610190201,1.50525562787698,1.84217417982257,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"(Intercept)",-4.70507710493677,0.649147959619082,-5.97740710579017,-3.43274710408337,20,20,"niv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"splines::ns(vbg_co2, 4)1",0.25996426735524,0.608691231819356,-0.933070547010699,1.45299908172118,20,20,"niv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"splines::ns(vbg_co2, 4)2",4.80836769507198,0.507936122806059,3.8128128943721,5.80392249577185,20,20,"niv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"splines::ns(vbg_co2, 4)3",2.3801019923423,1.42582667606843,-0.414518292751819,5.17472227743643,20,20,"niv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"splines::ns(vbg_co2, 4)4",-1.94033200560794,1.56990970308591,-5.01735502365633,1.13669101244045,20,20,"niv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"age_at_encounter",0.0134693080460263,0.00245831851822029,0.00865100375031457,0.0182876123417381,20,20,"niv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"sexMale",0.0154136113289041,0.083538861978496,-0.148322558148948,0.179149780806756,20,20,"niv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"race_ethnicity1",0.0503753746573038,0.104285722594131,-0.154024641627194,0.254775390941801,20,20,"niv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"race_ethnicity2",-0.308250179561282,0.165839353246184,-0.633295311923803,0.0167949528012395,20,20,"niv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"race_ethnicity3",-1.00097780090612,0.334474629488182,-1.65654807470296,-0.345407527109288,20,20,"niv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"race_ethnicity4",-1.04583166656746,0.321870703020286,-1.67669824448722,-0.414965088647697,20,20,"niv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"race_ethnicity5",-11.3046853359187,0.413914808919642,-12.1159583614012,-10.4934123104362,20,20,"niv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"race_ethnicity6",-1.11790588066385,0.16456968892533,-1.4404624709575,-0.795349290370205,20,20,"niv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"location1",-1.33734191302628,0.11437075354763,-1.56150858997963,-1.11317523607292,20,20,"niv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"location2",0.375455175084645,0.117579841185352,0.144998686361354,0.605911663807935,20,20,"niv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"location3",1.2640954627192,0.1108989228061,1.04673357401924,1.48145735141916,20,20,"niv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"encounter_typeInpatient",0.753429890681959,0.0964181791458767,0.56445025955604,0.942409521807877,20,20,"niv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"(Intercept)",-4.6507264994035,0.401376298231653,-5.43742404393753,-3.86402895486946,20,20,"death_60d","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"splines::ns(vbg_co2, 4)1",-1.28347140497965,0.341943851929446,-1.95368135476136,-0.613261455197933,20,20,"death_60d","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"splines::ns(vbg_co2, 4)2",0.639323433402013,0.352805925582909,-0.0521761807404882,1.33082304754451,20,20,"death_60d","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"splines::ns(vbg_co2, 4)3",0.417516908257658,0.881439951330587,-1.31010539635029,2.14513921286561,20,20,"death_60d","VBG","20260421_094018","2026-04-21 09:40:18.841212"
