"panel","group","outcome","n_model","events","measure","estimate","run_id","run_ts"
"Odds ratios","ABG","IMV",18577,4776,"Low vs normal OR (95% CI)","1.35 (1.23, 1.48)","20260421_094018","2026-04-21 09:40:18.841212"
"Odds ratios","ABG","IMV",18577,4776,"High vs normal OR (95% CI)","1.26 (1.15, 1.38)","20260421_094018","2026-04-21 09:40:18.841212"
"Odds ratios","ABG","NIV",18577,1816,"Low vs normal OR (95% CI)","1.05 (0.90, 1.23)","20260421_094018","2026-04-21 09:40:18.841212"
"Odds ratios","ABG","NIV",18577,1816,"High vs normal OR (95% CI)","2.77 (2.42, 3.17)","20260421_094018","2026-04-21 09:40:18.841212"
"Odds ratios","ABG","Death (60d)",18577,3292,"Low vs normal OR (95% CI)","1.77 (1.59, 1.97)","20260421_094018","2026-04-21 09:40:18.841212"
"Odds ratios","ABG","Death (60d)",18577,3292,"High vs normal OR (95% CI)","1.34 (1.20, 1.50)","20260421_094018","2026-04-21 09:40:18.841212"
"Odds ratios","ABG","Hypercapnic RF",18577,1943,"Low vs normal OR (95% CI)","1.07 (0.89, 1.28)","20260421_094018","2026-04-21 09:40:18.841212"
"Odds ratios","ABG","Hypercapnic RF",18577,1943,"High vs normal OR (95% CI)","7.00 (6.08, 8.06)","20260421_094018","2026-04-21 09:40:18.841212"
"Odds ratios","VBG","IMV",14910,2292,"Low vs normal OR (95% CI)","1.53 (1.33, 1.76)","20260421_094018","2026-04-21 09:40:18.841212"
"Odds ratios","VBG","IMV",14910,2292,"High vs normal OR (95% CI)","1.58 (1.38, 1.82)","20260421_094018","2026-04-21 09:40:18.841212"
"Odds ratios","VBG","NIV",14910,1036,"Low vs normal OR (95% CI)","1.00 (0.80, 1.25)","20260421_094018","2026-04-21 09:40:18.841212"
"Odds ratios","VBG","NIV",14910,1036,"High vs normal OR (95% CI)","2.96 (2.47, 3.54)","20260421_094018","2026-04-21 09:40:18.841212"
"Odds ratios","VBG","Death (60d)",14910,2054,"Low vs normal OR (95% CI)","1.77 (1.52, 2.05)","20260421_094018","2026-04-21 09:40:18.841212"
"Odds ratios","VBG","Death (60d)",14910,2054,"High vs normal OR (95% CI)","1.39 (1.20, 1.61)","20260421_094018","2026-04-21 09:40:18.841212"
"Odds ratios","VBG","Hypercapnic RF",14910,1332,"Low vs normal OR (95% CI)","0.82 (0.63, 1.06)","20260421_094018","2026-04-21 09:40:18.841212"
"Odds ratios","VBG","Hypercapnic RF",14910,1332,"High vs normal OR (95% CI)","7.14 (5.95, 8.56)","20260421_094018","2026-04-21 09:40:18.841212"
"Predicted probabilities","ABG","IMV",NA,NA,"Normal probability (95% CI)","0.21 (0.20, 0.23)","20260421_094018","2026-04-21 09:40:18.841212"
"Predicted probabilities","ABG","IMV",NA,NA,"Low probability (95% CI)","0.27 (0.25, 0.28)","20260421_094018","2026-04-21 09:40:18.841212"
"Predicted probabilities","ABG","IMV",NA,NA,"High probability (95% CI)","0.25 (0.23, 0.27)","20260421_094018","2026-04-21 09:40:18.841212"
"Predicted probabilities","ABG","NIV",NA,NA,"Normal probability (95% CI)","0.08 (0.07, 0.09)","20260421_094018","2026-04-21 09:40:18.841212"
"Predicted probabilities","ABG","NIV",NA,NA,"Low probability (95% CI)","0.09 (0.08, 0.10)","20260421_094018","2026-04-21 09:40:18.841212"
"Predicted probabilities","ABG","NIV",NA,NA,"High probability (95% CI)","0.20 (0.18, 0.22)","20260421_094018","2026-04-21 09:40:18.841212"
"Predicted probabilities","ABG","Death (60d)",NA,NA,"Normal probability (95% CI)","0.11 (0.10, 0.12)","20260421_094018","2026-04-21 09:40:18.841212"
"Predicted probabilities","ABG","Death (60d)",NA,NA,"Low probability (95% CI)","0.18 (0.17, 0.20)","20260421_094018","2026-04-21 09:40:18.841212"
"Predicted probabilities","ABG","Death (60d)",NA,NA,"High probability (95% CI)","0.14 (0.13, 0.16)","20260421_094018","2026-04-21 09:40:18.841212"
"Predicted probabilities","ABG","Hypercapnic RF",NA,NA,"Normal probability (95% CI)","0.04 (0.03, 0.04)","20260421_094018","2026-04-21 09:40:18.841212"
"Predicted probabilities","ABG","Hypercapnic RF",NA,NA,"Low probability (95% CI)","0.04 (0.03, 0.05)","20260421_094018","2026-04-21 09:40:18.841212"
