"method","group","outcome","n_model","events","Low vs normal","High vs normal","run_id","run_ts"
"Unweighted adjusted","ABG","IMV",18577,4776,"1.35 (1.24, 1.46)","1.29 (1.19, 1.39)","20260421_094018","2026-04-21 09:40:18.841212"
"Unweighted adjusted","ABG","NIV",18577,1816,"1.01 (0.88, 1.16)","2.62 (2.34, 2.94)","20260421_094018","2026-04-21 09:40:18.841212"
"Unweighted adjusted","ABG","Death (60d)",18577,3292,"1.84 (1.67, 2.02)","1.38 (1.26, 1.52)","20260421_094018","2026-04-21 09:40:18.841212"
"Unweighted adjusted","ABG","Hypercapnic RF",18577,1943,"1.03 (0.87, 1.21)","6.56 (5.83, 7.40)","20260421_094018","2026-04-21 09:40:18.841212"
"Unweighted adjusted","VBG","IMV",14910,2292,"1.49 (1.33, 1.67)","1.67 (1.50, 1.87)","20260421_094018","2026-04-21 09:40:18.841212"
"Unweighted adjusted","VBG","NIV",14910,1036,"0.99 (0.82, 1.18)","2.73 (2.34, 3.17)","20260421_094018","2026-04-21 09:40:18.841212"
"Unweighted adjusted","VBG","Death (60d)",14910,2054,"1.78 (1.58, 2.00)","1.36 (1.21, 1.53)","20260421_094018","2026-04-21 09:40:18.841212"
"Unweighted adjusted","VBG","Hypercapnic RF",14910,1332,"0.86 (0.70, 1.06)","7.82 (6.76, 9.08)","20260421_094018","2026-04-21 09:40:18.841212"
"IPW adjusted","ABG","IMV",18577,4776,"1.35 (1.23, 1.47)","1.23 (1.12, 1.35)","20260421_094018","2026-04-21 09:40:18.841212"
"IPW adjusted","ABG","NIV",18577,1816,"1.08 (0.93, 1.26)","2.81 (2.47, 3.19)","20260421_094018","2026-04-21 09:40:18.841212"
"IPW adjusted","ABG","Death (60d)",18577,3292,"1.78 (1.60, 1.97)","1.40 (1.26, 1.56)","20260421_094018","2026-04-21 09:40:18.841212"
"IPW adjusted","ABG","Hypercapnic RF",18577,1943,"1.14 (0.96, 1.37)","7.33 (6.42, 8.36)","20260421_094018","2026-04-21 09:40:18.841212"
"IPW adjusted","VBG","IMV",14910,2292,"1.51 (1.33, 1.71)","1.56 (1.38, 1.77)","20260421_094018","2026-04-21 09:40:18.841212"
"IPW adjusted","VBG","NIV",14910,1036,"1.00 (0.82, 1.23)","2.94 (2.49, 3.48)","20260421_094018","2026-04-21 09:40:18.841212"
"IPW adjusted","VBG","Death (60d)",14910,2054,"1.76 (1.55, 2.00)","1.44 (1.26, 1.64)","20260421_094018","2026-04-21 09:40:18.841212"
"IPW adjusted","VBG","Hypercapnic RF",14910,1332,"0.89 (0.71, 1.12)","8.40 (7.13, 9.89)","20260421_094018","2026-04-21 09:40:18.841212"
"IPW + MI adjusted","ABG","IMV",18577,4776,"1.35 (1.23, 1.48)","1.26 (1.15, 1.38)","20260421_094018","2026-04-21 09:40:18.841212"
"IPW + MI adjusted","ABG","NIV",18577,1816,"1.05 (0.90, 1.23)","2.77 (2.42, 3.17)","20260421_094018","2026-04-21 09:40:18.841212"
"IPW + MI adjusted","ABG","Death (60d)",18577,3292,"1.77 (1.59, 1.97)","1.34 (1.20, 1.50)","20260421_094018","2026-04-21 09:40:18.841212"
"IPW + MI adjusted","ABG","Hypercapnic RF",18577,1943,"1.07 (0.89, 1.28)","7.00 (6.08, 8.06)","20260421_094018","2026-04-21 09:40:18.841212"
"IPW + MI adjusted","VBG","IMV",14910,2292,"1.53 (1.33, 1.76)","1.58 (1.38, 1.82)","20260421_094018","2026-04-21 09:40:18.841212"
"IPW + MI adjusted","VBG","NIV",14910,1036,"1.00 (0.80, 1.25)","2.96 (2.47, 3.54)","20260421_094018","2026-04-21 09:40:18.841212"
"IPW + MI adjusted","VBG","Death (60d)",14910,2054,"1.77 (1.52, 2.05)","1.39 (1.20, 1.61)","20260421_094018","2026-04-21 09:40:18.841212"
"IPW + MI adjusted","VBG","Hypercapnic RF",14910,1332,"0.82 (0.63, 1.06)","7.14 (5.95, 8.56)","20260421_094018","2026-04-21 09:40:18.841212"
