"method","group","outcome","n_model","events","Low vs normal","High vs normal","run_id","run_ts"
"Unweighted adjusted","ABG","IMV",18577,4776,"1.35 (1.24, 1.46)","1.29 (1.19, 1.39)","20260421_094018","2026-04-21 09:40:18.841212"
"Unweighted adjusted","ABG","NIV",18577,1816,"1.01 (0.88, 1.16)","2.62 (2.34, 2.94)","20260421_094018","2026-04-21 09:40:18.841212"
"Unweighted adjusted","ABG","Death (60d)",18577,3292,"1.84 (1.67, 2.02)","1.38 (1.26, 1.52)","20260421_094018","2026-04-21 09:40:18.841212"
"Unweighted adjusted","ABG","Hypercapnic RF",18577,1943,"1.03 (0.87, 1.21)","6.56 (5.83, 7.40)","20260421_094018","2026-04-21 09:40:18.841212"
"IPW adjusted","ABG","IMV",18577,4776,"1.35 (1.23, 1.47)","1.23 (1.12, 1.35)","20260421_094018","2026-04-21 09:40:18.841212"
"IPW adjusted","ABG","NIV",18577,1816,"1.08 (0.93, 1.26)","2.81 (2.47, 3.19)","20260421_094018","2026-04-21 09:40:18.841212"
"IPW adjusted","ABG","Death (60d)",18577,3292,"1.78 (1.60, 1.97)","1.40 (1.26, 1.56)","20260421_094018","2026-04-21 09:40:18.841212"
"IPW adjusted","ABG","Hypercapnic RF",18577,1943,"1.14 (0.96, 1.37)","7.33 (6.42, 8.36)","20260421_094018","2026-04-21 09:40:18.841212"
"IPW + MI adjusted","ABG","IMV",18577,4776,"1.35 (1.23, 1.48)","1.26 (1.15, 1.38)","20260421_094018","2026-04-21 09:40:18.841212"
"IPW + MI adjusted","ABG","NIV",18577,1816,"1.05 (0.90, 1.23)","2.77 (2.42, 3.17)","20260421_094018","2026-04-21 09:40:18.841212"
"IPW + MI adjusted","ABG","Death (60d)",18577,3292,"1.77 (1.59, 1.97)","1.34 (1.20, 1.50)","20260421_094018","2026-04-21 09:40:18.841212"
"IPW + MI adjusted","ABG","Hypercapnic RF",18577,1943,"1.07 (0.89, 1.28)","7.00 (6.08, 8.06)","20260421_094018","2026-04-21 09:40:18.841212"
