"variable","class","nlevels","n_unused_levels","top_levels","n_missing","context_id","run_id","run_ts"
"sex","factor",2,0,"Male=31100; Female=30702",0,"mi_vbg","20260202_191751","2026-02-02 19:17:51.443286"
"race_ethnicity","factor",7,0,"0=38680; 1=10593; 6=6904; 2=4078; 3=1000",0,"mi_vbg","20260202_191751","2026-02-02 19:17:51.443286"
"copd","factor",2,0,"0=49838; 1=11964",0,"mi_vbg","20260202_191751","2026-02-02 19:17:51.443286"
"asthma","factor",2,0,"0=53480; 1=8322",0,"mi_vbg","20260202_191751","2026-02-02 19:17:51.443286"
"osa","factor",2,0,"0=50963; 1=10839",0,"mi_vbg","20260202_191751","2026-02-02 19:17:51.443286"
"chf","factor",2,0,"0=49545; 1=12257",0,"mi_vbg","20260202_191751","2026-02-02 19:17:51.443286"
"acute_nmd","factor",2,0,"0=61707; 1=95",0,"mi_vbg","20260202_191751","2026-02-02 19:17:51.443286"
"phtn","factor",2,0,"0=56726; 1=5076",0,"mi_vbg","20260202_191751","2026-02-02 19:17:51.443286"
"ckd","factor",2,0,"0=50630; 1=11172",0,"mi_vbg","20260202_191751","2026-02-02 19:17:51.443286"
"dm","factor",2,0,"0=43793; 1=18009",0,"mi_vbg","20260202_191751","2026-02-02 19:17:51.443286"
"location","factor",4,0,"0=28946; 1=15518; 3=12723; 2=4615",0,"mi_vbg","20260202_191751","2026-02-02 19:17:51.443286"
"encounter_type","factor",2,0,"Inpatient=41221; Emergency=20581",0,"mi_vbg","20260202_191751","2026-02-02 19:17:51.443286"
