"parity_key","artifact_type","non_mi_artifact","mi_artifact","present_non_mi","present_mi","parity_status","recommended_action","run_id","run_ts"
"ps_model_store_abg","diagnostic_rds",NA,"mi_logistic_ps_abg_list.rds",FALSE,TRUE,"mi_only","add non-MI equivalent output","20260208_095917","2026-02-08 09:59:17.934826"
"ps_model_store_vbg","diagnostic_rds",NA,"mi_logistic_ps_vbg_list.rds",FALSE,TRUE,"mi_only","add non-MI equivalent output","20260208_095917","2026-02-08 09:59:17.934826"
"abg_shared_spline","figure","spline-ipw-abg-shared.png",NA,TRUE,FALSE,"non_mi_only","add MI equivalent output","20260208_095917","2026-02-08 09:59:17.934826"
"abg_spline_panel","figure","spline-ipw-abg-trimmed.png",NA,TRUE,FALSE,"non_mi_only","add MI equivalent output","20260208_095917","2026-02-08 09:59:17.934826"
"love_plot","figure","loveplot-ipw-gbm-abg-vbg.png","loveplot-mi-logistic-abg-vbg.png",TRUE,TRUE,"both","none","20260208_095917","2026-02-08 09:59:17.934826"
"overlay_spline","figure","spline-ipw-overlay-abg-vbg.png","ipw-rcs-overlay-mi-abg-vbg*.png",TRUE,TRUE,"both","none","20260208_095917","2026-02-08 09:59:17.934826"
"propensity_hist_tested","figure","propensity-histograms-conditional.png","propensity-histograms-mi-logistic.png",TRUE,TRUE,"both","none","20260208_095917","2026-02-08 09:59:17.934826"
"shap_top10_plot","figure","shap-top10-ipw-gbm-abg-vbg.png","shap-top10-mi-logistic-abg-vbg.png",TRUE,TRUE,"both","none","20260208_095917","2026-02-08 09:59:17.934826"
"threelevel_or","figure","or-plot-three-level-weighted.png","or-plot-mi-weighted.png",TRUE,TRUE,"both","none","20260208_095917","2026-02-08 09:59:17.934826"
"vbg_spline_panel","figure","spline-ipw-vbg.png",NA,TRUE,FALSE,"non_mi_only","add MI equivalent output","20260208_095917","2026-02-08 09:59:17.934826"
"love_plot_data","table_csv","loveplot_ipw_gbm_data.csv","loveplot_mi_logistic_data.csv",TRUE,TRUE,"both","none","20260208_095917","2026-02-08 09:59:17.934826"
"shap_top10_abg","table_csv","shap_top10_ipw_gbm_abg.csv","shap_top10_mi_logistic_abg.csv",TRUE,TRUE,"both","none","20260208_095917","2026-02-08 09:59:17.934826"
"shap_top10_vbg","table_csv","shap_top10_ipw_gbm_vbg.csv","shap_top10_mi_logistic_vbg.csv",TRUE,TRUE,"both","none","20260208_095917","2026-02-08 09:59:17.934826"
"threelevel_table","table_csv","table_summary_adjusted_threelevel.csv","mi_threelevel_results.csv",TRUE,FALSE,"non_mi_only","add MI equivalent output","20260208_095917","2026-02-08 09:59:17.934826"
"weighting_diag","table_csv","weighting_diagnostics_non_mi.csv",NA,TRUE,FALSE,"non_mi_only","add MI equivalent output","20260208_095917","2026-02-08 09:59:17.934826"
