"parity_key","artifact_type","non_mi_artifact","mi_artifact","present_non_mi","present_mi","parity_status","recommended_action","run_id","run_ts"
"ps_model_store_abg","diagnostic_rds",NA,"mi_logistic_ps_abg_list.rds",FALSE,TRUE,"mi_only","add non-MI equivalent output","20260421_061058","2026-04-21 06:10:58.635955"
"ps_model_store_vbg","diagnostic_rds",NA,"mi_logistic_ps_vbg_list.rds",FALSE,TRUE,"mi_only","add non-MI equivalent output","20260421_061058","2026-04-21 06:10:58.635955"
"abg_shared_spline","figure","spline-ipw-abg-shared.png",NA,TRUE,FALSE,"non_mi_only","add MI equivalent output","20260421_061058","2026-04-21 06:10:58.635955"
"abg_shared_spline_prob","figure","spline-ipw-abg-shared-prob.png",NA,TRUE,FALSE,"non_mi_only","add MI equivalent output","20260421_061058","2026-04-21 06:10:58.635955"
"abg_spline_panel","figure","spline-ipw-abg-trimmed.png",NA,TRUE,FALSE,"non_mi_only","add MI equivalent output","20260421_061058","2026-04-21 06:10:58.635955"
"abg_spline_panel_prob","figure","spline-ipw-abg-trimmed-prob.png",NA,TRUE,FALSE,"non_mi_only","add MI equivalent output","20260421_061058","2026-04-21 06:10:58.635955"
"threelevel_prob","figure",NA,"ipw-three-level-mi-abg-vbg-prob.png",FALSE,TRUE,"mi_only","add non-MI equivalent output","20260421_061058","2026-04-21 06:10:58.635955"
"vbg_spline_panel","figure","spline-ipw-vbg.png",NA,TRUE,FALSE,"non_mi_only","add MI equivalent output","20260421_061058","2026-04-21 06:10:58.635955"
"vbg_spline_panel_prob","figure","spline-ipw-vbg-prob.png",NA,TRUE,FALSE,"non_mi_only","add MI equivalent output","20260421_061058","2026-04-21 06:10:58.635955"
"mi_cat3_prob_curve_abg","table_csv",NA,"mi_cat3_prob_curve_abg.csv",FALSE,TRUE,"mi_only","add non-MI equivalent output","20260421_061058","2026-04-21 06:10:58.635955"
"mi_cat3_prob_curve_vbg","table_csv",NA,"mi_cat3_prob_curve_vbg.csv",FALSE,TRUE,"mi_only","add non-MI equivalent output","20260421_061058","2026-04-21 06:10:58.635955"
"mi_spline_curve_abg","table_csv",NA,"mi_spline_curve_abg.csv",FALSE,TRUE,"mi_only","add non-MI equivalent output","20260421_061058","2026-04-21 06:10:58.635955"
"mi_spline_curve_vbg","table_csv",NA,"mi_spline_curve_vbg.csv",FALSE,TRUE,"mi_only","add non-MI equivalent output","20260421_061058","2026-04-21 06:10:58.635955"
"mi_spline_prob_curve_abg","table_csv",NA,"mi_spline_prob_curve_abg.csv",FALSE,TRUE,"mi_only","add non-MI equivalent output","20260421_061058","2026-04-21 06:10:58.635955"
"mi_spline_prob_curve_vbg","table_csv",NA,"mi_spline_prob_curve_vbg.csv",FALSE,TRUE,"mi_only","add non-MI equivalent output","20260421_061058","2026-04-21 06:10:58.635955"
"weighting_diag","table_csv","weighting_diagnostics_non_mi.csv",NA,TRUE,FALSE,"non_mi_only","add MI equivalent output","20260421_061058","2026-04-21 06:10:58.635955"
