"parity_key","artifact_type","non_mi_artifact","mi_artifact","present_non_mi","present_mi","parity_status","recommended_action","run_id","run_ts"
"ps_model_store_abg","diagnostic_rds",NA,"mi_logistic_ps_abg_list.rds",FALSE,TRUE,"mi_only","add non-MI equivalent output","20260301_131122","2026-03-01 13:11:22.14127"
"ps_model_store_vbg","diagnostic_rds",NA,"mi_logistic_ps_vbg_list.rds",FALSE,TRUE,"mi_only","add non-MI equivalent output","20260301_131122","2026-03-01 13:11:22.14127"
"abg_shared_spline","figure","spline-ipw-abg-shared.png",NA,TRUE,FALSE,"non_mi_only","add MI equivalent output","20260301_131122","2026-03-01 13:11:22.14127"
"abg_shared_spline_prob","figure","spline-ipw-abg-shared-prob.png",NA,TRUE,FALSE,"non_mi_only","add MI equivalent output","20260301_131122","2026-03-01 13:11:22.14127"
"abg_spline_panel","figure","spline-ipw-abg-trimmed.png",NA,TRUE,FALSE,"non_mi_only","add MI equivalent output","20260301_131122","2026-03-01 13:11:22.14127"
"abg_spline_panel_prob","figure","spline-ipw-abg-trimmed-prob.png",NA,TRUE,FALSE,"non_mi_only","add MI equivalent output","20260301_131122","2026-03-01 13:11:22.14127"
"vbg_spline_panel","figure","spline-ipw-vbg.png",NA,TRUE,FALSE,"non_mi_only","add MI equivalent output","20260301_131122","2026-03-01 13:11:22.14127"
"vbg_spline_panel_prob","figure","spline-ipw-vbg-prob.png",NA,TRUE,FALSE,"non_mi_only","add MI equivalent output","20260301_131122","2026-03-01 13:11:22.14127"
"mi_spline_prob_curve_abg","table_csv",NA,"mi_spline_prob_curve_abg.csv",FALSE,TRUE,"mi_only","add non-MI equivalent output","20260301_131122","2026-03-01 13:11:22.14127"
"mi_spline_prob_curve_vbg","table_csv",NA,"mi_spline_prob_curve_vbg.csv",FALSE,TRUE,"mi_only","add non-MI equivalent output","20260301_131122","2026-03-01 13:11:22.14127"
"threelevel_table","table_csv","table_summary_adjusted_threelevel.csv","mi_threelevel_results.csv",TRUE,FALSE,"non_mi_only","add MI equivalent output","20260301_131122","2026-03-01 13:11:22.14127"
"weighting_diag","table_csv","weighting_diagnostics_non_mi.csv",NA,TRUE,FALSE,"non_mi_only","add MI equivalent output","20260301_131122","2026-03-01 13:11:22.14127"
