"family","track","artifact_type","artifact_name","artifact_path","exists","run_id","run_ts"
"Spline","Crude","figure","key-results-spline-crude-abg-vbg.png","Results/figs/key-results-spline-crude-abg-vbg.png",TRUE,"20260424_063653","2026-04-24 06:36:53.744157"
"Spline","Adjusted","figure","key-results-spline-adjusted-abg-vbg.png","Results/figs/key-results-spline-adjusted-abg-vbg.png",TRUE,"20260424_063653","2026-04-24 06:36:53.744157"
"Spline","Imputed","figure","key-results-spline-imputed-abg-vbg.png","Results/figs/key-results-spline-imputed-abg-vbg.png",TRUE,"20260424_063653","2026-04-24 06:36:53.744157"
"Categorical","Crude","figure","key-results-cat3-crude-abg-vbg.png","Results/figs/key-results-cat3-crude-abg-vbg.png",TRUE,"20260424_063653","2026-04-24 06:36:53.744157"
"Categorical","Adjusted","figure","key-results-cat3-adjusted-abg-vbg.png","Results/figs/key-results-cat3-adjusted-abg-vbg.png",TRUE,"20260424_063653","2026-04-24 06:36:53.744157"
"Categorical","Imputed","figure","key-results-cat3-imputed-abg-vbg.png","Results/figs/key-results-cat3-imputed-abg-vbg.png",TRUE,"20260424_063653","2026-04-24 06:36:53.744157"
"Categorical","Weighted and adjusted","figure","key-results-cat3-main-mi-ipw-abg-vbg.png","Results/figs/key-results-cat3-main-mi-ipw-abg-vbg.png",TRUE,"20260424_063653","2026-04-24 06:36:53.744157"
"Categorical","GBM-weighted","figure","key-results-cat3-gbm-weighted-abg-vbg.png","Results/figs/key-results-cat3-gbm-weighted-abg-vbg.png",TRUE,"20260424_063653","2026-04-24 06:36:53.744157"
"Categorical","Master table","table_csv","table_summary_key_results_cat3.csv","Results/table_summary_key_results_cat3.csv",TRUE,"20260424_063653","2026-04-24 06:36:53.744157"
"Categorical","ABG table","table_csv","table_summary_key_results_cat3_abg.csv","Results/table_summary_key_results_cat3_abg.csv",TRUE,"20260424_063653","2026-04-24 06:36:53.744157"
"Categorical","VBG table","table_csv","table_summary_key_results_cat3_vbg.csv","Results/table_summary_key_results_cat3_vbg.csv",TRUE,"20260424_063653","2026-04-24 06:36:53.744157"
"Categorical","Long-form extract","table_csv","cat3_key_results_long.csv","Results/cat3_key_results_long.csv",TRUE,"20260424_063653","2026-04-24 06:36:53.744157"
