"line_no","n_chars","line_preview","run_id","run_ts"
5331,554,"IPW done using Gradient Boosting Methods (GBM) - a type of decision-tree based machine learning. ""***Random forests and GBM are designed to automatically include relevant interactions for variables in","20260415_003149","2026-04-15 00:31:49.347034"
5414,256,"These are covariate-adjusted outcome models (outcome \~ spline(CO2) + X), fit separately for ABG and VBG cohorts using survey::svyglm with robust (design-based) SEs. Spline curves are shown as odds ra","20260415_003149","2026-04-15 00:31:49.347034"
8666,246,"MI propensity scores use logistic regression with restricted cubic splines (`rms::rcs`, 4 knots by default) for continuous covariates; the same covariate set used in non‑MI models is reused here (`cov","20260415_003149","2026-04-15 00:31:49.347034"
10223,367,"Within each imputation, fit covariate‑adjusted CO2 spline outcome models **only in the measured cohort** (has_abg==1 for PaCO2; has_vbg==1 for VBG CO2), using IPSW weights to address nonrandom testing","20260415_003149","2026-04-15 00:31:49.347034"
11203,239,"  caption = ""Categorical key results for the ABG cohort across crude, unweighted adjusted, imputed non-weighted, MI-logistic IPSW-weighted, and GBM IPSW-weighted analyses; probabilities are conditiona","20260415_003149","2026-04-15 00:31:49.347034"
11211,239,"  caption = ""Categorical key results for the VBG cohort across crude, unweighted adjusted, imputed non-weighted, MI-logistic IPSW-weighted, and GBM IPSW-weighted analyses; probabilities are conditiona","20260415_003149","2026-04-15 00:31:49.347034"
11256,253,"  caption = ""Adjusted odds ratios (low/high vs normal) across unweighted adjusted, GBM IPSW-weighted, and MI-logistic IPSW-weighted analysis tracks for the ABG cohort; n/events reflect model sample si","20260415_003149","2026-04-15 00:31:49.347034"
11263,253,"  caption = ""Adjusted odds ratios (low/high vs normal) across unweighted adjusted, GBM IPSW-weighted, and MI-logistic IPSW-weighted analysis tracks for the VBG cohort; n/events reflect model sample si","20260415_003149","2026-04-15 00:31:49.347034"
12557,307,"  ""Figure 1"", ""Cohort assembly and target population for inverse probability-of-sampling weighting"", ""figure"", ""main"", ""cohort-flow-figure"", ""generated"", ""Primary cohort-flow display; .pdf sidecar als","20260415_003149","2026-04-15 00:31:49.347034"
12558,459,"  ""Figure 2"", ""Primary MI-logistic IPSW-weighted spline associations of pCO2 with clinical outcomes by ABG and VBG"", ""figure"", ""main"", ""key-results-spline-main-mi-ipw-abg-vbg"", ""generated"", ""Combined ","20260415_003149","2026-04-15 00:31:49.347034"
12559,372,"  ""Table 1"", ""Baseline characteristics of the analytic cohort overall and by receipt of arterial and venous blood gas testing"", ""table"", ""main"", ""table1-everyone-abg-vbg"", ""generated"", ""Rendered from ","20260415_003149","2026-04-15 00:31:49.347034"
12560,397,"  ""Table 2"", ""MI-pooled, MI-logistic IPSW-weighted 3-level categorical results for ABG and VBG"", ""table"", ""main"", ""table2-weighted-categorical-outcomes"", ""generated"", ""Main manuscript table for weight","20260415_003149","2026-04-15 00:31:49.347034"
12561,372,"  ""Figure S1"", ""Covariate balance after MI logistic inverse-probability weighting for ABG and VBG test-ordering models"", ""figure"", ""supplement"", ""loveplot-mi-logistic"", ""generated"", ""Primary balance d","20260415_003149","2026-04-15 00:31:49.347034"
12562,410,"  ""Figure S2"", ""Propensity-score overlap for MI logistic ABG and VBG test-ordering models"", ""figure"", ""supplement"", ""mi-propensity-histograms-logistic"", ""generated"", ""Imputation-averaged tested-versus","20260415_003149","2026-04-15 00:31:49.347034"
12563,389,"  ""Figure S3"", ""SHAP-style contribution summaries for MI logistic ABG and VBG test-ordering models"", ""figure"", ""supplement"", ""shap-top10-mi-logistic-display"", ""generated"", ""Mean absolute contribution ","20260415_003149","2026-04-15 00:31:49.347034"
12564,493,"  ""Figure S4"", ""MI-logistic IPSW-weighted categorical associations of pCO2 category with clinical outcomes by ABG and VBG"", ""figure"", ""supplement"", ""key-results-cat3-main-mi-ipw-abg-vbg"", ""generated"",","20260415_003149","2026-04-15 00:31:49.347034"
12565,401,"  ""Figure S5"", ""Unweighted covariate-adjusted spline associations of pCO2 with clinical outcomes by ABG and VBG"", ""figure"", ""supplement"", ""key-results-spline-adjusted-abg-vbg"", ""generated"", ""Combined ","20260415_003149","2026-04-15 00:31:49.347034"
12566,314,"  ""Table S2"", ""Crude associations of pCO2 category with clinical outcomes by ABG and VBG"", ""table"", ""supplement"", ""supplement-table-s2-crude"", ""generated"", ""Standalone crude categorical odds-ratio tab","20260415_003149","2026-04-15 00:31:49.347034"
12567,342,"  ""Table S3"", ""GBM IPSW-weighted associations of pCO2 category with clinical outcomes by ABG and VBG"", ""table"", ""supplement"", ""supplement-table-s3-gbm"", ""generated"", ""Standalone GBM IPSW-weighted cate","20260415_003149","2026-04-15 00:31:49.347034"
12568,382,"  ""Figure S6"", ""Covariate balance after gradient-boosted propensity weighting for ABG and VBG test-ordering models"", ""figure"", ""supplement"", ""loveplot-ipw-gbm"", ""generated"", ""Raw-versus-weighted absol","20260415_003149","2026-04-15 00:31:49.347034"
12569,382,"  ""Figure S7"", ""Propensity-score overlap for gradient-boosted ABG and VBG test-ordering models"", ""figure"", ""supplement"", ""propensity-histograms-conditional"", ""generated"", ""Tested-versus-untested prope","20260415_003149","2026-04-15 00:31:49.347034"
12570,368,"  ""Figure S8"", ""SHAP-style contribution summaries for gradient-boosted ABG and VBG test-ordering models"", ""figure"", ""supplement"", ""shap-top10-ipw-gbm-display"", ""generated"", ""Mean absolute SHAP value s","20260415_003149","2026-04-15 00:31:49.347034"
12572,262,"  ""Figure 3"", ""Deprecated draft-only reference for weighted categorical results"", ""figure"", ""draft_only"", """", ""draft_only"", ""Weighted categorical display is intentionally harmonized as Figure S4; no F","20260415_003149","2026-04-15 00:31:49.347034"
13840,236,"  ""- Impute -> single-pass per‑imputation loop (weights, target balance, 3‑level outcomes, spline outcomes) -> pool curves and coefficients with Rubin’s rules (chunk: `mi-single-pass`; downstream MI d","20260415_003149","2026-04-15 00:31:49.347034"
13852,223,"  ""- mitools::MIcombine pools coefficients and robust vcov from svyglm; spline curves are pooled pointwise on log-OR (relative to CO2_ref) and on eta for predicted-probability curves (helpers defined ","20260415_003149","2026-04-15 00:31:49.347034"
