"manuscript_label","title","canonical_artifact_path","alias_artifact_path","existence_status","run_id","run_ts"
"Figure 1","Cohort assembly and target population for inverse probability-of-sampling weighting","Results/cohort_flow.png","Results/figs/figure_1_cohort_assembly_target_population_ipsw.png","generated","20260409_220904","2026-04-09 22:09:04.990088"
"Figure 2","Primary MI-logistic IPSW-weighted spline associations of pCO2 with clinical outcomes by ABG and VBG","Results/figs/key-results-spline-main-mi-ipw-abg-vbg.png","Results/figs/figure_2_primary_weighted_spline_associations_abg_vbg.png","generated","20260409_220904","2026-04-09 22:09:04.990088"
"Table 1","Baseline characteristics of the analytic cohort overall and by receipt of arterial and venous blood gas testing","Results/table1_combined.pdf","Results/table_1_baseline_characteristics_analytic_cohort.pdf","generated","20260409_220904","2026-04-09 22:09:04.990088"
"Table 2","MI-pooled, MI-logistic IPSW-weighted 3-level categorical results for ABG and VBG","Results/table_2_weighted_categorical_outcomes.pdf","Results/table_2_weighted_categorical_outcomes.pdf","generated","20260409_220904","2026-04-09 22:09:04.990088"
"Figure S1","Covariate balance after MI logistic inverse-probability weighting for ABG and VBG test-ordering models","Results/figs/loveplot-mi-logistic-abg-vbg.png","Results/figs/figure_s1_covariate_balance_mi_logistic_ipsw.png","generated","20260409_220904","2026-04-09 22:09:04.990088"
"Figure S2","Propensity-score overlap for MI logistic ABG and VBG test-ordering models","Results/figs/propensity-histograms-mi-logistic.png","Results/figs/figure_s2_propensity_score_overlap_mi_logistic.png","generated","20260409_220904","2026-04-09 22:09:04.990088"
"Figure S3","SHAP-style contribution summaries for MI logistic ABG and VBG test-ordering models","Results/figs/shap-top10-mi-logistic-abg-vbg.png","Results/figs/figure_s3_shap_style_contributions_mi_logistic.png","generated","20260409_220904","2026-04-09 22:09:04.990088"
"Figure S4","MI-logistic IPSW-weighted categorical associations of pCO2 category with clinical outcomes by ABG and VBG","Results/figs/key-results-cat3-main-mi-ipw-abg-vbg.png","Results/figs/figure_s4_weighted_categorical_associations_abg_vbg.png","generated","20260409_220904","2026-04-09 22:09:04.990088"
"Figure S5","Unweighted covariate-adjusted spline associations of pCO2 with clinical outcomes by ABG and VBG","Results/figs/key-results-spline-adjusted-abg-vbg.png","Results/figs/figure_s5_unweighted_adjusted_spline_abg_vbg.png","generated","20260409_220904","2026-04-09 22:09:04.990088"
"Table S2","Crude associations of pCO2 category with clinical outcomes by ABG and VBG","Results/table_s2_crude_threelevel.pdf","Results/table_s2_crude_threelevel.pdf","generated","20260409_220904","2026-04-09 22:09:04.990088"
"Table S3","GBM IPSW-weighted associations of pCO2 category with clinical outcomes by ABG and VBG","Results/table_s3_gbm_threelevel.pdf","Results/table_s3_gbm_threelevel.pdf","generated","20260409_220904","2026-04-09 22:09:04.990088"
"Figure S6","Covariate balance after gradient-boosted propensity weighting for ABG and VBG test-ordering models","Results/figs/loveplot-ipw-gbm-abg-vbg.png","Results/figs/figure_s6_covariate_balance_gbm_weighting.png","generated","20260409_220904","2026-04-09 22:09:04.990088"
"Figure S7","Propensity-score overlap for gradient-boosted ABG and VBG test-ordering models","Results/figs/propensity-histograms-conditional.png","Results/figs/figure_s7_propensity_score_overlap_gbm.png","generated","20260409_220904","2026-04-09 22:09:04.990088"
"Figure S8","SHAP-style contribution summaries for gradient-boosted ABG and VBG test-ordering models","Results/figs/shap-top10-ipw-gbm-abg-vbg.png","Results/figs/figure_s8_shap_style_contributions_gbm.png","generated","20260409_220904","2026-04-09 22:09:04.990088"
"Supplementary Table 1","Inclusion criteria into the enriched sample","","","external/manual","20260409_220904","2026-04-09 22:09:04.990088"
"Figure 3","Deprecated draft-only reference for weighted categorical results","","","draft_only","20260409_220904","2026-04-09 22:09:04.990088"
