"run_id","run_ts","stage_id","context_id","when","time","Ncells_used","Vcells_used","Vcells_gc_trigger","Vcells_max_used","mem_max_vsize"
"20260415_003149","2026-04-15 00:31:49.347034","stage1","start","pre","2026-04-15 00:31:50.971073",3641112,6761136,19337794,18954565,16384
"20260415_003149","2026-04-15 00:31:49.347034","gbm_unimp","unimp_abg","pre","2026-04-15 00:35:46.151336",6634221,681188482,1007585724,1007584758,16384
"20260415_003149","2026-04-15 00:31:49.347034","gbm_unimp","unimp_abg","post","2026-04-15 00:39:23.466176",6683740,682197949,1209182868,1206040722,16384
"20260415_003149","2026-04-15 00:31:49.347034","gbm_unimp","unimp_vbg","pre","2026-04-15 00:39:36.492163",6843706,698794472,1209182868,1206040722,16384
"20260415_003149","2026-04-15 00:31:49.347034","gbm_unimp","unimp_vbg","post","2026-04-15 00:43:14.909885",6843849,699696940,1209182868,1209083773,16384
"20260415_003149","2026-04-15 00:31:49.347034","stage2","end","post","2026-04-15 00:51:30.053279",7370878,733038000,1209182868,1209159416,16384
"20260415_003149","2026-04-15 00:31:49.347034","stage2","cleanup","post","2026-04-15 00:51:30.803016",6929085,700873235,1209182868,1209159416,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_001","pre","2026-04-15 01:14:03.953535",7353544,1146522428,1743337566,1743322005,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_001","post","2026-04-15 01:14:55.020096",7363849,1155547331,1743337566,1743322005,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_002","pre","2026-04-15 01:14:55.855356",7363729,1147814622,1743337566,1743322005,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_002","post","2026-04-15 01:15:43.680319",7365188,1156607950,1743337566,1743322005,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_003","pre","2026-04-15 01:15:44.491252",7365068,1148875153,1743337566,1743322005,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_003","post","2026-04-15 01:16:34.09636",7366527,1157668477,1743337566,1743325792,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_004","pre","2026-04-15 01:16:34.899641",7366407,1149935680,1743337566,1743325792,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_004","post","2026-04-15 01:17:25.100872",7367866,1158729006,1743337566,1743326519,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_005","pre","2026-04-15 01:17:25.940084",7367746,1150996209,1743337566,1743326519,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_005","post","2026-04-15 01:18:11.637569",7369205,1159789535,1743367031,1743367031,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_006","pre","2026-04-15 01:18:12.45642",7369085,1152056749,1743367031,1743367031,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_006","post","2026-04-15 01:19:01.155862",7370544,1160850094,1743367031,1743367031,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_007","pre","2026-04-15 01:19:01.981077",7370424,1153117308,1743367031,1743367031,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_007","post","2026-04-15 01:19:52.732734",7371883,1161910637,1743367031,1743367031,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_008","pre","2026-04-15 01:19:53.540357",7371763,1154177851,1743367031,1743367031,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_008","post","2026-04-15 01:20:41.732994",7373222,1162971335,1743367031,1743367031,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_009","pre","2026-04-15 01:20:42.542973",7373102,1155238549,1743367031,1743367031,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_009","post","2026-04-15 01:21:30.927458",7374561,1164031882,1743367031,1743367031,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_010","pre","2026-04-15 01:21:31.761862",7374441,1156299096,1743367031,1743367031,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_010","post","2026-04-15 01:22:25.719854",7375900,1165092433,1743367031,1743367031,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_011","pre","2026-04-15 01:22:26.535867",7375780,1157359647,1743367031,1743367031,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_011","post","2026-04-15 01:23:22.352636",7377239,1166152988,1743367031,1743367031,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_012","pre","2026-04-15 01:23:23.181617",7377119,1158420202,1743367031,1743367031,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_012","post","2026-04-15 01:24:12.127236",7378578,1167213547,1743367031,1743367031,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_013","pre","2026-04-15 01:24:12.95116",7378458,1159480761,1743367031,1743367031,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_013","post","2026-04-15 01:24:58.872554",7379917,1168274088,1743397925,1743397925,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_014","pre","2026-04-15 01:24:59.704132",7379797,1160541302,1743397925,1743397925,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_014","post","2026-04-15 01:25:46.610854",7381256,1169334653,1743397925,1743397925,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_015","pre","2026-04-15 01:25:47.431541",7381136,1161601867,1743397925,1743397925,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_015","post","2026-04-15 01:26:33.91809",7382595,1170395196,1743397925,1743397925,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_016","pre","2026-04-15 01:26:34.729338",7382475,1162662410,1743397925,1743397925,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_016","post","2026-04-15 01:27:27.096303",7383934,1171455741,1743397925,1743397925,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_017","pre","2026-04-15 01:27:27.904393",7383814,1163722955,1743397925,1743397925,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_017","post","2026-04-15 01:28:18.852695",7385273,1172516314,1743397925,1743397925,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_018","pre","2026-04-15 01:28:19.659954",7385153,1164783528,1743397925,1743397925,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_018","post","2026-04-15 01:29:07.387565",7386612,1173576863,1743397925,1743397925,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_019","pre","2026-04-15 01:29:08.223383",7386492,1165844077,1743397925,1743397925,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_019","post","2026-04-15 01:30:00.589367",7387951,1174637414,1743397925,1743397925,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_020","pre","2026-04-15 01:30:01.431454",7387831,1166904628,1743397925,1743397925,16384
"20260415_003149","2026-04-15 00:31:49.347034","mi_single_pass","imp_020","post","2026-04-15 01:30:53.238992",7389290,1175697965,1743397925,1743397925,16384
"20260415_003149","2026-04-15 00:31:49.347034","stage1","end","post","2026-04-15 01:36:08.535384",7659598,1168499670,1743397925,1743397925,16384
"20260415_003149","2026-04-15 00:31:49.347034","stage1","cleanup","post","2026-04-15 01:36:09.411254",7641348,1168473795,1743397925,1743397925,16384
