"group","outcome","component","analysis_variant","n_fits","n_nonconv","n_sep_warn","n_phat_extreme","n_sep_flag","run_id","run_ts"
"ABG","death_60d","cat3","mi_ipw",20,0,0,0,0,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","death_60d","spline","mi_ipw",20,0,0,0,0,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","hypercap_resp_failure","cat3","mi_ipw",20,0,0,0,0,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","hypercap_resp_failure","spline","mi_ipw",20,0,0,20,20,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","imv_proc","cat3","mi_ipw",20,0,0,0,0,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","imv_proc","spline","mi_ipw",20,0,0,0,0,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","niv_proc","cat3","mi_ipw",20,0,0,0,0,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","niv_proc","spline","mi_ipw",20,0,0,20,20,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","death_60d","cat3","mi_ipw",20,0,0,0,0,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","death_60d","spline","mi_ipw",20,0,0,0,0,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","hypercap_resp_failure","cat3","mi_ipw",20,0,0,0,0,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","hypercap_resp_failure","spline","mi_ipw",20,0,0,0,0,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","imv_proc","cat3","mi_ipw",20,0,0,0,0,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","imv_proc","spline","mi_ipw",20,0,0,0,0,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","niv_proc","cat3","mi_ipw",20,0,0,20,20,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","niv_proc","spline","mi_ipw",20,0,0,20,20,"20260423_111150","2026-04-23 11:11:50.486947"
