"time","stage","component","analysis_variant","model_type","group","outcome","imputation","batch","message","run_id","run_ts"
"2026-02-07 17:38:58.985673","MI","mice_smoketest","mi","mice",NA,NA,NA,NA,"Number of logged events: 1","20260207_173552","2026-02-07 17:35:52.953951"
"2026-02-07 17:39:04.702309","MI","mice_batch","mi","mice",NA,NA,NA,1,"Number of logged events: 40","20260207_173552","2026-02-07 17:35:52.953951"
"2026-02-07 17:39:10.592117","MI","mice_batch","mi","mice",NA,NA,NA,2,"Number of logged events: 40","20260207_173552","2026-02-07 17:35:52.953951"
"2026-02-07 17:39:16.498447","MI","mice_batch","mi","mice",NA,NA,NA,3,"Number of logged events: 40","20260207_173552","2026-02-07 17:35:52.953951"
"2026-02-07 17:39:22.408339","MI","mice_batch","mi","mice",NA,NA,NA,4,"Number of logged events: 40","20260207_173552","2026-02-07 17:35:52.953951"
"2026-02-07 17:39:28.257549","MI","mice_batch","mi","mice",NA,NA,NA,5,"Number of logged events: 40","20260207_173552","2026-02-07 17:35:52.953951"
"2026-02-07 17:39:34.170399","MI","mice_batch","mi","mice",NA,NA,NA,6,"Number of logged events: 40","20260207_173552","2026-02-07 17:35:52.953951"
"2026-02-07 17:39:40.068336","MI","mice_batch","mi","mice",NA,NA,NA,7,"Number of logged events: 40","20260207_173552","2026-02-07 17:35:52.953951"
"2026-02-07 17:39:45.988249","MI","mice_batch","mi","mice",NA,NA,NA,8,"Number of logged events: 40","20260207_173552","2026-02-07 17:35:52.953951"
"2026-02-07 17:39:51.895112","MI","mice_batch","mi","mice",NA,NA,NA,9,"Number of logged events: 40","20260207_173552","2026-02-07 17:35:52.953951"
"2026-02-07 17:39:57.791501","MI","mice_batch","mi","mice",NA,NA,NA,10,"Number of logged events: 40","20260207_173552","2026-02-07 17:35:52.953951"
"2026-02-07 17:40:03.726936","MI","mice_batch","mi","mice",NA,NA,NA,11,"Number of logged events: 40","20260207_173552","2026-02-07 17:35:52.953951"
"2026-02-07 17:40:09.622335","MI","mice_batch","mi","mice",NA,NA,NA,12,"Number of logged events: 40","20260207_173552","2026-02-07 17:35:52.953951"
"2026-02-07 17:40:15.542702","MI","mice_batch","mi","mice",NA,NA,NA,13,"Number of logged events: 40","20260207_173552","2026-02-07 17:35:52.953951"
"2026-02-07 17:40:21.463948","MI","mice_batch","mi","mice",NA,NA,NA,14,"Number of logged events: 40","20260207_173552","2026-02-07 17:35:52.953951"
"2026-02-07 17:40:27.355283","MI","mice_batch","mi","mice",NA,NA,NA,15,"Number of logged events: 40","20260207_173552","2026-02-07 17:35:52.953951"
"2026-02-07 17:40:33.243224","MI","mice_batch","mi","mice",NA,NA,NA,16,"Number of logged events: 40","20260207_173552","2026-02-07 17:35:52.953951"
"2026-02-07 17:40:39.114932","MI","mice_batch","mi","mice",NA,NA,NA,17,"Number of logged events: 40","20260207_173552","2026-02-07 17:35:52.953951"
"2026-02-07 17:40:45.018436","MI","mice_batch","mi","mice",NA,NA,NA,18,"Number of logged events: 40","20260207_173552","2026-02-07 17:35:52.953951"
"2026-02-07 17:40:50.919828","MI","mice_batch","mi","mice",NA,NA,NA,19,"Number of logged events: 40","20260207_173552","2026-02-07 17:35:52.953951"
"2026-02-07 17:40:56.821573","MI","mice_batch","mi","mice",NA,NA,NA,20,"Number of logged events: 40","20260207_173552","2026-02-07 17:35:52.953951"
"2026-02-07 17:41:02.768316","MI","mice_batch","mi","mice",NA,NA,NA,21,"Number of logged events: 40","20260207_173552","2026-02-07 17:35:52.953951"
