"variable","class","nlevels","n_unused_levels","top_levels","n_missing","context_id","run_id","run_ts"
"sex","factor",2,0,"Male=130856; Female=126897",0,"abg","20260415_003149","2026-04-15 00:31:49.347034"
"race_ethnicity","factor",7,0,"0=160576; 1=45030; 6=28820; 2=16767; 3=4236",0,"abg","20260415_003149","2026-04-15 00:31:49.347034"
"copd","factor",2,0,"0=207566; 1=50187",0,"abg","20260415_003149","2026-04-15 00:31:49.347034"
"asthma","factor",2,0,"0=222871; 1=34882",0,"abg","20260415_003149","2026-04-15 00:31:49.347034"
"osa","factor",2,0,"0=212432; 1=45321",0,"abg","20260415_003149","2026-04-15 00:31:49.347034"
"chf","factor",2,0,"0=207201; 1=50552",0,"abg","20260415_003149","2026-04-15 00:31:49.347034"
"acute_nmd","factor",2,0,"0=257384; 1=369",0,"abg","20260415_003149","2026-04-15 00:31:49.347034"
"phtn","factor",2,0,"0=236757; 1=20996",0,"abg","20260415_003149","2026-04-15 00:31:49.347034"
"ckd","factor",2,0,"0=212087; 1=45666",0,"abg","20260415_003149","2026-04-15 00:31:49.347034"
"dm","factor",2,0,"0=183205; 1=74548",0,"abg","20260415_003149","2026-04-15 00:31:49.347034"
"location","factor",4,0,"0=120995; 1=64602; 3=52725; 2=19431",0,"abg","20260415_003149","2026-04-15 00:31:49.347034"
"encounter_type","factor",2,0,"Inpatient=171765; Emergency=85988",0,"abg","20260415_003149","2026-04-15 00:31:49.347034"
