"variable","type","stat","observed","imputed","run_id","run_ts"
"curr_bmi","numeric","mean",31.1341955170568,30.6603129991913,"20260202_191751","2026-02-02 19:17:51.443286"
"curr_bmi","numeric","sd",8.32680738499036,8.13571969977765,"20260202_191751","2026-02-02 19:17:51.443286"
"curr_bmi","numeric","p10",20.967999458313,20.7999992370605,"20260202_191751","2026-02-02 19:17:51.443286"
"curr_bmi","numeric","p50",29.8600006103516,29.3299999237061,"20260202_191751","2026-02-02 19:17:51.443286"
"curr_bmi","numeric","p90",43.1199989318848,42.5999984741211,"20260202_191751","2026-02-02 19:17:51.443286"
"curr_bmi","numeric","n",26550,50000,"20260202_191751","2026-02-02 19:17:51.443286"
"temp_new","numeric","mean",97.8941386367033,97.9304762106323,"20260202_191751","2026-02-02 19:17:51.443286"
"temp_new","numeric","sd",1.37790500649578,1.23870104927388,"20260202_191751","2026-02-02 19:17:51.443286"
"temp_new","numeric","p10",96.8125,96.96875,"20260202_191751","2026-02-02 19:17:51.443286"
"temp_new","numeric","p50",98,98,"20260202_191751","2026-02-02 19:17:51.443286"
"temp_new","numeric","p90",99,99,"20260202_191751","2026-02-02 19:17:51.443286"
"temp_new","numeric","n",32064,50000,"20260202_191751","2026-02-02 19:17:51.443286"
"sbp","numeric","mean",127.867995305272,127.13902,"20260202_191751","2026-02-02 19:17:51.443286"
"sbp","numeric","sd",26.4342209792541,25.9132893205564,"20260202_191751","2026-02-02 19:17:51.443286"
"sbp","numeric","p10",97,97,"20260202_191751","2026-02-02 19:17:51.443286"
"sbp","numeric","p50",127,126,"20260202_191751","2026-02-02 19:17:51.443286"
"sbp","numeric","p90",160,159,"20260202_191751","2026-02-02 19:17:51.443286"
"sbp","numeric","n",43453,50000,"20260202_191751","2026-02-02 19:17:51.443286"
"dbp","numeric","mean",72.5106847479554,72.6610699999999,"20260202_191751","2026-02-02 19:17:51.443286"
"dbp","numeric","sd",16.3162386722674,16.0940166460252,"20260202_191751","2026-02-02 19:17:51.443286"
"dbp","numeric","p10",53,53,"20260202_191751","2026-02-02 19:17:51.443286"
"dbp","numeric","p50",72,72,"20260202_191751","2026-02-02 19:17:51.443286"
"dbp","numeric","p90",93,92,"20260202_191751","2026-02-02 19:17:51.443286"
"dbp","numeric","n",43286,50000,"20260202_191751","2026-02-02 19:17:51.443286"
"hr","numeric","mean",85.7889888439938,87.4722,"20260202_191751","2026-02-02 19:17:51.443286"
"hr","numeric","sd",20.6192666707574,20.8589100636295,"20260202_191751","2026-02-02 19:17:51.443286"
"hr","numeric","p10",62,63,"20260202_191751","2026-02-02 19:17:51.443286"
"hr","numeric","p50",84,85.5,"20260202_191751","2026-02-02 19:17:51.443286"
"hr","numeric","p90",112,115,"20260202_191751","2026-02-02 19:17:51.443286"
"hr","numeric","n",39351,50000,"20260202_191751","2026-02-02 19:17:51.443286"
"sodium","numeric","mean",137.067173999939,137.48698,"20260202_191751","2026-02-02 19:17:51.443286"
"sodium","numeric","sd",4.76539564300942,4.46984452411976,"20260202_191751","2026-02-02 19:17:51.443286"
"sodium","numeric","p10",131,132,"20260202_191751","2026-02-02 19:17:51.443286"
"sodium","numeric","p50",138,138,"20260202_191751","2026-02-02 19:17:51.443286"
"sodium","numeric","p90",142,142,"20260202_191751","2026-02-02 19:17:51.443286"
"sodium","numeric","n",50000,50000,"20260202_191751","2026-02-02 19:17:51.443286"
"serum_cr","numeric","mean",1.45352379966452,1.32693379966542,"20260202_191751","2026-02-02 19:17:51.443286"
"serum_cr","numeric","sd",1.75671659067994,1.51617793534472,"20260202_191751","2026-02-02 19:17:51.443286"
"serum_cr","numeric","p10",0.600000023841858,0.600000023841858,"20260202_191751","2026-02-02 19:17:51.443286"
"serum_cr","numeric","p50",0.97000002861023,0.930000007152557,"20260202_191751","2026-02-02 19:17:51.443286"
"serum_cr","numeric","p90",2.40000009536743,2.09999990463257,"20260202_191751","2026-02-02 19:17:51.443286"
"serum_cr","numeric","n",50000,50000,"20260202_191751","2026-02-02 19:17:51.443286"
"serum_hco3","numeric","mean",23.9273320001054,24.0362539994717,"20260202_191751","2026-02-02 19:17:51.443286"
"serum_hco3","numeric","sd",4.90865261189676,4.60288809132908,"20260202_191751","2026-02-02 19:17:51.443286"
"serum_hco3","numeric","p10",18,19,"20260202_191751","2026-02-02 19:17:51.443286"
"serum_hco3","numeric","p50",24,24,"20260202_191751","2026-02-02 19:17:51.443286"
"serum_hco3","numeric","p90",29,29,"20260202_191751","2026-02-02 19:17:51.443286"
"serum_hco3","numeric","n",50000,50000,"20260202_191751","2026-02-02 19:17:51.443286"
"serum_lac","numeric","mean",2.20883848985409,1.91591899966627,"20260202_191751","2026-02-02 19:17:51.443286"
"serum_lac","numeric","sd",2.26272935307053,1.75617133016429,"20260202_191751","2026-02-02 19:17:51.443286"
"serum_lac","numeric","p10",0.800000011920929,0.800000011920929,"20260202_191751","2026-02-02 19:17:51.443286"
"serum_lac","numeric","p50",1.60000002384186,1.5,"20260202_191751","2026-02-02 19:17:51.443286"
"serum_lac","numeric","p90",4,3.29999995231628,"20260202_191751","2026-02-02 19:17:51.443286"
"serum_lac","numeric","n",24692,50000,"20260202_191751","2026-02-02 19:17:51.443286"
"wbc","numeric","mean",10.5561142015731,10.3958368024765,"20260202_191751","2026-02-02 19:17:51.443286"
"wbc","numeric","sd",8.87166682648976,7.68627172552604,"20260202_191751","2026-02-02 19:17:51.443286"
"wbc","numeric","p10",5.09999990463257,5.09999990463257,"20260202_191751","2026-02-02 19:17:51.443286"
"wbc","numeric","p50",9.16499996185303,9.10000038146973,"20260202_191751","2026-02-02 19:17:51.443286"
"wbc","numeric","p90",16.8999996185303,16.7000007629395,"20260202_191751","2026-02-02 19:17:51.443286"
"wbc","numeric","n",50000,50000,"20260202_191751","2026-02-02 19:17:51.443286"
"plt","numeric","mean",244.085695000011,252.382724599753,"20260202_191751","2026-02-02 19:17:51.443286"
"plt","numeric","sd",104.699089607278,107.215714118662,"20260202_191751","2026-02-02 19:17:51.443286"
"plt","numeric","p10",130,134,"20260202_191751","2026-02-02 19:17:51.443286"
"plt","numeric","p50",232,240,"20260202_191751","2026-02-02 19:17:51.443286"
"plt","numeric","p90",368,380,"20260202_191751","2026-02-02 19:17:51.443286"
"plt","numeric","n",50000,50000,"20260202_191751","2026-02-02 19:17:51.443286"
