"variable","type","run_id","run_ts"
"age_at_encounter","continuous","20260203_072220","2026-02-03 07:22:20.292438"
"curr_bmi","continuous","20260203_072220","2026-02-03 07:22:20.292438"
"temp_new","continuous","20260203_072220","2026-02-03 07:22:20.292438"
"sbp","continuous","20260203_072220","2026-02-03 07:22:20.292438"
"dbp","continuous","20260203_072220","2026-02-03 07:22:20.292438"
"hr","continuous","20260203_072220","2026-02-03 07:22:20.292438"
"sodium","continuous","20260203_072220","2026-02-03 07:22:20.292438"
"serum_cr","continuous","20260203_072220","2026-02-03 07:22:20.292438"
"serum_hco3","continuous","20260203_072220","2026-02-03 07:22:20.292438"
"serum_cl","continuous","20260203_072220","2026-02-03 07:22:20.292438"
"serum_lac","continuous","20260203_072220","2026-02-03 07:22:20.292438"
"serum_k","continuous","20260203_072220","2026-02-03 07:22:20.292438"
"wbc","continuous","20260203_072220","2026-02-03 07:22:20.292438"
"plt","continuous","20260203_072220","2026-02-03 07:22:20.292438"
"serum_phos","continuous","20260203_072220","2026-02-03 07:22:20.292438"
"serum_ca","continuous","20260203_072220","2026-02-03 07:22:20.292438"
"sex","categorical","20260203_072220","2026-02-03 07:22:20.292438"
"race_ethnicity","categorical","20260203_072220","2026-02-03 07:22:20.292438"
"copd","categorical","20260203_072220","2026-02-03 07:22:20.292438"
"asthma","categorical","20260203_072220","2026-02-03 07:22:20.292438"
"osa","categorical","20260203_072220","2026-02-03 07:22:20.292438"
"chf","categorical","20260203_072220","2026-02-03 07:22:20.292438"
"acute_nmd","categorical","20260203_072220","2026-02-03 07:22:20.292438"
"phtn","categorical","20260203_072220","2026-02-03 07:22:20.292438"
"ckd","categorical","20260203_072220","2026-02-03 07:22:20.292438"
"dm","categorical","20260203_072220","2026-02-03 07:22:20.292438"
"location","categorical","20260203_072220","2026-02-03 07:22:20.292438"
"encounter_type","categorical","20260203_072220","2026-02-03 07:22:20.292438"
