"imp","group","sample_n","n_terms_used","seconds","vcells_pre_mb","vcells_post_mb","method_used","ok","error_msg","run_id","run_ts"
1,"ABG",1000,67,1.34937310218811,4680,4680.1,"dense_sampled_glm_link",TRUE,NA,"20260421_094018","2026-04-21 09:40:18.841212"
1,"VBG",1000,67,1.23820996284485,4680,4680.1,"dense_sampled_glm_link",TRUE,NA,"20260421_094018","2026-04-21 09:40:18.841212"
2,"ABG",1000,67,1.24348592758179,4680,4680.1,"dense_sampled_glm_link",TRUE,NA,"20260421_094018","2026-04-21 09:40:18.841212"
2,"VBG",1000,67,1.16584610939026,4680,4680.1,"dense_sampled_glm_link",TRUE,NA,"20260421_094018","2026-04-21 09:40:18.841212"
3,"ABG",1000,67,1.23625683784485,4680,4680.1,"dense_sampled_glm_link",TRUE,NA,"20260421_094018","2026-04-21 09:40:18.841212"
3,"VBG",1000,67,1.23524403572083,4680,4680.1,"dense_sampled_glm_link",TRUE,NA,"20260421_094018","2026-04-21 09:40:18.841212"
4,"ABG",1000,67,1.2358729839325,4680,4680.1,"dense_sampled_glm_link",TRUE,NA,"20260421_094018","2026-04-21 09:40:18.841212"
4,"VBG",1000,67,1.26128196716309,4680,4680.1,"dense_sampled_glm_link",TRUE,NA,"20260421_094018","2026-04-21 09:40:18.841212"
5,"ABG",1000,67,1.2158989906311,4680,4680.1,"dense_sampled_glm_link",TRUE,NA,"20260421_094018","2026-04-21 09:40:18.841212"
5,"VBG",1000,67,1.31058096885681,4680,4680.1,"dense_sampled_glm_link",TRUE,NA,"20260421_094018","2026-04-21 09:40:18.841212"
6,"ABG",1000,67,1.2926869392395,4680,4680.1,"dense_sampled_glm_link",TRUE,NA,"20260421_094018","2026-04-21 09:40:18.841212"
6,"VBG",1000,67,1.24181914329529,4680,4680.1,"dense_sampled_glm_link",TRUE,NA,"20260421_094018","2026-04-21 09:40:18.841212"
7,"ABG",1000,67,1.2473680973053,4680,4680.1,"dense_sampled_glm_link",TRUE,NA,"20260421_094018","2026-04-21 09:40:18.841212"
7,"VBG",1000,67,1.19626092910767,4680,4680.1,"dense_sampled_glm_link",TRUE,NA,"20260421_094018","2026-04-21 09:40:18.841212"
8,"ABG",1000,67,1.19998002052307,4680,4680.1,"dense_sampled_glm_link",TRUE,NA,"20260421_094018","2026-04-21 09:40:18.841212"
