"imp","group","artifact_type","path","n","bytes","run_mode","pilot_frac","run_id","run_ts"
1,"ABG","weight","/Users/reblocke/Research/abg-vbg-project/Results/mi_weights/w_abg_imp_001.rds",128521,407158,"pilot",0.25,"20260423_111150","2026-04-23 11:11:50.486947"
1,"VBG","weight","/Users/reblocke/Research/abg-vbg-project/Results/mi_weights/w_vbg_imp_001.rds",128521,336828,"pilot",0.25,"20260423_111150","2026-04-23 11:11:50.486947"
1,"ABG","ps","/Users/reblocke/Research/abg-vbg-project/Results/mi_weights/ps_abg_imp_001.rds",128521,969672,"pilot",0.25,"20260423_111150","2026-04-23 11:11:50.486947"
1,"VBG","ps","/Users/reblocke/Research/abg-vbg-project/Results/mi_weights/ps_vbg_imp_001.rds",128521,970163,"pilot",0.25,"20260423_111150","2026-04-23 11:11:50.486947"
1,"ABG_VBG","compact_fit_cache","/Users/reblocke/Research/abg-vbg-project/Results/mi_fit_cache/mi_fit_imp_001.rds",128521,153773,"pilot",0.25,"20260423_111150","2026-04-23 11:11:50.486947"
2,"ABG","weight","/Users/reblocke/Research/abg-vbg-project/Results/mi_weights/w_abg_imp_002.rds",128521,407009,"pilot",0.25,"20260423_111150","2026-04-23 11:11:50.486947"
2,"VBG","weight","/Users/reblocke/Research/abg-vbg-project/Results/mi_weights/w_vbg_imp_002.rds",128521,336788,"pilot",0.25,"20260423_111150","2026-04-23 11:11:50.486947"
2,"ABG","ps","/Users/reblocke/Research/abg-vbg-project/Results/mi_weights/ps_abg_imp_002.rds",128521,969646,"pilot",0.25,"20260423_111150","2026-04-23 11:11:50.486947"
2,"VBG","ps","/Users/reblocke/Research/abg-vbg-project/Results/mi_weights/ps_vbg_imp_002.rds",128521,970189,"pilot",0.25,"20260423_111150","2026-04-23 11:11:50.486947"
2,"ABG_VBG","compact_fit_cache","/Users/reblocke/Research/abg-vbg-project/Results/mi_fit_cache/mi_fit_imp_002.rds",128521,153735,"pilot",0.25,"20260423_111150","2026-04-23 11:11:50.486947"
3,"ABG","weight","/Users/reblocke/Research/abg-vbg-project/Results/mi_weights/w_abg_imp_003.rds",128521,406968,"pilot",0.25,"20260423_111150","2026-04-23 11:11:50.486947"
3,"VBG","weight","/Users/reblocke/Research/abg-vbg-project/Results/mi_weights/w_vbg_imp_003.rds",128521,336775,"pilot",0.25,"20260423_111150","2026-04-23 11:11:50.486947"
3,"ABG","ps","/Users/reblocke/Research/abg-vbg-project/Results/mi_weights/ps_abg_imp_003.rds",128521,969680,"pilot",0.25,"20260423_111150","2026-04-23 11:11:50.486947"
3,"VBG","ps","/Users/reblocke/Research/abg-vbg-project/Results/mi_weights/ps_vbg_imp_003.rds",128521,970188,"pilot",0.25,"20260423_111150","2026-04-23 11:11:50.486947"
3,"ABG_VBG","compact_fit_cache","/Users/reblocke/Research/abg-vbg-project/Results/mi_fit_cache/mi_fit_imp_003.rds",128521,153716,"pilot",0.25,"20260423_111150","2026-04-23 11:11:50.486947"
4,"ABG","weight","/Users/reblocke/Research/abg-vbg-project/Results/mi_weights/w_abg_imp_004.rds",128521,407055,"pilot",0.25,"20260423_111150","2026-04-23 11:11:50.486947"
4,"VBG","weight","/Users/reblocke/Research/abg-vbg-project/Results/mi_weights/w_vbg_imp_004.rds",128521,336781,"pilot",0.25,"20260423_111150","2026-04-23 11:11:50.486947"
4,"ABG","ps","/Users/reblocke/Research/abg-vbg-project/Results/mi_weights/ps_abg_imp_004.rds",128521,969660,"pilot",0.25,"20260423_111150","2026-04-23 11:11:50.486947"
4,"VBG","ps","/Users/reblocke/Research/abg-vbg-project/Results/mi_weights/ps_vbg_imp_004.rds",128521,970179,"pilot",0.25,"20260423_111150","2026-04-23 11:11:50.486947"
4,"ABG_VBG","compact_fit_cache","/Users/reblocke/Research/abg-vbg-project/Results/mi_fit_cache/mi_fit_imp_004.rds",128521,153743,"pilot",0.25,"20260423_111150","2026-04-23 11:11:50.486947"
5,"ABG","weight","/Users/reblocke/Research/abg-vbg-project/Results/mi_weights/w_abg_imp_005.rds",128521,407038,"pilot",0.25,"20260423_111150","2026-04-23 11:11:50.486947"
5,"VBG","weight","/Users/reblocke/Research/abg-vbg-project/Results/mi_weights/w_vbg_imp_005.rds",128521,336744,"pilot",0.25,"20260423_111150","2026-04-23 11:11:50.486947"
5,"ABG","ps","/Users/reblocke/Research/abg-vbg-project/Results/mi_weights/ps_abg_imp_005.rds",128521,969836,"pilot",0.25,"20260423_111150","2026-04-23 11:11:50.486947"
5,"VBG","ps","/Users/reblocke/Research/abg-vbg-project/Results/mi_weights/ps_vbg_imp_005.rds",128521,970121,"pilot",0.25,"20260423_111150","2026-04-23 11:11:50.486947"
