"imp","seconds","gc_vcells_used_mb_pre","gc_vcells_frac_pre","gc_vcells_used_mb_post","gc_vcells_frac_post","run_id","run_ts"
1,0.806554079055786,3819.5,0.233123779296875,3821.1,0.233221435546875,"20260207_173552","2026-02-07 17:35:52.953951"
2,0.665771007537842,3819.8,0.23314208984375,3821.2,0.2332275390625,"20260207_173552","2026-02-07 17:35:52.953951"
3,0.661141872406006,3819.9,0.233148193359375,3821.3,0.233233642578125,"20260207_173552","2026-02-07 17:35:52.953951"
4,0.663506031036377,3820,0.233154296875,3821.4,0.23323974609375,"20260207_173552","2026-02-07 17:35:52.953951"
5,0.662853002548218,3820.1,0.233160400390625,3821.5,0.233245849609375,"20260207_173552","2026-02-07 17:35:52.953951"
6,0.666074991226196,3820.1,0.233160400390625,3821.5,0.233245849609375,"20260207_173552","2026-02-07 17:35:52.953951"
7,0.663472890853882,3820.2,0.23316650390625,3821.6,0.233251953125,"20260207_173552","2026-02-07 17:35:52.953951"
8,0.658314943313599,3820.3,0.233172607421875,3821.7,0.233258056640625,"20260207_173552","2026-02-07 17:35:52.953951"
9,0.658552885055542,3820.4,0.2331787109375,3821.8,0.23326416015625,"20260207_173552","2026-02-07 17:35:52.953951"
10,0.665313959121704,3820.5,0.233184814453125,3821.9,0.233270263671875,"20260207_173552","2026-02-07 17:35:52.953951"
11,0.659936904907227,3820.6,0.23319091796875,3822,0.2332763671875,"20260207_173552","2026-02-07 17:35:52.953951"
12,0.661782026290894,3820.7,0.233197021484375,3822.1,0.233282470703125,"20260207_173552","2026-02-07 17:35:52.953951"
13,0.657954931259155,3820.8,0.233203125,3822.2,0.23328857421875,"20260207_173552","2026-02-07 17:35:52.953951"
14,0.666049003601074,3820.9,0.233209228515625,3822.3,0.233294677734375,"20260207_173552","2026-02-07 17:35:52.953951"
15,0.658161163330078,3821,0.23321533203125,3822.4,0.23330078125,"20260207_173552","2026-02-07 17:35:52.953951"
16,0.661323070526123,3821.1,0.233221435546875,3822.5,0.233306884765625,"20260207_173552","2026-02-07 17:35:52.953951"
17,0.661203145980835,3821.2,0.2332275390625,3822.6,0.23331298828125,"20260207_173552","2026-02-07 17:35:52.953951"
18,0.665419816970825,3821.3,0.233233642578125,3822.7,0.233319091796875,"20260207_173552","2026-02-07 17:35:52.953951"
19,0.660089015960693,3821.4,0.23323974609375,3822.7,0.233319091796875,"20260207_173552","2026-02-07 17:35:52.953951"
20,0.662736892700195,3821.4,0.23323974609375,3822.8,0.2333251953125,"20260207_173552","2026-02-07 17:35:52.953951"
21,0.658661127090454,3821.5,0.233245849609375,3822.9,0.233331298828125,"20260207_173552","2026-02-07 17:35:52.953951"
22,0.662187099456787,3821.6,0.233251953125,3823,0.23333740234375,"20260207_173552","2026-02-07 17:35:52.953951"
23,0.659078121185303,3821.7,0.233258056640625,3823.1,0.233343505859375,"20260207_173552","2026-02-07 17:35:52.953951"
24,0.664682865142822,3821.8,0.23326416015625,3823.2,0.233349609375,"20260207_173552","2026-02-07 17:35:52.953951"
25,0.658889055252075,3821.9,0.233270263671875,3823.3,0.233355712890625,"20260207_173552","2026-02-07 17:35:52.953951"
26,0.662660121917725,3822,0.2332763671875,3823.4,0.23336181640625,"20260207_173552","2026-02-07 17:35:52.953951"
27,0.661885976791382,3822.1,0.233282470703125,3823.5,0.233367919921875,"20260207_173552","2026-02-07 17:35:52.953951"
28,0.66297197341919,3822.2,0.23328857421875,3823.6,0.2333740234375,"20260207_173552","2026-02-07 17:35:52.953951"
29,0.659461975097656,3822.3,0.233294677734375,3823.7,0.233380126953125,"20260207_173552","2026-02-07 17:35:52.953951"
30,0.663114070892334,3822.4,0.23330078125,3823.8,0.23338623046875,"20260207_173552","2026-02-07 17:35:52.953951"
31,0.661191940307617,3822.5,0.233306884765625,3823.9,0.233392333984375,"20260207_173552","2026-02-07 17:35:52.953951"
32,0.662900924682617,3822.6,0.23331298828125,3824,0.2333984375,"20260207_173552","2026-02-07 17:35:52.953951"
33,0.662683010101318,3822.7,0.233319091796875,3824,0.2333984375,"20260207_173552","2026-02-07 17:35:52.953951"
34,0.664247989654541,3822.7,0.233319091796875,3824.1,0.233404541015625,"20260207_173552","2026-02-07 17:35:52.953951"
35,0.663393020629883,3822.8,0.2333251953125,3824.2,0.23341064453125,"20260207_173552","2026-02-07 17:35:52.953951"
36,0.683365106582642,3822.9,0.233331298828125,3824.3,0.233416748046875,"20260207_173552","2026-02-07 17:35:52.953951"
37,0.664876937866211,3823,0.23333740234375,3824.4,0.2334228515625,"20260207_173552","2026-02-07 17:35:52.953951"
38,0.672693014144897,3823.1,0.233343505859375,3824.5,0.233428955078125,"20260207_173552","2026-02-07 17:35:52.953951"
39,0.669855117797852,3823.2,0.233349609375,3824.6,0.23343505859375,"20260207_173552","2026-02-07 17:35:52.953951"
40,0.714058876037598,3823.3,0.233355712890625,3824.7,0.233441162109375,"20260207_173552","2026-02-07 17:35:52.953951"
41,0.762945175170898,3823.4,0.23336181640625,3824.8,0.233447265625,"20260207_173552","2026-02-07 17:35:52.953951"
42,0.673604011535645,3823.5,0.233367919921875,3824.9,0.233453369140625,"20260207_173552","2026-02-07 17:35:52.953951"
43,0.666630029678345,3823.6,0.2333740234375,3825,0.23345947265625,"20260207_173552","2026-02-07 17:35:52.953951"
44,0.676116943359375,3823.7,0.233380126953125,3825.1,0.233465576171875,"20260207_173552","2026-02-07 17:35:52.953951"
45,0.664205074310303,3823.8,0.23338623046875,3825.2,0.2334716796875,"20260207_173552","2026-02-07 17:35:52.953951"
46,0.670005083084106,3823.9,0.233392333984375,3825.3,0.233477783203125,"20260207_173552","2026-02-07 17:35:52.953951"
47,0.663622856140137,3823.9,0.233392333984375,3825.3,0.233477783203125,"20260207_173552","2026-02-07 17:35:52.953951"
48,0.668773889541626,3824,0.2333984375,3825.4,0.23348388671875,"20260207_173552","2026-02-07 17:35:52.953951"
49,0.664138078689575,3824.1,0.233404541015625,3825.5,0.233489990234375,"20260207_173552","2026-02-07 17:35:52.953951"
50,0.666181087493896,3824.2,0.23341064453125,3825.6,0.23349609375,"20260207_173552","2026-02-07 17:35:52.953951"
51,0.666952848434448,3824.3,0.233416748046875,3825.7,0.233502197265625,"20260207_173552","2026-02-07 17:35:52.953951"
52,0.668194055557251,3824.4,0.2334228515625,3825.8,0.23350830078125,"20260207_173552","2026-02-07 17:35:52.953951"
53,0.667402029037476,3824.5,0.233428955078125,3825.9,0.233514404296875,"20260207_173552","2026-02-07 17:35:52.953951"
54,0.751645088195801,3824.6,0.23343505859375,3826,0.2335205078125,"20260207_173552","2026-02-07 17:35:52.953951"
55,0.668407201766968,3824.7,0.233441162109375,3826.1,0.233526611328125,"20260207_173552","2026-02-07 17:35:52.953951"
56,0.71459698677063,3824.8,0.233447265625,3826.2,0.23353271484375,"20260207_173552","2026-02-07 17:35:52.953951"
57,0.664400100708008,3824.9,0.233453369140625,3826.3,0.233538818359375,"20260207_173552","2026-02-07 17:35:52.953951"
58,0.670977115631104,3825,0.23345947265625,3826.4,0.233544921875,"20260207_173552","2026-02-07 17:35:52.953951"
59,0.666171073913574,3825.1,0.233465576171875,3826.5,0.233551025390625,"20260207_173552","2026-02-07 17:35:52.953951"
60,0.670207023620605,3825.2,0.2334716796875,3826.5,0.233551025390625,"20260207_173552","2026-02-07 17:35:52.953951"
61,0.665131092071533,3825.2,0.2334716796875,3826.6,0.23355712890625,"20260207_173552","2026-02-07 17:35:52.953951"
62,0.66627311706543,3825.3,0.233477783203125,3826.7,0.233563232421875,"20260207_173552","2026-02-07 17:35:52.953951"
63,0.669396877288818,3825.4,0.23348388671875,3826.8,0.2335693359375,"20260207_173552","2026-02-07 17:35:52.953951"
64,0.673463106155396,3825.5,0.233489990234375,3826.9,0.233575439453125,"20260207_173552","2026-02-07 17:35:52.953951"
65,0.663981914520264,3825.6,0.23349609375,3827,0.23358154296875,"20260207_173552","2026-02-07 17:35:52.953951"
66,0.671921968460083,3825.7,0.233502197265625,3827.1,0.233587646484375,"20260207_173552","2026-02-07 17:35:52.953951"
67,0.669650077819824,3825.8,0.23350830078125,3827.2,0.23359375,"20260207_173552","2026-02-07 17:35:52.953951"
68,0.675487041473389,3825.9,0.233514404296875,3827.3,0.233599853515625,"20260207_173552","2026-02-07 17:35:52.953951"
69,0.66849684715271,3826,0.2335205078125,3827.4,0.23360595703125,"20260207_173552","2026-02-07 17:35:52.953951"
70,0.67140007019043,3826.1,0.233526611328125,3827.5,0.233612060546875,"20260207_173552","2026-02-07 17:35:52.953951"
71,0.665158987045288,3826.2,0.23353271484375,3827.6,0.2336181640625,"20260207_173552","2026-02-07 17:35:52.953951"
72,0.667755842208862,3826.3,0.233538818359375,3827.7,0.233624267578125,"20260207_173552","2026-02-07 17:35:52.953951"
73,0.664659023284912,3826.4,0.233544921875,3827.8,0.23363037109375,"20260207_173552","2026-02-07 17:35:52.953951"
74,0.672981977462769,3826.4,0.233544921875,3827.8,0.23363037109375,"20260207_173552","2026-02-07 17:35:52.953951"
