"imp","stage","when","gc_vcells_used_mb","gc_vcells_limit_mb","gc_vcells_frac","gc_vcells_trigger_mb","gc_vcells_max_used_mb","rss_mb","run_mode","pilot_frac","run_id","run_ts"
1,"imputation","pre",3701.2,16384,0.2259033203125,964751313,964680566,2327.90625,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
1,"ps_abg","pre",3702.7,16384,0.225994873046875,964751313,964680566,2329.546875,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
1,"ps_abg","post",3702.9,16384,0.226007080078125,964751313,964680566,2365.3125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
1,"ps_vbg","pre",3702.9,16384,0.226007080078125,964751313,964680566,2365.3125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
1,"ps_vbg","post",3703,16384,0.22601318359375,964751313,964680566,2372.875,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
1,"imputation","post",3703,16384,0.22601318359375,964751313,964680566,2446.015625,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
2,"imputation","pre",3701.5,16384,0.225921630859375,964751313,964680566,2446.015625,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
2,"ps_abg","pre",3702.9,16384,0.226007080078125,964751313,964680566,2446.109375,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
2,"ps_abg","post",3703,16384,0.22601318359375,964751313,964680566,2446.578125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
2,"ps_vbg","pre",3703,16384,0.22601318359375,964751313,964680566,2446.578125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
2,"ps_vbg","post",3703.1,16384,0.226019287109375,964751313,964680566,2446.625,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
2,"imputation","post",3703,16384,0.22601318359375,964751313,964680566,2641.828125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
3,"imputation","pre",3701.5,16384,0.225921630859375,964751313,964680566,2641.828125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
3,"ps_abg","pre",3702.9,16384,0.226007080078125,964751313,964680566,2641.828125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
3,"ps_abg","post",3703,16384,0.22601318359375,964751313,964680566,2641.84375,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
3,"ps_vbg","pre",3703,16384,0.22601318359375,964751313,964680566,2641.84375,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
3,"ps_vbg","post",3703.1,16384,0.226019287109375,964751313,964680566,2642.234375,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
3,"imputation","post",3703,16384,0.22601318359375,964751313,964680566,2679.53125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
4,"imputation","pre",3701.5,16384,0.225921630859375,964751313,964680566,2679.53125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
4,"ps_abg","pre",3702.9,16384,0.226007080078125,964751313,964680566,2679.640625,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
4,"ps_abg","post",3703,16384,0.22601318359375,964751313,964680566,2679.8125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
4,"ps_vbg","pre",3703,16384,0.22601318359375,964751313,964680566,2679.8125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
4,"ps_vbg","post",3703.1,16384,0.226019287109375,964751313,964680566,2682.828125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
4,"imputation","post",3703,16384,0.22601318359375,964751313,964680566,2704.9375,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
5,"imputation","pre",3701.5,16384,0.225921630859375,964751313,964680566,2704.9375,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
5,"ps_abg","pre",3702.9,16384,0.226007080078125,964751313,964680566,2704.9375,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
5,"ps_abg","post",3703,16384,0.22601318359375,964751313,964680566,2704.96875,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
5,"ps_vbg","pre",3703,16384,0.22601318359375,964751313,964680566,2704.96875,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
5,"ps_vbg","post",3703.1,16384,0.226019287109375,964751313,964680566,2704.96875,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
5,"imputation","post",3703,16384,0.22601318359375,964751313,964680566,2724.75,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
6,"imputation","pre",3701.5,16384,0.225921630859375,964751313,964680566,2724.75,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
6,"ps_abg","pre",3702.9,16384,0.226007080078125,964751313,964680566,2724.75,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
6,"ps_abg","post",3703,16384,0.22601318359375,964751313,964680566,2724.78125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
6,"ps_vbg","pre",3703,16384,0.22601318359375,964751313,964680566,2724.78125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
6,"ps_vbg","post",3703.1,16384,0.226019287109375,964751313,964680566,2724.828125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
6,"imputation","post",3703,16384,0.22601318359375,964751313,964680566,2752.5625,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
7,"imputation","pre",3701.5,16384,0.225921630859375,964751313,964680566,2752.5625,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
7,"ps_abg","pre",3703,16384,0.22601318359375,964751313,964680566,2752.5625,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
7,"ps_abg","post",3703,16384,0.22601318359375,964751313,964680566,2752.5625,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
7,"ps_vbg","pre",3703,16384,0.22601318359375,964751313,964680566,2752.5625,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
7,"ps_vbg","post",3703.1,16384,0.226019287109375,964751313,964680566,2752.65625,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
7,"imputation","post",3703,16384,0.22601318359375,964751313,964680566,2752.8125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
8,"imputation","pre",3701.5,16384,0.225921630859375,964751313,964680566,2752.8125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
8,"ps_abg","pre",3703,16384,0.22601318359375,964751313,964680566,2752.8125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
8,"ps_abg","post",3703.1,16384,0.226019287109375,964751313,964680566,2752.8125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
8,"ps_vbg","pre",3703.1,16384,0.226019287109375,964751313,964680566,2752.8125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
8,"ps_vbg","post",3703.1,16384,0.226019287109375,964751313,964680566,2752.8125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
8,"imputation","post",3703.1,16384,0.226019287109375,964751313,964680566,2767.53125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
9,"imputation","pre",3701.5,16384,0.225921630859375,964751313,964680566,2767.53125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
9,"ps_abg","pre",3703,16384,0.22601318359375,964751313,964680566,2767.53125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
9,"ps_abg","post",3703.1,16384,0.226019287109375,964751313,964680566,2767.53125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
9,"ps_vbg","pre",3703.1,16384,0.226019287109375,964751313,964680566,2767.53125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
9,"ps_vbg","post",3703.1,16384,0.226019287109375,964751313,964680566,2767.5625,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
9,"imputation","post",3703.1,16384,0.226019287109375,964751313,964680566,2767.65625,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
10,"imputation","pre",3701.5,16384,0.225921630859375,964751313,964680566,2767.65625,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
10,"ps_abg","pre",3703,16384,0.22601318359375,964751313,964680566,2767.65625,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
10,"ps_abg","post",3703.1,16384,0.226019287109375,964751313,964680566,2767.671875,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
10,"ps_vbg","pre",3703.1,16384,0.226019287109375,964751313,964680566,2767.671875,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
10,"ps_vbg","post",3703.2,16384,0.226025390625,964751313,964680566,2767.671875,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
10,"imputation","post",3703.1,16384,0.226019287109375,964751313,964680566,2768.203125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
11,"imputation","pre",3701.6,16384,0.225927734375,964751313,964680566,2768.203125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
11,"ps_abg","pre",3703,16384,0.22601318359375,964751313,964680566,2768.203125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
11,"ps_abg","post",3703.1,16384,0.226019287109375,964751313,964680566,2768.203125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
