"imp","stage","status","message","run_mode","pilot_frac","run_id","run_ts"
1,"imputation","started","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
1,"ps_abg","started","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
1,"ps_abg","completed","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
1,"ps_vbg","started","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
1,"ps_vbg","completed","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
1,"cat3_models","started","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
1,"cat3_models","completed","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
1,"spline_models","started","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
1,"spline_models","completed","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
1,"imputation","completed","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
2,"imputation","started","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
2,"ps_abg","started","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
2,"ps_abg","completed","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
2,"ps_vbg","started","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
2,"ps_vbg","completed","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
2,"cat3_models","started","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
2,"cat3_models","completed","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
2,"spline_models","started","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
2,"spline_models","completed","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
2,"imputation","completed","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
3,"imputation","started","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
3,"ps_abg","started","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
3,"ps_abg","completed","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
3,"ps_vbg","started","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
3,"ps_vbg","completed","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
3,"cat3_models","started","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
3,"cat3_models","completed","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
3,"spline_models","started","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
3,"spline_models","completed","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
3,"imputation","completed","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
4,"imputation","started","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
4,"ps_abg","started","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
4,"ps_abg","completed","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
4,"ps_vbg","started","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
4,"ps_vbg","completed","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
4,"cat3_models","started","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
4,"cat3_models","completed","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
4,"spline_models","started","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
4,"spline_models","completed","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
4,"imputation","completed","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
5,"imputation","started","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
5,"ps_abg","started","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
5,"ps_abg","completed","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
5,"ps_vbg","started","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
5,"ps_vbg","completed","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
5,"cat3_models","started","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
5,"cat3_models","completed","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
5,"spline_models","started","","pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
