"term","estimate","SE","LCL","UCL","m_used","m_total","outcome","group","run_id","run_ts"
"(Intercept)",-2.16333011444193,0.112047732985997,-2.38294367109448,-1.94371655778937,80,80,"imv_proc","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"splines::ns(paco2, 4)1",-0.459530828276892,0.106798686649411,-0.668856254109738,-0.250205402444046,80,80,"imv_proc","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"splines::ns(paco2, 4)2",1.32112256796712,0.0865036860102778,1.15157534338697,1.49066979254726,80,80,"imv_proc","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"splines::ns(paco2, 4)3",1.21842520030451,0.240672368204163,0.746707358624346,1.69014304198467,80,80,"imv_proc","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"splines::ns(paco2, 4)4",0.413591340879556,0.164113642026829,0.0919286025069717,0.73525407925214,80,80,"imv_proc","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"age_at_encounter",-0.00256765789456237,0.000377858396576322,-0.00330826035185197,-0.00182705543727278,80,80,"imv_proc","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"sexMale",0.349731779646148,0.0128312039287936,0.324582619945713,0.374880939346584,80,80,"imv_proc","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"race_ethnicity1",0.275037854210039,0.0181204574142542,0.239521757678101,0.310553950741977,80,80,"imv_proc","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"race_ethnicity2",0.298030510105962,0.0278899576160846,0.243366193178436,0.352694827033488,80,80,"imv_proc","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"race_ethnicity3",0.151111920498061,0.0422147546880396,0.0683710013095038,0.233852839686619,80,80,"imv_proc","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"race_ethnicity4",-0.687374498415502,0.0577233685743811,-0.800512300821289,-0.574236696009715,80,80,"imv_proc","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"race_ethnicity5",-0.213167960148379,0.181688800094034,-0.569278008332686,0.142942088035927,80,80,"imv_proc","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"race_ethnicity6",-0.255981576371585,0.0219194062539505,-0.298943612629328,-0.213019540113842,80,80,"imv_proc","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"location1",0.189257758888652,0.0159061212060733,0.158081761324749,0.220433756452556,80,80,"imv_proc","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"location2",0.297546565306618,0.0217113090174786,0.254992399632361,0.340100730980876,80,80,"imv_proc","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"location3",0.812510027608983,0.0192258711164436,0.774827320220754,0.850192734997212,80,80,"imv_proc","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"encounter_typeInpatient",0.967219003103026,0.0189293940736325,0.930117390718707,1.00432061548735,80,80,"imv_proc","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"(Intercept)",-5.29062535186792,0.214481325590043,-5.7110087500244,-4.87024195371144,80,80,"niv_proc","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"splines::ns(paco2, 4)1",0.476086356095518,0.205230055682403,0.073835446958007,0.878337265233028,80,80,"niv_proc","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"splines::ns(paco2, 4)2",6.58415165713187,0.171022783580064,6.24894700131495,6.9193563129488,80,80,"niv_proc","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"splines::ns(paco2, 4)3",-2.02920455010421,0.509159394822574,-3.02715696395646,-1.03125213625197,80,80,"niv_proc","ABG","20260419_112645","2026-04-19 11:26:45.267227"
