"term","estimate","SE","LCL","UCL","m_used","m_total","outcome","group","run_id","run_ts"
"(Intercept)",-2.8811395287511,0.940499664449279,-4.72451887107168,-1.03776018643051,80,80,"imv_proc","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"splines::ns(vbg_co2, 4)1",-0.630463326678042,0.821624944796995,-2.24084821848015,0.979921565124068,80,80,"imv_proc","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"splines::ns(vbg_co2, 4)2",0.852365542574099,0.769171291421867,-0.655210188612761,2.35994127376096,80,80,"imv_proc","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"splines::ns(vbg_co2, 4)3",0.0254249871898866,1.97758878773636,-3.85064903677337,3.90149901115314,80,80,"imv_proc","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"splines::ns(vbg_co2, 4)4",-0.82648671894522,1.7119715794876,-4.18195101474091,2.52897757685047,80,80,"imv_proc","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"age_at_encounter",-0.000370472816942671,0.00535434148131534,-0.0108649821203207,0.0101240364864354,80,80,"imv_proc","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"sexMale",0.343064576808823,0.182790081747408,-0.0152039834160959,0.701333137033743,80,80,"imv_proc","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"race_ethnicity1",0.231135450338715,0.231457026049611,-0.222520320718523,0.684791221395953,80,80,"imv_proc","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"race_ethnicity2",0.0969483267353615,0.348206514577046,-0.585536441835648,0.779433095306371,80,80,"imv_proc","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"race_ethnicity3",0.046618099758704,0.523055644273833,-0.978570963018009,1.07180716253542,80,80,"imv_proc","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"race_ethnicity4",0.227213967189145,0.614614226647092,-0.977429917039156,1.43185785141745,80,80,"imv_proc","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"race_ethnicity5",-13.4550144291285,1.10695111304369,-15.6246386106942,-11.2853902475629,80,80,"imv_proc","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"race_ethnicity6",-0.512982485721243,0.303489019734576,-1.10782096440101,0.0818559929585254,80,80,"imv_proc","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"location1",-0.199273417965897,0.210109014176597,-0.611087085752027,0.212540249820233,80,80,"imv_proc","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"location2",0.127506455467572,0.282973958921095,-0.427122504017774,0.682135414952919,80,80,"imv_proc","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"location3",0.868852862955828,0.281284704594957,0.317534841949713,1.42017088396194,80,80,"imv_proc","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"encounter_typeInpatient",1.42819251201492,0.236584780209912,0.964486342803494,1.89189868122635,80,80,"imv_proc","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"(Intercept)",-6.5472071313777,2.25590026100519,-10.9687716429479,-2.12564261980753,80,80,"niv_proc","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"splines::ns(vbg_co2, 4)1",1.26318830932351,2.1070577798753,-2.86664493923207,5.3930215578791,80,80,"niv_proc","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"splines::ns(vbg_co2, 4)2",3.02754216089246,1.33802436544979,0.405014404610863,5.65006991717405,80,80,"niv_proc","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"splines::ns(vbg_co2, 4)3",4.43959485641728,4.70044480803579,-4.77327696733287,13.6524666801674,80,80,"niv_proc","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"splines::ns(vbg_co2, 4)4",3.8996767945761,1.71240660209503,0.543359854469836,7.25599373468237,80,80,"niv_proc","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"age_at_encounter",0.0255463229236108,0.00836370304142489,0.00915346496241796,0.0419391808848035,80,80,"niv_proc","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"sexMale",-0.110296396595469,0.248308887341186,-0.596981815784195,0.376389022593256,80,80,"niv_proc","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"race_ethnicity1",-0.319254058495991,0.344338127999867,-0.994156789375731,0.355648672383749,80,80,"niv_proc","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"race_ethnicity2",-0.13716843988135,0.431517241813785,-0.982942233836368,0.708605354073668,80,80,"niv_proc","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"race_ethnicity3",-2.06660480638289,0.953198773731284,-3.9348744028962,-0.198335209869569,80,80,"niv_proc","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"race_ethnicity4",-0.6310660349611,0.911583554320376,-2.41776980142904,1.15563773150684,80,80,"niv_proc","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"race_ethnicity5",-11.0816490965664,1.18761289417642,-13.4093703691521,-8.75392782398058,80,80,"niv_proc","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"race_ethnicity6",-1.12094212135272,0.498267561988867,-2.0975465428509,-0.144337699854541,80,80,"niv_proc","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"location1",-1.54262892109231,0.354418583289773,-2.23728934434027,-0.847968497844353,80,80,"niv_proc","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"location2",0.219758244617438,0.365411886111266,-0.496449052160643,0.93596554139552,80,80,"niv_proc","VBG","20260301_131122","2026-03-01 13:11:22.14127"
